Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,0,1,47,20,2,3,1,5,2,0,0
AGUA SANTA,0,0,0,33,3,4,2,1,1,0,0,1
AGUDO,0,0,0,135,8,0,3,0,10,6,7,5
AJURICABA,0,0,0,50,1,2,1,0,1,8,6,1
ALECRIM,1,1,0,97,18,1,1,0,3,7,10,3
ALEGRETE,15,15,2,904,139,37,139,3,55,35,124,55
ALEGRIA,0,0,1,59,21,0,3,0,0,3,2,1
ALMIRANTE TAMANDARE DO SUL,0,0,0,10,2,2,5,2,1,1,0,0
ALPESTRE,1,1,0,71,15,2,3,0,0,1,2,0
ALTO ALEGRE,0,0,0,5,1,0,1,0,0,0,0,0
ALTO FELIZ,0,0,0,13,0,0,0,0,0,0,1,0
ALVORADA,161,187,4,1540,23,290,3678,792,202,107,64,181
AMARAL FERRADOR,0,0,0,33,1,6,3,1,2,1,0,1
AMETISTA DO SUL,1,1,0,70,7,4,2,0,1,2,2,0
ANDRE DA ROCHA,0,0,0,10,3,0,1,0,0,2,0,0
ANTA GORDA,0,0,0,26,1,1,3,0,10,7,2,0
ANTONIO PRADO,2,2,0,125,2,10,19,1,26,4,11,6
ARAMBARE,0,0,0,100,12,0,2,0,6,2,8,2
ARARICA,1,1,0,38,4,4,5,8,2,2,2,2
ARATIBA,0,0,0,45,6,2,1,0,4,0,1,1
ARROIO DO MEIO,3,3,0,192,2,16,47,4,32,8,34,8
ARROIO DO PADRE,0,0,0,10,1,1,1,1,1,0,0,0
ARROIO DO SAL,2,3,1,574,9,27,47,4,28,10,22,17
ARROIO DO TIGRE,0,0,0,128,8,4,5,0,6,5,0,3
ARROIO DOS RATOS,3,3,0,130,10,6,23,1,7,9,8,21
ARROIO GRANDE,4,4,0,300,59,9,20,1,24,8,42,10
ARVOREZINHA,0,0,1,107,12,5,13,3,10,10,19,6
AUGUSTO PESTANA,0,0,0,50,3,4,4,0,7,2,2,0
AUREA,0,0,0,20,0,0,1,0,4,1,0,1
BAGE,17,17,1,1742,142,87,366,5,69,76,78,85
