Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
BALNEARIO PINHAL,11,13,0,278,15,29,100,9,31,12,38,27
BARAO,0,0,0,27,1,2,4,2,8,1,3,0
BARAO DE COTEGIPE,0,0,0,63,2,2,3,3,6,9,5,1
BARAO DO TRIUNFO,1,1,0,44,8,3,2,2,1,4,3,1
BARRA DO GUARITA,0,0,0,37,11,1,4,0,1,3,1,1
BARRA DO QUARAI,0,0,0,92,32,1,3,0,1,1,1,0
BARRA DO RIBEIRO,2,2,1,199,39,3,58,8,13,6,5,8
BARRA DO RIO AZUL,0,0,0,7,0,0,0,0,0,1,0,0
BARRA FUNDA,0,0,0,20,6,0,4,1,1,2,0,0
BARRACAO,0,0,0,69,10,3,3,2,5,2,0,0
BARROS CASSAL,1,1,0,73,9,9,8,1,8,19,2,5
BENJAMIN CONSTANT DO SUL,0,0,0,13,1,0,1,0,0,0,0,0
BENTO GONCALVES,33,34,0,1682,5,319,542,70,258,77,90,143
BOA VISTA DAS MISSOES,0,0,0,26,3,3,4,0,0,1,0,0
BOA VISTA DO BURICA,1,1,0,45,0,1,1,0,8,1,1,0
BOA VISTA DO CADEADO,0,0,0,16,4,0,2,0,1,1,0,0
BOA VISTA DO INCRA,0,0,0,10,2,1,3,0,2,0,0,0
BOA VISTA DO SUL,0,0,0,11,2,0,2,0,0,0,0,0
BOM JESUS,0,0,0,156,33,9,10,4,9,4,18,12
BOM PRINCIPIO,0,0,0,134,2,3,12,4,7,2,17,2
BOM PROGRESSO,0,0,0,16,2,2,0,0,1,5,1,4
BOM RETIRO DO SUL,0,0,0,126,14,8,17,6,12,4,64,16
BOQUEIRAO DO LEAO,4,4,0,71,1,7,5,0,5,5,1,0
BOSSOROCA,1,1,0,82,40,0,0,0,5,13,5,1
BOZANO,0,0,0,20,3,0,2,0,1,4,0,0
BRAGA,0,0,0,42,6,1,3,0,3,6,1,3
BROCHIER,0,0,0,25,0,4,7,0,4,0,1,0
BUTIA,6,6,0,341,39,20,92,2,16,19,46,39
CACAPAVA DO SUL,2,2,0,460,50,51,44,3,24,23,64,24
CACEQUI,4,4,2,201,61,2,8,1,15,13,9,11
CACHOEIRA DO SUL,6,8,2,917,43,155,137,8,38,56,129,105
CACHOEIRINHA,40,44,1,1447,13,212,1793,414,257,58,204,129
CACIQUE DOBLE,1,1,0,48,0,0,9,0,1,2,1,1
CAIBATE,1,1,0,26,9,3,0,0,7,5,0,2
CAICARA,0,0,0,36,8,4,1,0,0,2,0,0
CAMAQUA,3,3,1,1128,72,85,255,28,84,41,44,27
CAMARGO,0,0,0,10,3,0,3,2,1,1,0,0
CAMBARA DO SUL,0,0,0,57,17,1,4,0,12,9,1,2
CAMPESTRE DA SERRA,0,0,0,51,8,1,5,0,1,4,0,0
CAMPINA DAS MISSOES,1,1,0,32,3,2,1,1,3,1,1,0
CAMPINAS DO SUL,0,0,0,73,4,2,1,0,4,12,3,2
CAMPO BOM,9,9,0,722,5,141,564,110,61,24,167,27
CAMPO NOVO,1,1,1,82,11,9,15,3,4,11,11,8
CAMPOS BORGES,1,1,1,33,5,2,4,1,2,1,0,0
CANDELARIA,9,13,0,365,62,33,35,6,37,28,35,6
CANDIDO GODOI,0,0,0,38,0,3,1,0,0,1,1,0
CANDIOTA,0,0,0,212,39,19,11,1,7,2,2,4
CANELA,5,5,0,767,9,50,76,2,62,28,87,63
CANGUCU,2,2,0,305,49,25,44,3,24,34,8,16
CANOAS,117,127,0,4160,27,781,4503,1002,455,177,287,454
CANUDOS DO VALE,0,0,0,5,0,0,0,0,1,0,0,0
CAPAO BONITO DO SUL,0,0,0,42,17,0,0,1,0,6,0,0
CAPAO DA CANOA,22,25,0,1173,20,100,420,38,181,27,75,96
CAPAO DO CIPO,0,0,1,31,5,2,1,0,0,1,0,1
CAPAO DO LEAO,2,4,0,153,31,9,58,7,11,9,4,11
CAPELA DE SANTANA,2,2,1,95,17,7,23,8,2,11,13,11
CAPITAO,0,0,0,22,2,0,2,0,3,2,2,1
CAPIVARI DO SUL,0,0,0,54,19,4,6,1,4,4,6,3
CARAA,0,0,0,46,6,1,4,0,2,2,3,2
CARAZINHO,14,17,1,792,18,97,210,44,90,64,46,34
CARLOS BARBOSA,2,2,0,250,7,31,34,10,58,4,32,3
CARLOS GOMES,1,1,0,9,1,0,0,0,0,2,1,0
CASCA,0,0,0,100,7,16,10,6,18,5,4,2
CASEIROS,0,0,0,23,8,1,1,2,3,3,0,0
CATUIPE,3,3,0,143,32,4,9,0,4,2,3,0
CAXIAS DO SUL,83,94,5,4733,59,1589,2780,826,868,233,363,232
CENTENARIO,0,0,0,7,0,2,1,0,1,3,0,0
CERRITO,0,0,0,38,11,2,5,1,1,2,0,0
CERRO BRANCO,0,0,0,25,1,3,0,0,3,3,1,0
CERRO GRANDE,0,0,0,6,3,1,1,0,0,1,0,0
CERRO GRANDE DO SUL,0,0,0,107,20,33,25,2,6,3,1,3
CERRO LARGO,1,1,0,134,3,6,3,1,17,5,12,10
CHAPADA,1,1,0,33,4,2,3,2,8,5,1,0
CHARQUEADAS,3,3,0,277,17,14,26,1,13,23,177,100
CHARRUA,0,0,0,13,1,1,1,3,1,1,0,0
CHIAPETTA,0,0,0,39,7,3,2,1,3,1,4,2
CHUI,6,6,0,114,11,6,21,0,15,3,4,0
CHUVISCA,0,0,0,39,11,4,5,0,1,6,0,0
CIDREIRA,6,6,0,397,20,20,95,15,20,23,93,51
CIRIACO,0,0,0,78,31,4,7,0,6,10,1,0
COLINAS,0,0,0,12,3,1,2,0,2,0,0,1
COLORADO,0,0,0,30,4,0,1,0,1,2,0,0
CONDOR,1,1,0,83,12,3,3,0,15,1,0,1
CONSTANTINA,1,1,0,73,7,6,9,0,3,2,3,2
COQUEIRO BAIXO,0,0,0,10,1,0,0,1,1,0,0,0
COQUEIROS DO SUL,0,0,0,22,7,1,0,1,0,5,0,0
CORONEL BARROS,0,0,0,21,2,1,1,1,2,2,1,0
CORONEL BICACO,2,2,0,109,8,6,15,4,7,13,5,6
CORONEL PILAR,0,0,0,9,0,1,3,0,0,0,0,0
COTIPORA,0,0,0,35,1,3,0,0,3,1,1,0
COXILHA,1,1,0,25,5,1,1,0,2,2,7,0
CRISSIUMAL,0,0,0,82,4,6,6,0,9,2,8,2
CRISTAL,0,0,0,62,10,4,11,2,8,7,4,3
CRISTAL DO SUL,0,0,0,19,7,2,3,0,2,3,1,0
CRUZ ALTA,12,13,0,1159,45,129,350,18,70,96,80,46
CRUZALTENSE,0,0,0,18,1,0,0,0,1,1,0,0
CRUZEIRO DO SUL,2,2,0,80,10,14,24,6,13,7,5,4
DAVID CANABARRO,0,0,0,16,2,4,2,4,0,1,0,0
DERRUBADAS,0,0,0,35,7,1,2,0,2,4,0,0
DEZESSEIS DE NOVEMBRO,0,0,0,15,7,0,0,0,0,3,0,0
DILERMANDO DE AGUIAR,0,0,0,47,21,1,1,0,2,1,0,0
DOIS IRMAOS,1,2,0,192,2,21,43,12,40,1,46,7
DOIS IRMAOS DAS MISSOES,0,0,0,10,2,0,1,0,0,0,0,0
DOIS LAJEADOS,0,0,0,23,0,2,1,1,3,0,0,0
DOM FELICIANO,1,1,0,92,23,9,12,1,3,1,2,1
DOM PEDRITO,7,7,1,501,61,17,67,1,34,31,25,26
DOM PEDRO DE ALCANTARA,0,0,0,14,4,1,2,0,1,0,0,0
DONA FRANCISCA,1,1,0,48,5,1,0,0,4,3,1,1
DOUTOR RICARDO,0,0,0,13,1,0,2,0,0,1,0,0
DR MAURICIO CARDOSO,1,1,0,39,1,3,0,0,1,3,0,0
ELDORADO DO SUL,16,20,1,320,17,24,239,31,36,27,17,39
ENCANTADO,4,4,0,399,3,16,38,2,26,13,21,4
ENCRUZILHADA DO SUL,3,4,0,435,77,13,44,3,19,25,2,8
ENGENHO VELHO,0,0,0,4,1,1,2,1,1,0,0,0
ENTRE IJUIS,1,1,0,117,23,7,3,2,4,6,9,0
ENTRE RIOS DO SUL,1,1,0,51,6,1,9,1,2,0,0,1
EREBANGO,0,0,0,47,1,2,0,1,2,3,0,1
ERECHIM,12,15,0,1093,5,144,213,13,156,175,218,79
ERNESTINA,0,0,0,74,21,3,5,2,4,2,1,1
ERVAL GRANDE,0,0,0,21,3,2,4,1,0,2,1,0
ERVAL SECO,2,2,0,72,18,2,3,0,2,3,3,1
ESMERALDA,0,0,0,70,7,4,3,0,1,8,7,2
ESPERANCA DO SUL,0,0,0,9,1,3,2,0,0,0,1,0
ESPUMOSO,1,1,0,124,29,23,26,2,16,8,6,10
ESTACAO,2,2,0,45,4,10,7,4,7,4,1,1
ESTANCIA VELHA,2,2,0,431,3,65,252,88,65,7,70,22
ESTEIO,26,30,1,1224,1,181,788,150,150,37,99,68
ESTRELA,10,11,1,499,11,39,159,26,52,10,24,13
ESTRELA VELHA,0,0,0,12,4,0,2,1,1,1,1,0
EUGENIO DE CASTRO,0,0,0,49,8,1,1,0,1,2,0,0
FAGUNDES VARELA,0,0,0,23,3,0,0,0,3,1,1,0
FARROUPILHA,9,10,0,984,19,168,326,73,116,30,109,33
FAXINAL DO SOTURNO,2,2,0,73,4,0,5,0,4,3,7,1
FAXINALZINHO,0,0,0,18,6,4,2,2,0,1,1,0
FAZENDA VILA NOVA,1,1,0,52,16,6,27,8,5,1,14,1
FELIZ,0,0,0,100,3,2,11,2,13,2,21,3
FLORES DA CUNHA,3,3,1,321,6,75,95,24,49,14,15,2
FLORIANO PEIXOTO,0,0,0,12,1,0,0,0,2,1,0,0
FONTOURA XAVIER,1,1,0,111,29,10,5,4,5,12,3,0
FORMIGUEIRO,0,0,0,79,24,1,4,0,18,7,1,3
FORQUETINHA,0,0,0,12,1,0,1,0,1,0,0,0
FORTALEZA DOS VALOS,1,1,0,19,3,2,4,1,2,4,1,0
FREDERICO WESTPHALEN,9,9,0,371,19,24,31,5,62,18,84,14
GARIBALDI,5,6,0,360,11,76,83,21,28,6,16,8
GARRUCHOS,0,0,0,56,36,0,1,0,1,5,0,4
GAURAMA,0,0,0,49,2,3,3,0,5,6,3,0
GENERAL CAMARA,0,0,0,96,18,7,15,2,6,2,3,3
GENTIL,0,0,0,22,11,0,1,0,1,1,0,0
GETULIO VARGAS,3,3,0,169,1,14,20,4,19,9,17,21
GIRUA,0,0,0,180,18,13,7,0,6,8,18,7
GLORINHA,1,1,0,134,53,3,15,10,9,4,4,3
GRAMADO,2,2,1,605,4,29,39,3,87,14,46,24
GRAMADO DOS LOUREIROS,0,0,0,9,1,1,4,0,1,1,0,0
GRAMADO XAVIER,0,0,0,27,4,0,6,0,0,4,0,0
GRAVATAI,133,165,7,2440,91,492,3056,642,352,163,161,187
GUABIJU,0,0,0,8,0,0,0,0,3,0,0,0
GUAIBA,44,47,1,737,12,90,974,70,67,77,140,85
GUAPORE,2,2,0,226,12,16,27,5,32,10,31,16
GUARANI DAS MISSOES,0,0,0,94,5,5,4,0,4,6,1,0
HARMONIA,0,0,0,25,1,3,7,0,2,1,3,0
HERVAL,0,0,0,147,57,2,3,0,3,6,3,0
HERVEIRAS,0,0,0,12,3,0,3,1,3,1,0,0
HORIZONTINA,1,1,0,164,2,10,10,0,31,4,59,18
HULHA NEGRA,2,2,0,46,13,1,3,1,1,4,1,2
HUMAITA,0,0,0,27,2,2,3,0,0,0,0,0
IBARAMA,1,1,0,34,10,1,1,0,0,7,2,0
IBIACA,0,0,0,53,5,2,6,0,5,3,0,1
IBIRAIARAS,1,1,0,58,6,3,0,0,4,0,2,0
IBIRAPUITA,0,0,0,32,11,2,8,0,3,7,3,2
IBIRUBA,0,0,0,190,13,14,14,1,42,6,11,12
IGREJINHA,2,2,0,407,9,32,62,15,54,12,106,27
IJUI,9,10,0,997,30,67,136,11,177,51,183,73
ILOPOLIS,0,0,0,19,3,3,2,1,2,10,5,0
IMBE,7,7,0,844,7,48,165,36,84,15,52,34
IMIGRANTE,0,0,0,14,1,1,1,0,4,0,0,0
INDEPENDENCIA,0,0,0,69,9,4,6,0,0,10,1,0
INHACORA,0,0,0,15,4,1,0,0,1,1,1,1
IPE,2,3,0,68,16,4,9,3,5,6,7,1
IPIRANGA DO SUL,0,0,0,9,1,1,1,0,0,0,0,0
IRAI,4,4,0,123,22,6,10,0,3,4,11,11
ITAARA,1,1,0,87,10,5,3,1,5,5,2,1
ITACURUBI,1,1,0,51,26,1,1,0,2,4,1,0
ITAPUCA,0,0,0,41,23,0,0,0,0,2,0,0
ITAQUI,5,5,1,524,50,9,111,1,33,25,30,39
ITATI,0,0,0,24,3,6,4,1,0,2,2,2
ITATIBA DO SUL,1,1,0,16,2,4,0,0,0,3,0,0
IVORA,0,0,0,11,2,0,0,0,4,0,0,0
IVOTI,0,0,0,161,2,10,30,9,26,2,24,2
JABOTICABA,0,0,0,22,5,5,1,0,2,2,0,1
JACUIZINHO,0,0,0,12,4,1,2,0,0,1,0,0
JACUTINGA,0,0,0,20,0,1,1,0,2,2,0,0
JAGUARAO,3,3,0,673,78,52,53,1,36,12,30,16
JAGUARI,0,0,0,49,10,0,3,0,7,2,4,2
JAQUIRANA,0,0,0,41,15,1,3,0,1,8,3,7
JARI,0,0,0,20,8,2,0,0,1,0,0,0
JOIA,0,0,0,60,16,1,3,0,1,4,2,3
JULIO DE CASTILHOS,1,1,0,251,27,13,28,2,18,15,25,12
LAGOA BONITA DO SUL,1,1,0,16,1,0,0,0,0,0,0,0
LAGOA DOS TRES CANTOS,0,0,0,15,2,0,0,0,1,0,2,1
LAGOA VERMELHA,2,3,0,545,46,14,40,7,85,32,54,23
LAGOAO,0,0,0,37,8,0,2,0,2,2,1,0
LAJEADO,18,22,0,1274,6,251,311,74,156,55,56,91
LAJEADO DO BUGRE,1,1,1,8,3,2,1,0,1,1,1,0
LAVRAS DO SUL,1,1,0,82,19,3,2,0,5,7,4,2
LIBERATO SALZANO,0,0,0,34,5,2,1,0,0,0,1,0
LINDOLFO COLLOR,0,0,0,15,0,0,2,0,0,0,4,2
LINHA NOVA,0,0,0,7,0,0,1,0,0,0,0,0
MACAMBARA,0,0,0,62,24,0,0,0,0,4,1,2
MACHADINHO,1,1,0,78,7,2,0,1,2,9,2,0
MAMPITUBA,0,0,0,25,5,1,1,1,0,1,0,0
MANOEL VIANA,0,0,0,47,16,3,2,0,0,2,4,0
MAQUINE,1,1,0,103,22,9,18,3,3,4,2,2
MARATA,0,0,0,18,1,0,2,0,1,0,0,1
MARAU,3,3,0,515,24,56,79,15,95,30,38,8
MARCELINO RAMOS,0,0,0,63,6,3,4,1,1,2,1,0
MARIANA PIMENTEL,0,0,0,58,18,1,6,3,1,0,0,0
MARIANO MORO,0,0,0,11,1,0,0,0,0,2,1,1
MARQUES DE SOUZA,0,0,0,27,6,2,3,1,2,1,2,2
MATA,0,0,0,69,21,2,1,0,4,2,0,1
MATO CASTELHANO,0,0,0,55,7,1,4,3,2,6,0,0
MATO LEITAO,0,0,0,29,2,2,2,1,4,3,3,0
MATO QUEIMADO,0,0,0,3,1,0,0,0,1,1,0,0
MAXIMILIANO DE ALMEIDA,0,0,0,35,9,4,5,0,1,0,1,0
MINAS DO LEAO,1,1,0,106,16,1,17,1,3,5,7,7
MIRAGUAI,0,0,0,61,7,12,14,3,0,0,2,0
MONTAURI,0,0,0,3,1,0,1,0,0,3,1,0
MONTE ALEGRE DOS CAMPOS,0,0,0,20,6,3,1,0,0,6,1,0
MONTE BELO DO SUL,0,0,0,21,1,0,0,1,3,0,0,0
MONTENEGRO,12,13,1,710,33,72,159,39,61,27,171,90
MORMACO,1,1,0,28,4,1,1,0,0,1,0,0
MORRINHOS DO SUL,0,0,0,15,1,2,2,1,0,0,0,0
MORRO REDONDO,1,2,0,29,2,2,2,0,2,1,2,0
MORRO REUTER,0,0,0,29,0,3,4,3,3,3,4,2
MOSTARDAS,3,3,0,225,59,17,7,1,24,15,14,9
MUCUM,0,0,0,74,5,6,15,3,0,3,7,2
MUITOS CAPOES,1,1,0,53,17,2,1,0,3,2,3,1
MULITERNO,0,0,0,8,1,0,0,0,1,4,0,0
NAO-ME-TOQUE,0,0,0,146,3,15,35,4,25,11,13,31
NICOLAU VERGUEIRO,0,0,0,22,5,0,2,1,0,3,0,0
NONOAI,3,3,0,126,7,16,18,6,9,13,5,0
NOVA ALVORADA,0,0,0,23,2,2,6,0,1,5,2,0
NOVA ARACA,1,1,1,37,3,4,3,2,6,1,1,3
NOVA BASSANO,1,1,0,48,2,9,5,0,5,3,8,3
NOVA BOA VISTA,0,0,0,13,1,1,0,0,1,0,0,0
NOVA BRESCIA,0,0,0,23,0,2,2,0,1,1,1,0
NOVA CANDELARIA,1,1,0,12,2,2,0,0,0,2,0,0
NOVA ESPERANCA DO SUL,0,0,0,22,9,1,4,1,4,3,2,1
NOVA HARTZ,4,4,0,92,1,12,28,11,24,4,6,17
NOVA PADUA,0,0,0,17,2,1,2,1,1,1,0,0
NOVA PALMA,0,0,0,72,28,0,3,1,12,1,0,0
NOVA PETROPOLIS,2,3,0,148,4,10,6,0,36,5,34,10
NOVA PRATA,2,2,1,207,9,24,39,3,34,12,20,27
NOVA RAMADA,0,0,0,26,4,0,1,0,1,3,0,0
NOVA ROMA DO SUL,0,0,0,12,1,0,1,0,1,2,3,0
NOVA SANTA RITA,9,9,0,285,31,42,96,22,26,13,33,6
NOVO BARREIRO,0,0,0,25,2,4,5,1,3,0,0,0
NOVO CABRAIS,0,0,0,38,3,1,1,0,0,3,1,0
NOVO HAMBURGO,54,58,4,2894,22,672,2567,945,518,138,205,217
NOVO MACHADO,0,0,0,21,3,3,0,0,1,2,0,0
NOVO TIRADENTES,0,0,0,10,0,0,0,0,0,0,0,0
NOVO XINGU,0,0,0,6,2,0,0,0,0,0,0,0
OSORIO,15,16,0,877,66,66,176,19,88,20,48,145
PAIM FILHO,0,0,0,32,3,0,4,0,0,2,0,0
PALMARES DO SUL,8,8,1,239,35,6,40,4,12,10,15,14
PALMEIRA DAS MISSOES,3,3,1,372,42,27,40,7,36,23,26,36
PALMITINHO,1,1,0,52,3,8,1,0,2,6,4,0
PANAMBI,3,3,0,558,13,38,24,8,64,18,26,17
PANTANO GRANDE,2,2,0,124,26,3,25,0,7,5,13,10
PARAI,0,0,0,40,4,6,3,4,13,4,6,2
PARAISO DO SUL,0,0,0,30,5,1,2,0,1,1,2,0
PARECI NOVO,0,0,0,20,1,1,2,0,4,0,1,2
PAROBE,9,10,0,381,8,87,223,73,63,24,33,36
PASSA SETE,0,0,0,47,17,0,0,0,1,1,2,1
PASSO DO SOBRADO,0,0,0,72,18,7,6,0,3,5,1,0
PASSO FUNDO,35,35,6,2212,29,613,1229,193,297,192,126,159
PAULO BENTO,0,0,0,19,4,1,1,2,0,4,3,0
PAVERAMA,3,3,0,71,6,6,15,7,7,4,2,2
PEDRAS ALTAS,0,0,0,47,28,0,1,0,0,0,0,1
PEDRO OSORIO,5,5,0,144,25,10,27,0,16,3,3,1
PEJUCARA,0,0,0,49,8,1,4,1,3,3,0,0
PELOTAS,106,110,6,3653,83,543,4140,274,546,310,196,305
PICADA CAFE,0,0,0,30,1,0,0,1,5,1,2,0
PINHAL,0,0,0,22,1,3,8,0,2,2,1,0
PINHAL DA SERRA,1,1,0,13,3,1,0,0,1,0,1,0
PINHAL GRANDE,2,2,0,31,7,1,1,0,6,2,0,0
PINHEIRINHO DO VALE,0,0,0,15,3,1,0,0,0,3,0,0
PINHEIRO MACHADO,2,3,0,166,43,3,20,0,5,5,8,9
PINTO BANDEIRA,0,0,0,8,0,2,0,1,0,2,0,0
PIRAPO,0,0,1,22,16,0,0,0,0,0,0,0
PIRATINI,2,2,0,187,49,22,27,2,14,13,5,3
PLANALTO,3,3,0,104,11,3,8,4,4,5,6,1
POCO DAS ANTAS,0,0,0,8,0,0,1,0,0,0,0,0
PONTAO,0,0,0,36,2,3,7,1,0,1,0,0
PONTE PRETA,0,0,0,18,0,0,0,1,0,1,0,0
PORTAO,9,9,0,373,25,50,167,54,55,27,30,19
PORTO ALEGRE,574,651,12,27608,91,3099,34575,8430,4635,898,696,1943
PORTO LUCENA,1,1,0,31,4,2,1,0,2,10,0,0
PORTO MAUA,1,1,0,37,8,1,2,0,1,1,0,1
PORTO VERA CRUZ,0,0,0,16,4,0,1,0,0,1,0,0
PORTO XAVIER,0,0,1,135,27,6,9,0,9,17,9,2
POUSO NOVO,0,0,0,23,5,1,4,1,2,0,0,0
PRESIDENTE LUCENA,0,0,0,25,3,1,1,3,3,1,5,1
PROGRESSO,1,1,0,52,3,1,3,1,5,7,1,2
PROTASIO ALVES,1,1,0,9,4,1,1,0,2,1,0,0
PUTINGA,0,0,0,32,5,0,4,0,4,3,0,0
QUARAI,5,5,0,447,61,22,37,1,22,18,12,5
QUATRO IRMAOS,0,0,0,5,2,0,0,0,1,2,0,0
QUEVEDOS,0,0,0,23,11,0,0,0,1,4,0,0
QUINZE DE NOVEMBRO,0,0,0,34,5,1,0,0,3,2,0,0
REDENTORA,5,6,1,85,9,7,9,2,6,3,3,1
RELVADO,0,0,0,10,1,1,0,1,1,0,0,0
RESTINGA SECA,0,0,0,228,53,9,10,1,9,9,30,7
RIO DOS INDIOS,0,0,0,25,7,0,2,3,0,4,0,0
RIO GRANDE,57,58,1,3042,102,218,2667,88,272,154,171,255
RIO PARDO,6,6,1,416,56,35,83,2,36,22,40,13
RIOZINHO,2,2,0,19,0,3,3,0,3,3,7,2
ROCA SALES,3,3,0,175,3,10,31,2,3,3,4,12
RODEIO BONITO,0,0,0,47,9,7,7,0,5,5,6,3
ROLADOR,1,1,0,15,5,0,0,0,2,2,0,0
ROLANTE,2,2,0,163,14,4,14,5,22,9,42,10
RONDA ALTA,2,2,0,68,8,7,17,12,5,0,5,0
RONDINHA,1,1,0,26,5,2,4,4,3,2,0,1
ROQUE GONZALES,1,1,0,74,22,1,4,1,2,9,3,4
ROSARIO DO SUL,4,5,0,564,117,20,44,2,47,44,58,22
SAGRADA FAMILIA,0,0,0,24,2,2,3,0,0,1,0,1
SALDANHA MARINHO,0,0,0,27,3,0,4,5,2,2,0,0
SALTO DO JACUI,5,6,0,239,10,14,30,1,15,13,3,8
SALVADOR DAS MISSOES,0,0,0,28,1,2,1,0,2,1,0,0
SALVADOR DO SUL,0,0,0,41,1,3,3,1,4,0,8,0
SANANDUVA,1,1,0,151,6,17,10,3,9,6,10,5
SANTA BARBARA DO SUL,0,0,0,115,9,4,11,3,12,5,6,2
SANTA CECILIA DO SUL,0,0,0,30,7,0,1,0,1,4,0,1
SANTA CLARA DO SUL,0,0,0,17,1,8,4,1,1,0,0,0
SANTA CRUZ DO SUL,29,30,3,2053,23,459,478,50,210,85,61,110
SANTA MARGARIDA DO SUL,0,0,0,30,14,1,1,0,1,3,0,0
SANTA MARIA,59,61,5,3634,120,281,1638,40,593,190,433,201
SANTA MARIA DO HERVAL,1,1,0,17,0,7,2,0,9,1,4,0
SANTA ROSA,4,4,1,771,18,48,73,3,77,32,191,77
SANTA TEREZA,0,0,0,9,1,0,2,0,1,1,0,0
SANTA VITORIA DO PALMAR,6,6,0,745,111,33,79,4,27,24,12,16
SANTANA DA BOA VISTA,2,2,0,88,13,4,11,2,0,8,7,0
SANTANA DO LIVRAMENTO,7,8,1,1156,219,72,179,9,124,42,109,37
SANTIAGO,2,2,0,737,59,13,60,1,86,28,188,109
SANTO ANGELO,5,6,0,1557,84,79,226,7,75,51,135,38
SANTO ANTONIO DA PATRULHA,9,12,2,422,35,47,121,21,55,19,41,29
SANTO ANTONIO DAS MISSOES,1,1,0,133,37,0,2,1,8,9,5,3
SANTO ANTONIO DO PALMA,0,0,0,20,4,0,0,3,1,1,0,0
SANTO ANTONIO DO PLANALTO,1,1,0,13,0,0,2,6,2,1,0,0
SANTO AUGUSTO,5,5,1,179,18,20,17,1,14,12,3,5
SANTO CRISTO,0,0,0,79,12,6,2,0,9,2,4,2
SANTO EXPEDITO DO SUL,1,1,0,8,3,0,0,0,0,2,0,0
SAO BORJA,12,12,1,810,79,33,206,8,76,40,38,36
SAO DOMINGOS DO SUL,0,0,0,19,1,0,1,2,4,1,0,0
SAO FRANCISCO DE ASSIS,2,2,0,313,97,7,16,0,10,12,15,5
SAO FRANCISCO DE PAULA,4,4,1,328,99,12,46,10,20,20,34,24
SAO GABRIEL,6,6,0,992,134,41,108,5,65,59,58,71
SAO JERONIMO,9,9,1,345,30,10,55,6,9,19,70,31
SAO JOAO DA URTIGA,0,0,0,11,1,0,1,0,1,1,0,0
SAO JOAO DO POLESINE,0,0,0,60,9,0,1,0,6,1,0,0
SAO JORGE,0,0,0,13,0,0,3,0,2,1,0,1
SAO JOSE DAS MISSOES,0,0,0,12,1,0,0,0,0,1,0,0
SAO JOSE DO HERVAL,0,0,0,20,6,1,1,0,1,0,0,0
SAO JOSE DO HORTENCIO,0,0,0,26,5,1,3,1,11,1,3,2
SAO JOSE DO INHACORA,0,0,0,5,1,0,0,0,0,1,0,0
SAO JOSE DO NORTE,22,23,0,338,27,20,137,5,8,17,14,15
SAO JOSE DO OURO,0,0,0,60,5,3,1,1,5,9,1,0
SAO JOSE DO SUL,0,0,0,17,0,1,1,0,0,1,2,0
SAO JOSE DOS AUSENTES,3,4,0,10,1,0,0,0,3,2,1,2
SAO LEOPOLDO,82,87,4,2236,18,617,2348,742,363,136,110,218
