Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,0,64,1,1,0,0,0,0,1,0,2,0,0
AGUA SANTA,0,0,38,2,2,0,1,0,0,1,0,6,0,2
AGUDO,2,0,177,0,12,0,0,0,0,17,0,8,4,2
AJURICABA,0,0,51,3,0,0,0,0,0,4,0,2,0,0
ALECRIM,0,0,90,2,3,0,0,0,0,2,0,8,0,0
ALEGRETE,6,0,903,15,103,4,1,6,0,71,0,47,181,109
ALEGRIA,0,0,36,1,1,0,0,0,0,1,0,1,0,1
ALMIRANTE TAMANDARE DO SUL,0,0,14,0,2,0,0,0,0,1,0,0,1,0
ALPESTRE,2,0,93,6,4,0,0,0,0,3,0,14,1,0
ALTO ALEGRE,0,0,6,0,1,0,0,0,0,0,0,1,0,0
ALTO FELIZ,0,0,10,2,2,0,0,1,0,1,0,2,1,0
ALVORADA,156,1,2251,341,2286,5,341,3,1,324,2,131,307,257
AMARAL FERRADOR,1,0,40,0,8,0,0,0,0,4,0,7,0,0
AMETISTA DO SUL,1,0,60,3,0,0,0,2,0,3,0,1,5,0
ANDRE DA ROCHA,0,0,16,0,0,0,0,0,0,0,0,2,0,1
ANTA GORDA,0,0,27,1,0,0,0,0,0,1,0,4,2,0
ANTONIO PRADO,0,0,134,6,9,0,3,1,0,18,1,5,16,10
ARAMBARE,0,0,65,2,4,0,1,0,0,2,0,5,8,1
ARARICA,0,0,47,5,14,0,6,1,0,11,0,8,3,1
ARATIBA,0,0,27,1,0,0,0,0,0,9,0,6,0,0
ARROIO DO MEIO,2,0,198,13,14,0,0,1,0,36,1,6,26,5
ARROIO DO PADRE,0,0,11,1,0,0,0,0,0,0,0,0,0,0
ARROIO DO SAL,1,0,472,10,31,0,3,0,0,16,2,9,35,11
ARROIO DO TIGRE,1,0,135,2,9,0,0,0,0,10,0,21,0,2
ARROIO DOS RATOS,1,0,154,6,16,0,4,2,1,11,0,5,9,10
ARROIO GRANDE,0,0,227,5,5,0,1,0,0,13,1,13,22,15
ARVOREZINHA,4,0,84,5,3,0,0,0,0,8,1,25,8,11
AUGUSTO PESTANA,0,0,55,1,4,0,0,0,0,8,0,6,2,0
AUREA,0,0,31,0,1,0,0,0,0,6,0,0,0,0
BAGE,11,1,1938,73,266,0,6,3,0,84,1,51,165,77
BALNEARIO PINHAL,8,0,401,30,52,0,8,0,0,32,0,10,28,17
BARAO,1,0,29,1,0,0,0,0,0,3,0,2,0,0
BARAO DE COTEGIPE,0,0,65,5,4,0,0,0,0,2,0,6,2,1
BARAO DO TRIUNFO,2,0,74,1,5,0,0,0,0,1,0,6,0,3
BARRA DO GUARITA,2,0,22,1,2,0,0,0,0,0,0,3,1,1
BARRA DO QUARAI,1,0,60,0,2,0,0,0,0,2,1,0,3,0
BARRA DO RIBEIRO,1,0,254,4,38,0,5,2,0,13,0,8,17,2
BARRA DO RIO AZUL,0,0,5,0,2,0,0,0,0,0,0,0,0,0
BARRA FUNDA,0,0,17,0,1,0,0,1,0,3,0,1,0,0
BARRACAO,3,0,47,4,3,0,0,0,0,6,1,8,1,2
BARROS CASSAL,2,0,78,1,4,0,2,0,0,8,0,8,1,1
BENJAMIN CONSTANT DO SUL,0,0,10,0,1,0,0,0,0,0,0,0,0,0
BENTO GONCALVES,20,0,1561,387,428,2,100,2,1,190,6,78,101,58
BOA VISTA DAS MISSOES,0,0,17,2,0,0,0,0,0,2,0,2,0,0
BOA VISTA DO BURICA,0,0,21,0,1,0,0,0,0,5,0,1,1,0
BOA VISTA DO CADEADO,0,0,31,0,1,0,0,0,0,2,0,1,0,0
BOA VISTA DO INCRA,0,0,34,3,0,0,0,0,0,2,0,0,0,0
BOA VISTA DO SUL,0,0,13,2,2,0,1,0,0,0,0,0,0,0
BOM JESUS,1,0,110,2,11,0,0,1,0,10,0,11,17,15
BOM PRINCIPIO,0,0,120,9,4,0,11,0,0,19,0,5,23,0
BOM PROGRESSO,0,0,14,1,2,1,0,0,0,2,1,2,0,0
BOM RETIRO DO SUL,0,0,119,7,11,0,2,1,0,5,0,2,2,2
BOQUEIRAO DO LEAO,1,0,50,4,3,0,0,0,0,1,0,2,3,0
BOSSOROCA,0,0,79,1,1,0,0,0,0,9,0,7,1,0
BOZANO,0,0,26,1,0,0,0,0,0,2,0,0,0,0
BRAGA,0,0,58,4,3,0,0,0,0,2,0,7,0,0
BROCHIER,0,0,27,3,0,0,1,0,0,2,0,3,1,2
BUTIA,4,0,369,12,38,0,2,1,0,22,0,17,42,21
CACAPAVA DO SUL,2,0,459,23,25,0,2,0,0,14,0,17,46,4
CACEQUI,0,0,333,4,9,0,0,0,0,29,0,17,11,5
CACHOEIRA DO SUL,7,0,1354,171,152,0,1,5,0,51,0,46,52,38
CACHOEIRINHA,35,0,1935,290,1160,1,316,2,1,259,1,68,355,94
CACIQUE DOBLE,0,0,38,1,1,0,1,1,0,3,0,5,1,0
CAIBATE,1,0,24,1,1,0,1,0,0,2,0,1,2,0
CAICARA,0,0,38,2,2,0,0,0,0,0,0,5,0,0
CAMAQUA,5,0,1063,85,124,0,6,4,0,111,2,43,76,44
CAMARGO,0,0,21,0,0,0,0,0,0,2,0,2,0,0
CAMBARA DO SUL,1,0,57,2,2,0,1,0,0,4,0,3,3,7
CAMPESTRE DA SERRA,0,0,29,0,2,0,1,0,0,1,0,2,1,0
CAMPINA DAS MISSOES,1,0,32,1,0,0,1,0,1,1,0,3,0,0
CAMPINAS DO SUL,0,0,40,1,2,0,0,0,0,1,0,4,1,4
CAMPO BOM,5,0,795,345,468,1,195,2,2,68,0,31,130,39
CAMPO NOVO,2,0,73,4,5,0,0,2,0,19,1,5,5,3
CAMPOS BORGES,0,0,33,3,1,0,0,0,0,0,0,5,1,0
CANDELARIA,9,0,380,31,32,0,1,1,0,25,0,33,22,12
CANDIDO GODOI,0,0,28,0,0,0,0,0,0,1,0,0,0,0
CANDIOTA,0,0,195,1,6,0,0,0,0,8,0,4,2,0
CANELA,5,0,985,44,60,1,5,1,0,80,0,25,80,78
CANGUCU,2,0,430,22,24,0,1,0,0,12,2,22,10,10
CANOAS,106,1,6155,759,3259,6,935,22,2,509,2,221,949,394
CANUDOS DO VALE,0,0,6,0,1,0,0,0,0,0,0,0,0,0
CAPAO BONITO DO SUL,0,0,40,0,0,0,0,0,0,1,0,5,0,0
CAPAO DA CANOA,16,0,1501,100,209,0,16,3,0,141,1,22,96,112
CAPAO DO CIPO,0,0,19,1,1,0,0,0,0,3,0,5,0,0
CAPAO DO LEAO,2,0,206,12,38,0,3,2,0,19,0,13,25,14
CAPELA DE SANTANA,1,0,120,5,15,0,4,0,0,6,0,6,21,3
CAPITAO,0,0,17,2,1,0,0,0,0,2,0,2,0,0
CAPIVARI DO SUL,1,0,47,4,4,0,0,0,0,4,0,2,7,3
CARAA,0,0,22,1,3,0,0,0,0,2,0,3,1,0
CARAZINHO,4,0,1160,95,136,1,16,3,0,106,1,52,94,48
CARLOS BARBOSA,1,0,259,19,29,0,17,0,0,34,0,7,7,1
CARLOS GOMES,0,0,6,0,0,0,0,0,0,0,0,1,0,0
CASCA,1,0,85,13,13,0,2,0,0,17,0,2,3,1
CASEIROS,1,0,22,3,5,0,1,0,0,2,0,4,0,0
CATUIPE,0,0,102,1,5,0,0,0,0,15,0,19,5,0
