Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CAXIAS DO SUL,89,1,6180,1637,2804,7,668,19,1,715,13,266,296,230
CENTENARIO,0,0,16,0,0,0,0,0,0,0,0,1,0,0
CERRITO,0,0,53,3,4,0,1,0,0,2,0,4,0,0
CERRO BRANCO,0,0,27,2,3,0,1,0,0,1,0,1,0,0
CERRO GRANDE,0,0,17,0,0,1,0,0,0,2,0,1,0,0
CERRO GRANDE DO SUL,2,0,80,13,11,0,2,0,0,6,0,6,3,4
CERRO LARGO,0,0,131,1,8,0,0,1,0,8,4,11,6,6
CHAPADA,0,0,36,9,7,0,1,0,0,8,0,3,1,0
CHARQUEADAS,7,0,366,9,27,0,0,2,0,35,22,18,136,80
CHARRUA,0,0,22,0,1,0,0,0,0,0,0,7,0,2
CHIAPETTA,0,0,38,3,2,0,0,1,0,0,0,7,3,4
CHUI,3,0,199,13,17,0,1,0,0,6,1,2,4,4
CHUVISCA,0,0,49,0,0,0,0,0,0,1,0,3,0,0
CIDREIRA,2,0,541,37,90,1,10,1,0,42,1,21,86,26
CIRIACO,0,0,74,1,17,0,4,0,0,6,0,11,1,0
COLINAS,0,0,22,1,2,0,0,0,0,1,0,0,1,0
COLORADO,0,0,24,1,1,0,0,0,0,2,0,0,0,0
CONDOR,0,0,61,1,2,0,0,0,0,7,0,2,1,0
CONSTANTINA,1,0,62,4,8,0,0,0,0,8,0,4,10,6
COQUEIRO BAIXO,0,0,7,0,0,0,0,0,0,0,0,1,0,0
COQUEIROS DO SUL,1,0,17,2,3,0,0,0,0,1,0,2,0,0
CORONEL BARROS,0,0,27,0,2,1,1,0,0,1,0,2,0,0
CORONEL BICACO,3,0,115,12,4,0,2,0,0,3,1,10,3,3
CORONEL PILAR,0,0,12,1,0,0,1,0,0,0,0,1,0,0
COTIPORA,0,0,22,1,0,0,0,0,0,2,0,3,2,0
COXILHA,0,0,37,0,2,0,2,0,0,3,0,5,3,0
CRISSIUMAL,0,0,110,14,3,0,1,2,0,18,0,16,7,7
CRISTAL,1,0,78,0,2,0,0,0,0,6,1,10,10,3
CRISTAL DO SUL,1,0,8,0,2,0,0,0,0,0,1,1,0,0
CRUZ ALTA,16,1,1146,56,196,1,19,2,0,95,3,67,53,52
CRUZALTENSE,0,0,10,2,1,0,0,0,0,0,0,4,1,0
CRUZEIRO DO SUL,1,0,124,8,38,0,9,1,0,4,1,6,1,0
DAVID CANABARRO,0,0,33,3,4,0,1,0,0,6,0,1,0,0
DERRUBADAS,1,0,29,0,0,0,0,0,0,0,1,10,0,1
DEZESSEIS DE NOVEMBRO,1,0,12,0,1,0,0,0,0,0,0,6,3,2
DILERMANDO DE AGUIAR,0,0,81,2,6,0,0,0,0,0,0,2,0,0
DOIS IRMAOS,1,0,182,49,29,0,20,0,1,21,0,5,67,5
DOIS IRMAOS DAS MISSOES,0,0,13,0,0,0,0,0,0,0,0,2,0,0
DOIS LAJEADOS,0,0,22,2,2,0,1,0,0,1,0,0,0,0
DOM FELICIANO,1,0,88,9,10,0,2,0,0,3,0,11,1,0
DOM PEDRITO,2,0,461,28,43,0,2,1,0,44,3,43,58,27
DOM PEDRO DE ALCANTARA,0,0,29,1,4,0,1,0,0,0,0,0,0,1
DONA FRANCISCA,1,0,51,1,2,0,0,0,0,2,0,1,0,0
DOUTOR RICARDO,0,0,18,1,2,0,0,0,0,2,0,0,0,0
DR MAURICIO CARDOSO,1,0,31,4,0,0,0,0,0,0,0,0,1,1
ELDORADO DO SUL,15,0,460,38,153,0,19,5,0,45,0,31,46,40
ENCANTADO,2,0,342,23,16,2,0,1,0,30,0,22,60,26
ENCRUZILHADA DO SUL,3,0,393,14,24,0,6,0,0,12,1,25,7,15
ENGENHO VELHO,0,0,5,0,0,0,0,0,0,0,0,2,0,0
ENTRE IJUIS,1,0,126,4,3,0,0,0,0,6,0,8,8,0
ENTRE RIOS DO SUL,0,0,31,0,3,0,0,0,0,0,0,3,0,0
EREBANGO,1,0,26,0,0,0,0,0,0,1,0,2,0,0
ERECHIM,13,0,1669,291,237,0,18,4,0,189,2,152,155,50
ERNESTINA,0,0,70,1,7,0,4,0,0,4,0,5,3,0
ERVAL GRANDE,0,0,21,3,3,0,2,0,0,0,0,3,1,0
ERVAL SECO,0,0,40,4,2,0,0,0,0,4,0,3,3,0
ESMERALDA,0,0,37,2,1,0,0,0,0,0,0,4,1,0
ESPERANCA DO SUL,1,0,17,1,0,0,0,0,0,1,0,1,0,0
ESPUMOSO,1,0,69,14,7,0,1,1,0,10,0,5,7,7
ESTACAO,0,0,43,4,7,0,1,1,0,5,0,2,1,0
ESTANCIA VELHA,7,0,399,47,200,0,87,3,1,49,0,14,59,16
ESTEIO,19,0,1609,185,847,1,126,3,1,140,2,52,198,66
ESTRELA,6,0,481,22,99,0,8,2,0,37,0,14,90,23
ESTRELA VELHA,0,0,13,0,1,0,0,0,0,1,0,1,0,1
EUGENIO DE CASTRO,0,0,35,0,4,0,0,0,0,4,0,2,0,0
FAGUNDES VARELA,0,0,11,0,1,0,0,0,0,1,0,0,0,0
FARROUPILHA,5,0,909,188,167,0,77,7,0,108,4,44,121,39
FAXINAL DO SOTURNO,0,0,71,3,4,0,0,0,0,1,1,2,0,0
FAXINALZINHO,1,0,14,2,1,0,1,0,0,0,0,4,0,0
FAZENDA VILA NOVA,0,0,64,8,4,0,1,0,0,1,0,5,2,2
FELIZ,0,0,98,11,14,0,2,0,0,14,0,4,32,3
FLORES DA CUNHA,3,0,208,22,53,0,23,1,0,35,2,9,56,7
FLORIANO PEIXOTO,1,0,11,0,0,0,0,0,0,1,0,0,0,1
FONTOURA XAVIER,1,0,108,17,5,0,1,0,0,6,0,5,0,2
FORMIGUEIRO,0,0,58,1,4,0,0,1,0,6,0,6,1,5
FORQUETINHA,0,0,18,0,0,0,0,0,0,1,1,1,1,0
FORTALEZA DOS VALOS,0,0,61,3,1,0,0,0,0,6,0,1,1,0
FREDERICO WESTPHALEN,3,0,298,20,14,1,0,0,0,45,1,18,81,9
GARIBALDI,2,1,310,38,71,0,45,2,0,11,0,2,18,2
GARRUCHOS,1,0,61,1,1,0,0,0,0,0,0,8,0,1
GAURAMA,0,0,87,1,2,0,0,0,0,4,0,1,3,0
GENERAL CAMARA,0,0,93,1,11,0,0,0,0,6,0,2,2,4
GENTIL,0,0,17,0,3,0,0,0,0,3,0,2,0,0
GETULIO VARGAS,3,0,205,13,24,0,0,3,0,19,0,18,18,14
GIRUA,0,0,261,22,14,0,2,0,1,16,1,7,10,6
GLORINHA,1,0,112,5,17,1,2,0,0,2,0,3,2,5
GRAMADO,4,0,552,22,25,0,3,2,0,92,0,23,51,25
GRAMADO DOS LOUREIROS,0,0,13,0,0,0,0,0,0,0,0,0,0,0
GRAMADO XAVIER,1,0,13,1,1,0,1,0,0,2,0,1,0,0
GRAVATAI,92,1,3347,620,1856,6,583,6,3,573,11,219,437,250
GUABIJU,0,0,5,2,2,0,1,0,0,1,0,0,0,0
GUAIBA,23,0,1326,109,577,1,33,1,0,103,4,76,145,69
GUAPORE,3,0,213,13,14,1,3,1,0,44,0,15,52,11
GUARANI DAS MISSOES,0,0,114,0,3,0,0,0,0,12,1,6,2,0
HARMONIA,0,0,28,1,0,0,1,0,0,1,0,0,3,0
HERVAL,0,0,85,3,3,0,0,0,0,2,1,5,3,0
HERVEIRAS,0,0,19,1,2,0,0,0,0,1,0,1,0,0
HORIZONTINA,1,0,217,22,5,0,0,0,0,28,0,6,38,8
HULHA NEGRA,0,0,58,0,0,0,0,0,0,1,0,3,2,0
HUMAITA,0,0,25,1,2,0,0,0,0,8,0,1,2,1
IBARAMA,0,0,47,1,0,0,0,0,0,1,0,0,0,0
IBIACA,0,0,47,3,3,0,1,0,0,17,0,1,0,0
IBIRAIARAS,0,0,72,9,7,0,0,0,0,11,0,3,2,0
IBIRAPUITA,0,0,36,2,5,0,1,0,0,1,0,6,0,1
IBIRUBA,1,0,209,11,24,0,2,0,0,24,0,4,5,18
IGREJINHA,5,0,408,41,78,1,12,3,0,63,1,16,69,61
IJUI,5,0,1112,100,159,2,3,3,0,150,3,55,54,51
ILOPOLIS,1,0,29,0,1,0,2,0,0,4,0,5,6,4
IMBE,9,0,994,58,103,0,12,2,0,67,1,15,50,20
IMIGRANTE,0,0,25,3,3,0,0,0,0,1,0,0,0,0
INDEPENDENCIA,0,0,51,0,4,0,0,0,0,9,0,3,0,0
INHACORA,0,0,20,1,3,0,0,0,0,0,0,3,1,1
IPE,1,0,61,2,3,0,0,0,0,5,0,3,2,1
IPIRANGA DO SUL,0,0,14,1,1,0,0,0,0,1,0,1,0,1
IRAI,2,0,57,1,4,0,1,0,0,9,0,5,14,8
ITAARA,0,0,60,0,4,0,0,1,0,3,0,2,5,1
ITACURUBI,0,0,33,0,0,0,0,0,0,0,0,2,2,0
ITAPUCA,0,0,23,0,0,0,0,0,0,0,0,8,1,0
ITAQUI,4,0,441,15,47,0,0,2,0,49,4,48,47,110
ITATI,0,0,21,1,4,0,0,0,0,2,0,4,0,0
ITATIBA DO SUL,1,0,31,1,0,0,0,0,0,0,0,3,0,0
IVORA,0,0,21,0,0,0,0,0,0,0,0,0,0,0
IVOTI,1,0,143,19,20,0,20,2,0,29,1,3,119,8
JABOTICABA,1,0,22,1,3,0,0,0,0,1,1,0,0,0
JACUIZINHO,0,0,16,1,1,0,0,0,0,1,0,1,0,0
JACUTINGA,0,0,18,0,2,0,0,0,0,1,0,1,3,0
JAGUARAO,0,0,320,22,19,1,0,1,0,17,0,5,16,9
JAGUARI,0,0,93,1,3,0,1,0,0,12,1,9,2,5
JAQUIRANA,0,0,67,2,6,0,0,0,0,0,0,4,1,2
JARI,0,0,52,3,0,0,0,0,0,0,0,4,0,0
JOIA,1,0,47,3,4,0,0,0,0,1,0,10,0,0
JULIO DE CASTILHOS,1,0,314,13,24,0,1,0,0,28,0,13,11,6
LAGOA BONITA DO SUL,0,0,26,0,0,0,0,0,0,1,0,0,0,0
LAGOA DOS TRES CANTOS,0,0,19,2,1,0,0,0,0,1,1,0,0,0
LAGOA VERMELHA,4,0,646,40,44,0,9,0,0,56,1,42,31,16
LAGOAO,1,0,28,1,0,0,0,0,0,6,0,2,0,0
LAJEADO,30,0,1599,172,300,0,55,4,0,136,7,114,137,84
LAJEADO DO BUGRE,0,0,13,2,0,0,0,0,0,1,0,1,0,0
LAVRAS DO SUL,0,0,62,2,1,0,0,0,0,1,0,4,3,0
LIBERATO SALZANO,0,0,32,4,2,0,0,0,0,2,0,6,0,0
LINDOLFO COLLOR,0,0,17,0,1,0,0,0,0,0,0,0,5,1
LINHA NOVA,0,0,4,0,0,0,0,0,0,1,0,0,2,0
MACAMBARA,0,0,21,1,0,0,0,0,0,0,0,4,0,5
MACHADINHO,0,0,60,3,0,0,0,0,0,6,0,7,0,0
MAMPITUBA,0,0,13,0,0,0,0,0,0,2,0,2,0,0
MANOEL VIANA,0,0,79,1,0,0,0,0,0,3,0,11,5,7
MAQUINE,0,0,97,4,5,0,6,0,0,5,0,2,2,3
MARATA,0,0,7,0,0,0,0,0,0,2,0,2,0,1
MARAU,2,0,491,73,84,0,19,3,1,71,0,40,29,9
MARCELINO RAMOS,0,0,51,3,0,0,0,0,0,9,1,4,2,1
MARIANA PIMENTEL,1,0,45,1,4,0,1,0,0,3,1,0,0,0
MARIANO MORO,0,0,11,1,0,0,0,0,0,1,1,0,1,0
MARQUES DE SOUZA,1,0,36,3,2,0,0,0,0,1,0,0,0,0
MATA,0,0,75,2,1,0,0,0,0,7,0,6,2,1
MATO CASTELHANO,1,0,52,0,5,0,1,0,0,1,0,3,1,0
MATO LEITAO,1,0,28,0,2,0,1,0,0,4,0,1,0,0
MATO QUEIMADO,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,33,1,1,0,0,0,0,5,0,4,0,0
MINAS DO LEAO,3,0,98,1,3,0,1,0,0,4,0,3,6,4
MIRAGUAI,2,0,70,8,3,0,1,0,0,2,0,3,4,0
MONTAURI,0,0,2,0,0,0,0,0,0,2,0,2,1,0
MONTE ALEGRE DOS CAMPOS,0,0,30,1,0,0,0,0,0,2,0,4,0,0
MONTE BELO DO SUL,0,0,14,2,1,0,0,0,0,1,0,1,0,0
MONTENEGRO,7,0,1251,79,154,1,17,3,0,87,3,31,448,56
MORMACO,0,0,20,2,2,0,0,0,0,7,0,1,0,0
MORRINHOS DO SUL,0,0,7,1,1,0,0,0,0,2,0,0,0,0
MORRO REDONDO,0,0,52,2,4,0,0,0,0,1,0,2,1,0
MORRO REUTER,1,0,58,1,5,0,2,0,0,2,0,1,1,0
MOSTARDAS,1,0,206,14,6,0,0,1,1,9,0,12,13,12
MUCUM,0,0,48,4,9,0,2,0,0,5,0,4,6,1
MUITOS CAPOES,0,0,47,1,0,0,0,0,0,0,0,3,0,0
MULITERNO,1,0,13,3,0,1,1,0,0,1,0,2,0,0
NAO-ME-TOQUE,1,0,119,15,26,0,5,2,0,19,1,24,16,10
NICOLAU VERGUEIRO,0,0,18,0,3,0,1,0,0,0,0,0,0,0
NONOAI,1,0,154,15,4,1,0,0,0,9,0,13,7,5
NOVA ALVORADA,0,0,25,2,2,0,0,0,0,0,0,5,0,0
NOVA ARACA,0,0,29,2,6,0,0,0,0,3,0,4,1,0
NOVA BASSANO,0,0,79,7,8,0,2,0,0,10,1,9,3,1
NOVA BOA VISTA,0,0,7,0,0,0,0,0,0,1,0,0,0,0
NOVA BRESCIA,0,0,20,0,0,0,0,0,0,3,0,1,3,0
NOVA CANDELARIA,0,0,8,0,0,0,0,0,0,3,0,0,1,0
NOVA ESPERANCA DO SUL,0,0,27,1,1,0,0,0,0,3,0,2,2,0
NOVA HARTZ,1,0,185,9,51,0,8,2,0,31,0,8,12,7
NOVA PADUA,0,0,11,0,4,0,0,0,0,0,0,0,0,0
NOVA PALMA,0,0,68,2,8,0,1,0,0,4,1,6,0,0
NOVA PETROPOLIS,0,0,154,4,9,1,1,0,0,27,1,3,24,4
NOVA PRATA,2,0,215,32,15,0,2,2,0,28,0,12,8,13
NOVA RAMADA,0,0,12,0,2,0,0,0,0,2,0,3,0,0
NOVA ROMA DO SUL,0,0,12,0,0,0,0,0,0,1,0,1,2,0
NOVA SANTA RITA,5,0,364,37,45,0,18,2,0,12,1,12,52,7
NOVO BARREIRO,1,0,25,2,3,0,0,0,0,1,0,3,1,2
NOVO CABRAIS,0,0,24,0,0,0,0,0,0,3,0,2,0,0
NOVO HAMBURGO,87,0,3971,1122,2186,6,798,17,2,591,4,189,370,244
NOVO MACHADO,0,0,25,0,0,0,0,1,0,2,0,2,0,0
NOVO TIRADENTES,0,0,5,1,0,0,0,0,0,0,0,0,0,0
NOVO XINGU,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OSORIO,15,0,895,102,122,1,15,4,0,85,0,36,165,66
PAIM FILHO,0,0,51,3,1,0,0,0,0,2,0,3,0,0
PALMARES DO SUL,5,0,249,18,24,1,0,0,0,14,0,13,21,15
PALMEIRA DAS MISSOES,6,0,400,34,36,1,4,0,0,20,3,33,28,39
PALMITINHO,2,0,31,3,3,0,0,0,0,2,0,6,1,2
PANAMBI,3,0,373,25,15,0,3,2,0,41,0,8,7,10
PANTANO GRANDE,2,0,133,3,10,0,3,1,0,6,0,5,13,4
PARAI,1,0,53,5,4,0,0,0,0,7,0,2,1,1
PARAISO DO SUL,0,0,73,1,1,0,0,0,0,5,0,4,0,0
PARECI NOVO,0,0,36,1,0,0,0,0,0,10,0,0,5,0
PAROBE,8,1,523,120,162,1,30,3,0,93,1,44,56,48
PASSA SETE,0,0,65,4,4,0,0,0,0,4,0,6,0,0
PASSO DO SOBRADO,0,0,66,1,8,0,4,0,0,3,0,6,0,0
PASSO FUNDO,36,3,2443,428,1073,2,177,9,0,393,3,226,200,94
PAULO BENTO,0,0,25,2,2,0,0,0,0,2,0,1,0,0
PAVERAMA,0,1,66,3,9,0,0,0,0,2,0,2,0,0
PEDRAS ALTAS,0,0,53,0,0,0,0,0,0,1,0,0,1,0
PEDRO OSORIO,1,0,134,5,12,0,0,0,0,7,0,6,4,5
PEJUCARA,0,0,44,3,1,0,0,0,0,2,0,3,1,2
PELOTAS,64,0,4843,814,2835,7,205,6,0,504,7,246,272,222
PICADA CAFE,0,0,36,1,0,0,1,0,0,1,0,1,2,0
PINHAL,1,0,27,5,4,0,1,0,0,1,0,1,0,0
PINHAL DA SERRA,0,0,33,1,1,0,0,0,0,0,0,6,0,0
PINHAL GRANDE,0,0,17,3,1,0,0,0,0,3,0,2,0,0
PINHEIRINHO DO VALE,0,0,10,2,1,0,0,0,0,0,0,2,0,0
PINHEIRO MACHADO,0,0,188,8,9,0,0,1,0,14,0,4,4,1
PINTO BANDEIRA,0,0,6,0,0,1,0,0,0,0,0,1,0,0
PIRAPO,0,0,27,0,0,0,0,0,0,0,0,2,0,0
PIRATINI,0,0,247,19,3,0,0,0,0,13,1,18,5,7
PLANALTO,0,0,103,6,4,0,0,0,0,8,0,7,7,6
POCO DAS ANTAS,0,0,10,0,0,0,0,0,0,0,0,1,0,0
PONTAO,0,0,40,1,5,0,2,0,0,1,0,2,0,1
PONTE PRETA,0,0,12,1,2,0,0,0,0,0,0,1,0,0
PORTAO,10,0,493,143,152,0,49,6,0,46,1,13,36,22
PORTO ALEGRE,574,2,37609,4081,24454,25,6938,72,6,5284,62,1017,842,2838
PORTO LUCENA,0,0,38,2,0,0,0,0,0,2,0,3,0,0
PORTO MAUA,1,0,49,1,3,0,0,0,0,0,0,2,3,0
PORTO VERA CRUZ,1,0,15,0,0,0,0,0,0,0,0,0,0,0
PORTO XAVIER,2,0,81,1,4,0,0,0,0,5,0,16,8,2
POUSO NOVO,0,0,23,2,0,0,0,0,0,3,1,1,0,0
PRESIDENTE LUCENA,0,0,14,0,1,0,0,0,0,4,0,1,2,0
PROGRESSO,0,0,50,0,2,0,0,1,0,6,0,15,1,2
PROTASIO ALVES,0,0,9,0,0,0,0,0,0,0,0,0,0,0
PUTINGA,0,0,35,3,1,0,0,0,0,2,0,3,1,0
QUARAI,2,0,291,19,11,0,0,0,0,29,1,5,13,9
QUATRO IRMAOS,1,0,10,0,1,0,0,0,0,2,0,1,0,0
QUEVEDOS,0,0,22,2,0,0,0,0,0,0,0,4,0,0
QUINZE DE NOVEMBRO,0,0,28,0,1,0,2,0,0,0,0,1,1,0
REDENTORA,3,0,48,8,3,0,0,0,0,0,0,4,0,1
RELVADO,0,0,19,0,2,0,0,0,0,0,0,0,0,0
RESTINGA SECA,1,0,196,6,8,0,0,0,0,13,0,8,9,3
RIO DOS INDIOS,1,0,35,3,0,0,0,0,0,0,0,1,1,0
RIO GRANDE,55,1,3561,338,1646,3,35,5,1,353,5,187,322,293
RIO PARDO,5,0,478,20,46,0,3,4,0,32,0,24,68,19
RIOZINHO,1,0,55,5,2,0,0,0,0,3,0,0,0,0
ROCA SALES,2,0,194,2,4,0,0,0,0,6,0,2,6,4
RODEIO BONITO,0,0,45,3,0,0,0,0,0,3,0,4,1,0
ROLADOR,0,0,20,0,0,0,0,0,0,1,0,1,0,0
ROLANTE,6,0,209,13,26,1,2,1,0,18,0,11,47,5
RONDA ALTA,0,0,84,8,6,0,1,0,0,8,0,6,8,0
RONDINHA,1,0,29,1,2,0,0,0,0,9,0,0,0,0
ROQUE GONZALES,0,0,76,4,1,0,0,0,0,8,1,7,2,2
ROSARIO DO SUL,2,0,497,9,40,0,0,1,0,34,0,42,48,22
SAGRADA FAMILIA,0,0,12,1,1,0,1,0,0,0,0,2,0,0
SALDANHA MARINHO,0,0,18,1,1,0,0,0,0,3,0,1,0,0
SALTO DO JACUI,2,0,181,13,9,0,1,1,0,18,1,9,11,3
SALVADOR DAS MISSOES,0,0,24,0,0,0,0,0,0,2,0,0,0,0
SALVADOR DO SUL,1,0,65,10,3,0,0,0,0,1,0,1,2,0
