Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
ACEGUA,1,1,0,29,17,1,1,0,14,5,0,0,0,0
AGUA SANTA,0,0,0,42,3,5,10,1,13,8,0,0,0,0
AGUDO,2,3,0,98,4,3,5,0,49,6,7,11,0,0
AJURICABA,0,0,0,29,1,1,0,1,10,4,7,5,0,0
ALECRIM,1,1,0,49,10,0,1,0,9,8,5,3,0,0
ALEGRETE,12,12,0,854,80,14,121,3,405,49,73,64,0,2
ALEGRIA,0,0,0,23,3,0,0,0,5,4,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,17,2,0,0,0,12,1,0,0,0,0
ALPESTRE,0,0,0,48,20,2,0,2,4,3,1,1,0,0
ALTO ALEGRE,0,0,0,6,1,1,1,1,4,1,1,0,0,0
ALTO FELIZ,0,0,0,9,0,0,0,0,16,1,3,1,0,0
ALVORADA,109,116,1,1282,15,272,2332,462,1099,80,86,385,1,1
AMARAL FERRADOR,4,6,0,22,6,2,4,0,14,3,0,1,0,0
AMETISTA DO SUL,0,0,1,36,3,2,1,1,5,7,30,4,1,0
ANDRE DA ROCHA,1,1,0,13,5,0,2,0,2,2,0,0,0,0
ANTA GORDA,0,0,0,32,3,3,1,0,23,2,2,0,0,0
ANTONIO PRADO,2,3,0,48,1,10,5,0,81,4,12,16,0,0
ARAMBARE,0,0,0,66,9,0,7,1,15,1,18,3,0,0
ARARICA,1,2,0,60,3,2,13,3,30,5,5,1,0,0
ARATIBA,0,0,0,22,3,0,1,0,11,12,6,1,0,0
ARROIO DO MEIO,1,1,1,107,5,6,9,2,92,3,54,16,1,0
ARROIO DO PADRE,0,0,0,9,2,1,1,0,4,1,0,0,0,0
ARROIO DO SAL,2,2,0,286,4,17,18,4,111,9,63,33,0,0
ARROIO DO TIGRE,2,2,0,153,22,7,9,0,14,13,7,7,0,0
ARROIO DOS RATOS,0,0,0,91,11,3,7,2,31,10,50,19,0,0
ARROIO GRANDE,2,2,0,168,38,3,7,1,46,5,16,41,0,0
ARVOREZINHA,0,0,1,64,3,6,7,1,19,17,13,0,1,0
AUGUSTO PESTANA,0,0,0,28,2,0,2,0,17,3,5,2,0,0
AUREA,0,0,0,13,1,1,0,0,16,1,0,0,0,0
