Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
BAGE,9,9,2,965,89,20,175,12,743,51,189,249,2,1
BALNEARIO PINHAL,4,4,0,275,7,10,75,9,71,9,30,29,0,0
BARAO,0,0,0,14,0,0,5,0,25,4,10,0,0,0
BARAO DE COTEGIPE,1,1,0,43,1,0,4,0,31,11,5,4,0,0
BARAO DO TRIUNFO,1,1,0,43,7,2,3,0,14,12,2,2,0,0
BARRA DO GUARITA,1,1,0,14,3,1,4,0,2,3,2,0,0,0
BARRA DO QUARAI,0,0,0,92,23,2,0,0,27,10,10,14,0,0
BARRA DO RIBEIRO,7,9,0,99,12,0,15,7,43,16,72,42,0,0
BARRA DO RIO AZUL,0,0,0,5,0,0,0,0,2,0,0,0,0,0
BARRA FUNDA,0,0,0,9,1,0,1,1,8,2,0,0,0,0
BARRACAO,0,0,0,43,4,1,2,0,7,7,5,3,0,0
BARROS CASSAL,4,4,0,110,23,10,18,1,19,4,2,3,0,0
BENJAMIN CONSTANT DO SUL,0,0,0,13,2,0,1,0,5,2,0,0,0,0
BENTO GONCALVES,23,23,0,629,3,111,155,22,977,61,144,169,0,0
BOA VISTA DAS MISSOES,0,0,0,16,1,1,1,1,9,3,0,0,0,0
BOA VISTA DO BURICA,0,0,0,13,0,0,0,0,14,2,0,5,0,0
BOA VISTA DO CADEADO,0,0,0,10,6,1,0,1,6,3,0,0,0,0
BOA VISTA DO INCRA,0,0,0,11,3,0,2,1,6,5,0,0,0,0
BOA VISTA DO SUL,0,0,0,9,3,0,0,1,4,0,0,0,0,0
BOM JESUS,5,6,0,135,18,2,4,0,28,10,18,13,0,0
BOM PRINCIPIO,0,0,0,52,0,7,8,4,87,5,69,18,0,0
BOM PROGRESSO,1,1,0,10,0,0,0,0,4,1,3,4,0,0
BOM RETIRO DO SUL,1,1,0,65,5,3,7,1,40,9,98,14,0,0
BOQUEIRAO DO LEAO,0,0,0,63,5,3,4,1,9,2,2,1,0,0
BOSSOROCA,2,2,0,27,13,1,3,0,7,14,13,8,0,0
BOZANO,0,0,0,17,0,0,1,0,5,0,2,1,0,0
BRAGA,0,0,0,20,0,1,1,1,5,3,4,3,0,0
BROCHIER,0,0,0,9,1,0,1,0,11,0,3,2,0,0
BUTIA,8,9,0,157,14,9,44,1,109,24,68,46,0,0
CACAPAVA DO SUL,2,2,0,370,38,9,27,0,243,40,83,56,0,0
CACEQUI,1,1,0,129,56,1,6,0,41,5,23,3,0,0
CACHOEIRA DO SUL,3,3,0,685,49,59,93,4,296,52,105,220,0,0
CACHOEIRINHA,13,14,1,1019,12,165,980,197,943,44,231,263,1,0
CACIQUE DOBLE,0,0,0,10,0,1,2,0,3,2,1,1,0,0
CAIBATE,0,0,0,17,0,3,0,0,11,10,7,4,0,0
CAICARA,0,0,0,18,0,3,4,0,10,4,2,0,0,0
CAMAQUA,8,9,0,702,36,32,85,3,293,47,125,91,0,0
CAMARGO,0,0,0,14,1,2,0,0,14,1,5,0,0,0
CAMBARA DO SUL,0,0,0,46,16,0,1,0,9,9,9,1,0,0
CAMPESTRE DA SERRA,2,2,0,37,4,2,4,0,4,4,2,0,0,0
CAMPINA DAS MISSOES,2,2,0,12,4,1,0,0,8,6,2,0,0,0
CAMPINAS DO SUL,0,0,0,40,0,1,4,1,11,8,11,4,0,0
CAMPO BOM,4,5,0,645,4,141,203,72,445,16,69,46,0,0
CAMPO NOVO,0,0,0,39,2,2,1,0,12,6,11,12,0,0
CAMPOS BORGES,2,2,0,5,0,1,0,1,5,1,3,0,0,0
CANDELARIA,5,5,0,260,30,14,41,2,89,26,16,8,0,1
CANDIDO GODOI,0,0,0,3,0,0,1,0,5,1,1,0,0,0
CANDIOTA,0,0,0,96,29,1,8,1,38,3,5,5,0,1
CANELA,6,6,1,592,3,19,43,0,267,35,83,83,1,0
CANGUCU,2,3,0,271,70,15,26,2,162,27,14,25,0,0
CANOAS,51,54,2,3346,16,478,2914,385,2979,130,621,760,2,3
CANUDOS DO VALE,0,0,0,11,2,0,0,0,6,0,2,0,0,0
CAPAO BONITO DO SUL,0,0,0,35,14,1,0,0,3,2,1,1,0,0
CAPAO DA CANOA,3,3,0,922,6,80,202,19,486,17,59,98,0,0
CAPAO DO CIPO,0,0,0,6,5,0,0,0,7,5,2,0,0,0
CAPAO DO LEAO,5,5,0,155,23,10,31,6,76,13,2,9,0,0
CAPELA DE SANTANA,4,4,0,65,10,6,14,5,42,4,4,9,0,0
CAPITAO,0,0,0,11,2,0,1,0,6,4,4,4,0,0
CAPIVARI DO SUL,0,0,0,38,7,2,3,0,29,6,12,5,0,0
CARAA,0,0,0,30,4,2,0,0,14,12,9,7,0,0
CARAZINHO,14,15,1,672,15,46,119,20,318,46,29,32,1,0
CARLOS BARBOSA,2,2,0,118,1,3,15,8,339,1,19,22,0,0
CARLOS GOMES,0,0,0,8,0,1,0,0,5,2,0,0,0,0
CASCA,1,2,0,44,5,1,1,6,83,2,44,17,0,0
CASEIROS,0,0,0,25,8,1,2,0,8,7,1,2,0,0
CATUIPE,1,1,0,74,18,0,2,0,19,9,9,8,0,0
CAXIAS DO SUL,73,84,3,3804,24,973,1534,383,4344,214,170,507,3,0
CENTENARIO,0,0,0,9,1,0,0,0,5,3,0,0,0,0
CERRITO,0,0,0,61,17,0,1,0,10,5,4,0,0,0
CERRO BRANCO,0,0,0,19,0,2,2,0,9,1,0,0,0,0
CERRO GRANDE,0,0,0,10,3,0,2,0,3,9,3,0,0,0
CERRO GRANDE DO SUL,1,1,0,56,10,6,12,2,18,15,3,10,0,0
CERRO LARGO,1,1,0,78,2,2,4,0,47,6,23,23,0,0
CHAPADA,0,0,0,30,1,0,0,0,45,1,5,1,0,0
CHARQUEADAS,0,0,0,182,8,4,16,0,72,16,156,280,0,0
CHARRUA,0,0,0,6,1,0,0,0,3,1,1,0,0,0
CHIAPETTA,0,0,0,21,2,0,2,0,9,1,0,0,0,0
CHUI,0,0,0,127,19,1,8,1,17,4,29,7,0,0
CHUVISCA,0,0,0,41,4,3,0,0,7,2,0,0,0,0
CIDREIRA,10,10,0,425,5,16,108,8,98,14,62,55,0,0
CIRIACO,1,1,0,42,18,1,1,0,14,5,1,1,0,0
COLINAS,0,0,0,25,1,0,0,0,6,0,2,0,0,0
COLORADO,0,0,0,12,1,0,2,0,15,7,1,1,0,0
CONDOR,0,0,0,40,7,0,3,1,41,5,1,1,0,0
CONSTANTINA,1,1,0,46,2,1,2,0,20,9,12,9,0,0
COQUEIRO BAIXO,0,0,0,13,2,2,0,0,3,0,0,0,0,0
COQUEIROS DO SUL,0,0,0,16,4,1,1,0,6,1,0,0,0,0
CORONEL BARROS,1,1,0,8,2,0,0,0,2,2,0,0,0,0
CORONEL BICACO,2,2,0,77,3,2,4,0,7,4,3,2,0,0
CORONEL PILAR,0,0,0,7,1,0,0,0,2,0,0,0,0,0
COTIPORA,0,0,0,39,2,0,0,0,21,1,2,0,0,0
COXILHA,0,0,0,17,4,1,2,1,8,5,9,1,0,0
CRISSIUMAL,1,1,0,52,7,1,4,0,25,5,17,3,0,0
CRISTAL,2,2,0,62,12,3,6,0,17,9,9,12,0,0
CRISTAL DO SUL,0,0,0,11,3,0,0,0,0,3,1,0,0,0
CRUZ ALTA,16,17,1,619,30,54,142,15,339,65,39,87,1,0
CRUZALTENSE,0,0,0,5,0,0,1,0,2,3,0,0,0,0
CRUZEIRO DO SUL,1,3,0,68,1,6,12,5,38,1,10,8,0,0
DAVID CANABARRO,0,0,0,11,2,0,0,0,14,1,3,0,0,0
DERRUBADAS,1,1,0,14,5,0,0,0,3,3,0,0,0,0
DEZESSEIS DE NOVEMBRO,0,0,0,12,7,0,0,0,0,3,1,0,0,0
DILERMANDO DE AGUIAR,1,1,0,54,28,0,1,0,2,3,1,0,0,0
DOIS IRMAOS,1,1,0,150,3,23,15,4,151,5,40,11,0,0
DOIS IRMAOS DAS MISSOES,0,0,0,13,0,0,0,0,5,1,0,0,0,0
DOIS LAJEADOS,0,0,0,13,0,1,0,0,13,4,2,0,0,0
DOM FELICIANO,2,2,1,96,18,4,5,0,46,11,0,3,1,0
DOM PEDRITO,6,6,1,331,83,18,41,4,204,25,37,46,1,0
DOM PEDRO DE ALCANTARA,1,1,0,12,5,0,3,0,8,3,1,1,0,0
DONA FRANCISCA,0,0,0,16,2,1,2,0,14,7,0,1,0,0
DOUTOR RICARDO,2,2,0,25,1,1,0,0,0,1,0,0,0,0
DR MAURICIO CARDOSO,0,0,0,11,1,2,1,0,9,4,2,6,0,0
ELDORADO DO SUL,8,8,0,320,8,15,166,14,282,44,142,98,0,0
ENCANTADO,5,5,0,165,1,3,17,0,96,8,24,29,0,0
ENCRUZILHADA DO SUL,5,6,0,218,43,27,21,3,119,27,13,15,0,0
ENGENHO VELHO,0,0,0,8,1,0,0,0,4,1,0,0,0,0
ENTRE IJUIS,1,1,0,72,9,2,5,0,19,10,5,5,0,0
ENTRE RIOS DO SUL,0,0,0,35,3,0,0,0,5,3,6,1,0,0
EREBANGO,1,1,0,31,2,3,2,1,7,2,1,3,0,0
ERECHIM,19,19,0,844,8,119,120,7,529,157,176,216,0,0
ERNESTINA,0,0,0,36,10,0,2,1,18,2,14,1,0,0
ERVAL GRANDE,0,0,0,30,8,0,2,2,15,6,3,2,0,0
ERVAL SECO,0,0,0,32,6,1,0,0,10,9,6,2,0,0
ESMERALDA,0,0,0,57,0,0,12,2,9,4,4,7,0,0
ESPERANCA DO SUL,0,0,0,19,2,0,2,0,2,0,0,1,0,0
ESPUMOSO,1,1,0,105,13,7,9,2,47,10,20,22,0,1
ESTACAO,1,1,0,18,0,1,2,0,11,2,9,3,0,0
ESTANCIA VELHA,3,4,0,290,4,52,101,36,356,13,65,25,0,0
ESTEIO,12,12,0,823,3,84,427,48,624,19,28,137,0,0
ESTRELA,9,9,0,227,3,16,34,2,149,19,109,64,0,0
ESTRELA VELHA,0,0,0,18,1,0,2,0,2,2,0,1,0,0
EUGENIO DE CASTRO,0,0,0,6,3,0,0,0,3,0,0,0,0,0
FAGUNDES VARELA,0,0,0,5,1,0,0,0,4,1,0,0,0,0
FARROUPILHA,18,18,1,576,9,73,122,50,516,33,131,67,1,0
FAXINAL DO SOTURNO,0,0,0,54,6,1,2,0,19,4,1,6,0,0
FAXINALZINHO,0,0,0,12,3,3,2,0,4,2,0,0,0,0
FAZENDA VILA NOVA,0,0,0,61,16,8,11,4,11,5,34,6,0,0
FELIZ,0,0,0,49,0,4,13,0,74,2,36,10,0,0
FLORES DA CUNHA,5,5,0,203,6,27,54,15,183,16,17,17,0,0
FLORIANO PEIXOTO,0,0,0,7,1,1,1,0,3,2,1,0,0,0
FONTOURA XAVIER,6,6,0,110,15,8,5,1,11,25,4,6,0,0
FORMIGUEIRO,0,0,0,71,18,2,0,0,25,8,3,6,0,0
FORQUETINHA,0,0,0,11,1,0,0,0,5,0,4,0,0,0
FORTALEZA DOS VALOS,1,1,0,27,6,1,2,0,21,2,2,0,0,0
FREDERICO WESTPHALEN,6,6,0,225,15,5,22,1,165,15,196,60,0,0
GARIBALDI,8,9,0,162,3,28,21,9,174,14,20,24,0,0
GARRUCHOS,0,0,0,29,20,0,0,0,7,2,0,0,0,0
GAURAMA,0,0,0,18,0,0,0,0,12,2,4,0,0,0
GENERAL CAMARA,1,1,0,144,18,0,7,0,26,5,5,4,0,0
GENTIL,1,1,0,22,11,2,0,0,1,1,0,0,0,0
GETULIO VARGAS,1,1,0,60,0,2,11,0,65,14,40,58,0,0
GIRUA,2,2,0,117,6,4,10,0,47,7,16,27,0,0
GLORINHA,0,0,0,70,6,3,2,1,23,2,9,4,0,0
GRAMADO,3,3,2,294,1,13,10,4,343,10,57,70,2,0
GRAMADO DOS LOUREIROS,1,1,0,4,2,0,1,0,8,5,0,0,0,0
GRAMADO XAVIER,0,0,0,18,2,1,0,0,12,4,1,1,0,0
GRAVATAI,50,54,3,1843,51,313,1474,292,1738,92,154,362,3,0
GUABIJU,0,0,0,5,4,0,0,0,0,2,0,0,0,0
GUAIBA,15,15,1,506,12,48,319,19,450,51,644,208,2,0
GUAPORE,4,4,1,116,4,7,12,2,152,12,86,71,1,0
GUARANI DAS MISSOES,2,2,0,84,8,3,4,0,16,2,5,1,0,0
HARMONIA,1,1,0,10,0,0,2,0,15,2,10,3,0,0
HERVAL,1,1,0,95,56,1,5,0,14,15,10,3,0,0
HERVEIRAS,0,0,0,15,0,1,2,0,3,2,1,0,0,0
HORIZONTINA,1,1,0,115,3,3,2,0,63,6,98,27,0,0
HULHA NEGRA,0,0,0,41,18,1,1,0,11,0,2,0,0,0
HUMAITA,1,1,0,9,1,1,2,0,11,2,3,4,0,0
IBARAMA,0,0,0,29,4,5,3,0,8,7,1,1,0,0
IBIACA,0,0,0,58,10,2,0,0,7,1,1,1,0,0
IBIRAIARAS,2,2,0,35,6,1,0,1,46,3,1,0,0,0
IBIRAPUITA,0,0,0,21,9,0,3,0,6,11,3,2,0,0
IBIRUBA,1,1,1,112,6,12,4,1,212,6,19,10,1,0
IGREJINHA,0,0,0,246,3,18,32,8,169,20,82,50,0,0
IJUI,17,19,1,945,13,24,59,5,433,78,90,183,1,0
ILOPOLIS,0,0,0,47,2,1,3,0,18,8,6,1,0,0
IMBE,8,11,0,599,4,33,92,6,165,17,64,60,0,0
IMIGRANTE,0,0,0,2,0,0,1,0,8,0,1,0,0,0
INDEPENDENCIA,0,0,1,56,7,1,1,0,7,3,7,9,1,0
INHACORA,0,0,0,5,0,0,0,0,2,0,2,0,0,0
IPE,1,1,0,52,7,2,4,1,47,4,7,5,0,0
IPIRANGA DO SUL,0,0,0,3,1,0,0,0,4,0,0,0,0,0
IRAI,3,3,0,72,11,4,8,1,34,12,15,7,0,0
ITAARA,1,1,0,48,10,3,7,1,22,10,3,4,0,0
ITACURUBI,2,2,0,34,20,0,0,0,6,6,0,0,0,0
ITAPUCA,2,2,0,22,4,0,0,0,3,4,1,0,0,0
ITAQUI,4,4,0,355,43,9,48,1,120,24,15,14,0,0
ITATI,1,1,0,8,3,0,4,1,6,4,0,0,0,0
ITATIBA DO SUL,0,0,0,4,0,0,0,0,4,1,1,0,0,0
IVORA,0,0,0,14,6,0,0,0,5,6,0,0,0,0
IVOTI,1,1,0,101,0,18,11,5,150,1,23,8,0,0
JABOTICABA,1,1,0,22,9,3,0,0,15,6,3,0,0,0
JACUIZINHO,0,0,0,5,1,0,0,0,2,3,0,0,0,0
JACUTINGA,0,0,0,8,0,1,1,0,3,1,3,0,0,0
JAGUARAO,5,7,0,458,35,13,55,0,91,12,24,46,0,0
JAGUARI,1,1,0,92,30,1,6,0,26,2,3,10,0,0
JAQUIRANA,1,1,0,40,18,1,0,1,10,5,2,4,0,0
JARI,0,0,0,24,11,1,1,0,2,5,1,0,0,0
JOIA,0,0,0,37,7,2,2,0,9,5,1,1,0,0
JULIO DE CASTILHOS,3,3,0,165,28,3,5,1,69,8,46,11,0,0
LAGOA BONITA DO SUL,0,0,1,15,2,1,1,0,5,4,0,0,1,0
LAGOA DOS TRES CANTOS,0,0,0,9,0,0,3,0,3,0,1,3,0,0
LAGOA VERMELHA,9,9,0,352,32,14,24,0,221,42,58,60,0,0
LAGOAO,3,3,0,40,29,0,2,0,7,5,1,1,0,0
LAJEADO,18,18,0,587,4,89,100,19,585,45,62,90,0,0
LAJEADO DO BUGRE,0,0,0,4,0,0,0,0,3,11,3,1,0,0
LAVRAS DO SUL,1,1,0,49,17,1,2,0,24,2,4,7,0,0
LIBERATO SALZANO,0,0,0,17,3,1,0,0,3,8,3,1,0,0
LINDOLFO COLLOR,0,0,0,17,0,3,4,3,17,2,13,1,0,0
LINHA NOVA,0,0,0,3,0,0,0,0,8,0,3,0,0,0
MACAMBARA,0,0,0,62,29,1,0,0,3,5,2,0,0,0
MACHADINHO,0,0,0,47,4,1,2,0,8,1,0,1,0,0
MAMPITUBA,1,1,0,4,0,1,0,0,4,1,0,1,0,0
MANOEL VIANA,0,0,0,46,14,0,2,0,34,7,11,2,0,0
MAQUINE,0,0,0,72,14,0,2,2,15,7,12,13,0,0
MARATA,0,0,0,4,0,2,2,0,4,1,0,0,0,0
MARAU,6,6,0,400,16,41,27,6,406,27,59,11,0,0
MARCELINO RAMOS,0,0,0,12,2,0,2,0,14,7,8,1,0,0
MARIANA PIMENTEL,2,2,0,34,7,0,3,1,11,2,1,2,0,0
MARIANO MORO,0,0,0,5,1,0,0,0,0,2,1,0,0,0
MARQUES DE SOUZA,0,0,0,33,3,2,5,0,9,4,4,3,0,0
MATA,0,0,0,53,31,1,1,0,17,8,3,0,0,0
MATO CASTELHANO,0,0,0,43,2,0,3,0,18,3,1,1,0,0
MATO LEITAO,0,0,0,26,4,2,0,0,8,0,4,0,0,0
MATO QUEIMADO,0,0,0,3,1,0,0,0,4,1,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,0,22,3,0,0,0,7,2,7,0,0,0
MINAS DO LEAO,1,1,0,55,6,2,3,1,10,3,18,11,0,1
MIRAGUAI,0,0,0,42,6,7,8,2,6,2,1,3,0,0
MONTAURI,0,0,0,10,4,0,0,0,2,3,0,0,0,0
MONTE ALEGRE DOS CAMPOS,0,0,0,27,11,1,4,0,2,3,1,0,0,0
MONTE BELO DO SUL,0,0,0,17,1,1,1,0,3,1,2,0,0,0
MONTENEGRO,4,4,1,722,13,33,111,10,376,22,337,214,1,0
MORMACO,0,0,0,21,5,0,1,0,3,1,0,0,0,0
MORRINHOS DO SUL,1,1,0,5,1,5,1,0,8,1,0,0,0,0
MORRO REDONDO,0,0,0,77,14,2,4,0,9,6,2,1,0,0
MORRO REUTER,0,0,0,26,0,5,1,1,24,4,11,1,0,0
MOSTARDAS,6,6,0,161,51,2,4,4,45,13,4,2,0,0
MUCUM,1,1,0,19,0,2,1,2,14,1,16,6,0,0
MUITOS CAPOES,0,0,0,26,9,2,2,0,7,7,0,0,0,0
MULITERNO,0,0,0,7,2,1,0,0,6,0,0,0,0,0
NAO-ME-TOQUE,0,0,0,76,3,9,24,4,78,10,15,33,0,0
NICOLAU VERGUEIRO,0,0,0,13,7,1,0,0,6,3,2,1,0,0
NONOAI,9,9,0,58,6,4,3,3,35,7,20,5,0,0
NOVA ALVORADA,1,1,0,34,8,1,39,0,27,1,2,0,0,0
NOVA ARACA,0,0,0,19,0,2,2,0,8,2,2,1,0,0
NOVA BASSANO,1,1,0,48,0,4,3,1,27,6,12,3,0,0
NOVA BOA VISTA,0,0,0,8,3,0,0,0,7,0,0,0,0,0
NOVA BRESCIA,0,0,0,23,4,0,0,0,10,0,4,0,0,0
NOVA CANDELARIA,0,0,0,3,1,0,0,0,4,0,0,0,0,0
NOVA ESPERANCA DO SUL,0,0,0,14,3,0,0,0,13,3,4,1,0,0
NOVA HARTZ,2,2,1,89,4,8,14,7,156,3,33,8,1,0
NOVA PADUA,0,0,0,9,0,1,0,2,7,1,1,0,0,0
NOVA PALMA,2,2,0,56,26,0,2,0,21,0,2,1,0,0
NOVA PETROPOLIS,1,1,0,100,1,4,7,0,131,5,33,24,0,0
NOVA PRATA,4,4,0,104,5,7,7,0,122,9,54,33,0,0
NOVA RAMADA,0,0,0,14,5,0,0,0,1,2,0,0,0,0
NOVA ROMA DO SUL,0,0,0,17,1,0,1,0,13,2,2,0,0,0
NOVA SANTA RITA,3,4,0,178,12,31,48,12,208,16,37,14,0,0
NOVO BARREIRO,0,0,0,14,2,2,4,1,3,4,0,1,0,0
NOVO CABRAIS,0,0,0,27,2,2,1,0,15,1,3,0,0,0
NOVO HAMBURGO,30,31,0,2659,16,371,1264,436,1469,117,376,340,0,1
NOVO MACHADO,0,0,0,10,5,1,1,0,5,8,0,2,0,0
NOVO TIRADENTES,0,0,0,7,2,0,1,0,3,1,1,1,0,0
NOVO XINGU,0,0,0,8,2,0,0,0,2,3,0,0,0,0
OSORIO,10,10,0,579,15,42,85,17,323,25,119,197,0,0
PAIM FILHO,2,2,0,27,6,1,0,0,9,2,0,1,0,0
PALMARES DO SUL,4,4,0,180,27,6,33,7,38,7,20,17,0,0
PALMEIRA DAS MISSOES,4,5,0,273,13,13,29,4,170,32,34,19,0,0
PALMITINHO,1,1,0,31,1,4,2,0,18,3,8,2,0,0
PANAMBI,3,3,0,224,14,21,28,5,249,21,19,26,0,0
PANTANO GRANDE,1,1,0,92,11,0,9,3,34,5,26,7,0,0
PARAI,3,3,0,37,5,1,1,0,25,3,6,4,0,0
PARAISO DO SUL,0,0,0,47,4,3,1,1,3,2,1,1,0,0
PARECI NOVO,0,0,0,25,1,2,2,0,13,1,1,1,0,0
PAROBE,7,8,1,334,8,62,110,37,181,35,55,47,1,0
PASSA SETE,1,1,0,55,21,0,2,1,6,1,0,1,0,0
PASSO DO SOBRADO,0,0,0,69,15,2,4,0,9,1,0,0,0,0
PASSO FUNDO,27,29,2,1876,15,194,573,53,1337,155,301,333,2,1
PAULO BENTO,1,1,0,11,1,0,0,0,0,1,3,0,0,0
PAVERAMA,0,0,0,42,9,4,6,3,19,2,7,8,0,0
PEDRAS ALTAS,0,0,0,63,39,0,1,0,2,2,1,0,0,0
PEDRO OSORIO,0,0,0,64,11,1,5,0,14,8,13,4,0,0
PEJUCARA,0,0,0,32,7,2,3,1,10,4,1,1,0,0
PELOTAS,26,29,2,2544,44,214,1323,89,2014,163,216,461,4,0
PICADA CAFE,0,0,0,7,0,0,1,0,30,0,8,0,0,0
PINHAL,0,0,0,11,3,0,0,0,8,2,1,0,0,0
PINHAL DA SERRA,0,0,0,19,5,1,0,0,4,6,0,2,0,0
PINHAL GRANDE,0,0,0,22,11,3,1,0,6,2,0,1,0,0
PINHEIRINHO DO VALE,1,1,0,18,0,1,2,0,4,5,4,2,0,0
PINHEIRO MACHADO,1,1,0,110,42,3,7,0,43,6,11,16,0,0
PINTO BANDEIRA,0,0,0,13,4,1,0,0,12,1,1,0,0,0
PIRAPO,0,0,0,18,12,0,0,0,1,3,0,0,0,0
PIRATINI,5,6,0,169,55,14,18,2,44,15,22,9,0,0
PLANALTO,6,6,0,43,5,1,3,0,12,6,17,7,0,0
POCO DAS ANTAS,0,0,0,5,0,1,1,0,9,0,1,0,0,0
PONTAO,0,0,0,27,2,1,2,1,12,11,0,1,0,0
PONTE PRETA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PORTAO,3,3,1,228,11,43,120,40,270,9,25,24,1,1
PORTO ALEGRE,258,278,10,19633,37,1874,19689,3343,15319,667,1457,2441,10,5
PORTO LUCENA,1,1,0,26,1,1,0,1,5,1,1,0,0,0
PORTO MAUA,0,0,0,22,3,0,0,0,3,1,1,2,0,0
PORTO VERA CRUZ,0,0,0,12,6,0,2,0,2,0,0,2,0,0
PORTO XAVIER,1,1,0,96,8,8,4,0,21,13,20,11,0,0
POUSO NOVO,0,0,0,31,5,0,3,2,4,1,1,0,0,0
PRESIDENTE LUCENA,0,0,0,7,0,1,0,0,10,0,2,1,0,0
PROGRESSO,1,1,0,24,6,1,1,0,7,6,6,5,0,0
PROTASIO ALVES,0,0,0,4,0,2,0,0,3,2,1,0,0,0
PUTINGA,0,0,0,11,1,0,1,0,9,7,2,0,0,1
QUARAI,4,4,0,291,41,12,21,0,51,15,27,18,0,0
QUATRO IRMAOS,0,0,0,4,0,0,0,0,1,1,1,0,0,0
QUEVEDOS,1,1,0,25,16,0,5,0,3,3,0,0,0,0
QUINZE DE NOVEMBRO,0,0,0,25,2,0,0,0,5,1,1,1,0,0
REDENTORA,1,1,0,36,2,7,2,5,10,20,3,5,0,0
RELVADO,0,0,0,23,2,1,0,0,2,0,0,0,0,0
RESTINGA SECA,3,3,0,118,16,6,15,0,49,17,10,10,0,0
RIO DOS INDIOS,0,0,0,22,6,0,0,1,4,0,0,0,0,0
RIO GRANDE,34,34,5,2261,84,138,1372,64,1099,121,175,388,5,1
RIO PARDO,18,18,0,272,37,13,23,1,132,16,46,77,0,0
RIOZINHO,0,0,0,25,0,0,1,0,10,7,1,0,0,0
ROCA SALES,1,1,0,90,1,3,8,1,57,4,16,6,0,0
RODEIO BONITO,3,3,0,16,2,4,1,0,24,1,16,6,0,0
ROLADOR,0,0,0,8,4,0,0,0,5,2,4,2,0,0
ROLANTE,3,3,0,78,4,2,9,1,82,8,15,0,0,0
RONDA ALTA,0,0,0,32,1,6,1,3,31,4,2,3,0,0
RONDINHA,0,0,0,36,4,0,0,1,8,1,1,0,0,0
ROQUE GONZALES,0,0,0,42,12,1,0,1,7,11,14,5,0,0
ROSARIO DO SUL,4,4,0,229,47,12,17,1,114,20,48,87,0,0
SAGRADA FAMILIA,2,2,0,7,1,1,1,1,4,3,3,0,0,0
SALDANHA MARINHO,0,0,0,14,3,3,6,3,12,2,1,1,0,0
SALTO DO JACUI,0,0,2,138,7,6,10,2,214,15,13,3,2,0
SALVADOR DAS MISSOES,0,0,0,10,5,2,0,0,7,3,1,1,0,0
SALVADOR DO SUL,0,0,0,35,0,5,4,1,23,2,10,2,0,0
