Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SAO JERONIMO,2,2,0,220,3,1,15,1,2,10,23,16
SAO JOAO DA URTIGA,0,0,0,8,3,0,0,0,0,2,0,0
SAO JOAO DO POLESINE,0,0,0,23,2,0,0,0,2,0,0,0
SAO JORGE,0,0,0,6,1,0,2,1,0,1,0,0
SAO JOSE DAS MISSOES,0,0,0,14,4,2,3,0,1,0,0,1
SAO JOSE DO HERVAL,0,0,0,11,4,0,1,0,0,1,1,0
SAO JOSE DO HORTENCIO,0,0,0,15,1,1,0,0,0,0,0,0
SAO JOSE DO INHACORA,0,0,0,6,1,0,0,0,0,0,0,0
SAO JOSE DO NORTE,9,9,0,139,14,5,47,1,7,14,23,9
SAO JOSE DO OURO,0,0,0,20,3,3,4,1,5,1,2,0
SAO JOSE DO SUL,0,0,0,5,0,1,1,0,0,0,0,0
SAO JOSE DOS AUSENTES,0,0,0,12,2,0,1,0,2,0,0,1
SAO LEOPOLDO,19,20,0,1197,9,257,946,342,202,49,82,146
SAO LOURENCO DO SUL,0,0,0,229,5,7,22,4,31,14,22,15
SAO LUIZ GONZAGA,3,3,0,340,23,14,24,2,34,22,15,12
SAO MARCOS,3,3,0,82,6,13,24,7,19,4,48,6
SAO MARTINHO,0,0,0,19,0,4,0,0,4,2,3,0
SAO MARTINHO DA SERRA,0,0,0,20,12,1,0,0,4,3,0,0
SAO MIGUEL DAS MISSOES,0,0,0,36,12,1,0,0,5,1,0,1
SAO NICOLAU,0,0,0,52,17,1,4,0,0,6,0,1
SAO PAULO DAS MISSOES,1,1,0,6,1,0,1,0,1,1,0,0
SAO PEDRO DA SERRA,0,0,0,9,1,3,0,0,0,2,3,0
SAO PEDRO DAS MISSOES,0,0,0,6,0,0,0,0,1,3,0,0
SAO PEDRO DO BUTIA,0,0,0,4,1,1,0,0,0,0,0,0
SAO PEDRO DO SUL,2,2,0,155,30,3,11,0,13,9,11,1
SAO SEBASTIAO DO CAI,1,1,0,168,3,4,38,4,15,9,66,25
SAO SEPE,0,0,0,190,27,3,9,0,2,9,8,5
SAO VALENTIM,1,1,0,18,1,0,0,0,2,1,0,0
SAO VALENTIM DO SUL,0,0,0,8,1,0,1,2,1,1,0,0
SAO VALERIO DO SUL,0,0,0,5,0,0,1,0,1,1,0,0
SAO VENDELINO,0,0,0,9,0,0,0,1,3,0,0,0
SAO VICENTE DO SUL,0,0,1,81,25,0,0,0,0,4,6,1
SAPIRANGA,0,0,0,333,0,58,133,31,115,15,50,13
SAPUCAIA DO SUL,15,15,1,685,11,148,555,206,114,34,111,85
SARANDI,1,1,0,137,7,6,35,1,8,2,27,9
SEBERI,0,0,0,58,3,4,3,0,4,3,5,9
SEDE NOVA,0,0,0,8,1,0,2,0,0,1,0,2
SEGREDO,0,0,0,16,4,4,0,0,2,4,0,0
SELBACH,0,0,0,24,3,0,4,0,3,0,0,1
SENADOR SALGADO FILHO,0,0,0,11,4,1,0,0,0,1,0,0
SENTINELA DO SUL,0,0,0,20,1,8,7,1,0,3,1,0
SERAFINA CORREA,0,0,0,46,0,6,5,3,12,2,18,1
SERIO,0,0,0,5,0,0,0,0,0,0,1,0
SERTAO,0,0,0,22,2,1,2,0,4,1,2,1
SERTAO SANTANA,0,0,0,11,0,0,3,1,3,0,1,1
SETE DE SETEMBRO,0,0,0,11,4,0,1,0,0,2,0,0
SEVERIANO DE ALMEIDA,0,0,0,36,1,1,1,0,6,2,0,0
SILVEIRA MARTINS,0,0,0,16,1,0,0,0,1,0,0,0
SINIMBU,1,1,0,32,1,1,1,0,0,3,0,0
SOBRADINHO,1,1,0,144,11,6,11,1,4,7,8,6
SOLEDADE,1,1,0,348,41,8,27,5,24,14,15,13
TABAI,1,1,0,19,7,3,8,4,0,0,0,1
TAPEJARA,1,1,0,78,1,15,12,0,15,3,8,9
TAPERA,0,0,0,38,3,6,1,0,6,0,7,14
TAPES,4,4,0,111,12,3,20,0,10,7,3,6
TAQUARA,2,2,0,354,14,49,84,33,39,17,33,30
TAQUARI,0,0,0,136,9,16,26,1,14,11,20,3
TAQUARUCU DO SUL,0,0,0,13,0,0,0,0,0,2,0,0
TAVARES,1,1,0,43,12,1,1,0,2,1,3,12
TENENTE PORTELA,0,0,0,78,5,12,11,0,9,5,8,3
TERRA DE AREIA,0,0,0,93,6,8,19,3,10,1,1,5
TEUTONIA,3,3,0,128,5,13,14,0,36,6,19,6
TIO HUGO,1,1,0,16,2,1,5,2,0,1,0,0
TIRADENTES DO SUL,1,1,0,18,3,3,6,0,0,2,0,1
TOROPI,0,0,0,8,4,1,0,1,0,0,1,0
TORRES,9,9,0,383,6,41,83,12,67,16,48,39
TRAMANDAI,11,11,0,914,9,69,221,28,64,22,75,90
TRAVESSEIRO,0,0,0,2,0,0,0,0,0,1,1,1
TRES ARROIOS,0,0,0,6,0,0,0,0,3,1,0,0
TRES CACHOEIRAS,1,1,0,74,3,7,10,2,3,1,0,2
TRES COROAS,0,0,0,128,1,10,12,1,5,4,15,14
TRES DE MAIO,1,1,0,155,4,1,7,1,15,5,29,28
TRES FORQUILHAS,0,0,0,16,6,5,0,1,0,0,0,0
TRES PALMEIRAS,0,0,0,13,2,0,0,0,0,1,0,1
TRES PASSOS,0,0,0,178,6,10,15,0,14,7,10,25
TRINDADE DO SUL,2,2,0,16,4,4,1,0,0,4,0,2
TRIUNFO,3,3,0,123,11,5,24,10,11,5,12,26
TUCUNDUVA,1,1,0,30,3,1,0,0,1,0,2,0
TUNAS,0,0,0,5,2,0,0,0,2,0,0,0
TUPANCI DO SUL,0,0,0,3,1,0,0,0,0,0,0,0
TUPANCIRETA,0,0,0,162,11,6,7,0,3,2,10,2
TUPANDI,0,0,0,8,1,0,1,0,5,0,0,1
TUPARENDI,0,0,0,28,3,0,0,0,4,1,2,2
TURUCU,0,0,0,8,1,0,1,0,0,1,0,0
UBIRETAMA,0,0,0,2,0,1,0,0,0,1,0,0
UNIAO DA SERRA,0,0,0,0,0,0,0,0,0,0,0,0
UNISTALDA,1,1,0,7,5,0,0,0,2,1,0,0
URUGUAIANA,7,7,1,797,57,35,316,3,60,27,53,63
VACARIA,8,8,1,625,17,19,78,6,49,35,58,38
VALE DO SOL,0,0,0,39,1,3,3,2,2,3,3,0
VALE REAL,0,0,0,10,0,1,3,2,2,0,1,0
VALE VERDE,0,0,0,14,4,0,1,1,2,0,0,0
VANINI,0,0,0,7,0,1,0,0,1,0,0,2
VENANCIO AIRES,4,4,1,383,19,37,55,10,42,17,12,30
VERA CRUZ,0,0,1,116,5,12,36,4,7,6,2,3
VERANOPOLIS,3,3,0,101,7,14,15,2,18,7,20,5
VESPASIANO CORREA,0,0,0,4,1,0,3,0,0,3,0,0
VIADUTOS,0,0,0,24,1,2,1,0,2,0,1,0
VIAMAO,47,56,2,1017,35,196,1960,499,202,63,164,139
VICENTE DUTRA,0,0,0,17,2,1,1,0,0,6,3,2
VICTOR GRAEFF,0,0,0,17,1,1,2,3,3,2,0,0
VILA FLORES,0,0,0,6,2,1,0,1,0,1,0,0
VILA LANGARO,0,0,0,7,1,1,0,0,1,0,0,0
VILA MARIA,0,0,0,26,1,5,2,3,1,2,1,0
VILA NOVA DO SUL,0,0,0,30,15,0,4,0,4,1,1,0
VISTA ALEGRE,0,0,0,12,1,0,0,0,1,0,0,0
VISTA ALEGRE DO PRATA,0,0,0,1,0,0,0,0,0,0,0,0
VISTA GAUCHA,0,0,0,3,1,0,1,0,1,0,0,0
VITORIA DAS MISSOES,0,0,0,12,4,1,0,0,0,0,1,0
WESTFALIA,0,0,0,10,1,0,2,0,2,0,0,0
XANGRI-LA,3,4,1,421,3,12,64,4,29,5,19,23
