Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CARAZINHO,4,4,1,353,10,36,74,7,37,16,27,25
CARLOS BARBOSA,0,0,0,94,1,18,23,11,25,1,15,2
CARLOS GOMES,0,0,0,1,0,0,0,0,0,1,0,0
CASCA,0,0,0,41,1,3,6,0,10,1,2,1
CASEIROS,0,0,0,7,1,1,1,0,0,1,0,0
CATUIPE,0,0,0,32,7,4,1,1,5,1,0,1
CAXIAS DO SUL,37,42,1,2111,29,470,1043,297,617,110,112,169
CENTENARIO,0,0,0,5,0,0,0,1,1,1,1,0
CERRITO,0,0,0,19,3,0,0,3,0,0,1,0
CERRO BRANCO,0,0,0,10,0,1,1,0,0,0,0,0
CERRO GRANDE,0,0,0,13,0,0,0,0,0,0,1,0
CERRO GRANDE DO SUL,2,2,0,61,3,12,8,2,4,5,0,2
CERRO LARGO,0,0,0,58,3,1,5,0,18,2,4,4
CHAPADA,0,0,0,20,1,0,5,0,9,1,5,0
CHARQUEADAS,5,5,0,128,7,6,19,2,7,10,80,49
CHARRUA,0,0,0,4,1,0,4,0,1,0,0,0
CHIAPETTA,0,0,0,10,1,1,1,0,1,0,0,1
CHUI,1,1,0,57,11,2,16,1,1,1,0,2
CHUVISCA,0,0,0,20,4,3,2,0,1,0,0,0
CIDREIRA,1,1,0,211,8,10,47,5,29,5,22,32
CIRIACO,0,0,0,28,7,2,1,0,3,2,0,1
COLINAS,0,0,0,7,1,0,0,0,2,1,0,0
COLORADO,0,0,0,11,3,2,2,1,1,0,0,0
CONDOR,0,0,0,18,2,1,0,0,4,2,0,0
CONSTANTINA,0,0,0,34,6,2,8,0,1,3,3,1
COQUEIRO BAIXO,0,0,0,2,0,0,0,0,0,0,0,0
COQUEIROS DO SUL,0,0,0,7,1,0,0,0,0,0,0,0
CORONEL BARROS,0,0,0,12,1,0,0,0,0,0,0,0
CORONEL BICACO,0,0,0,40,5,5,5,0,4,2,3,10
CORONEL PILAR,0,0,0,7,1,0,0,1,0,0,0,0
COTIPORA,0,0,0,11,1,3,1,0,2,0,0,0
COXILHA,0,0,0,7,1,0,3,0,1,1,0,1
CRISSIUMAL,2,3,0,49,1,7,5,0,2,1,4,3
CRISTAL,0,0,0,26,4,1,10,0,4,4,3,2
CRISTAL DO SUL,0,0,0,4,0,1,1,0,0,0,0,0
CRUZ ALTA,5,6,2,444,17,40,132,3,55,51,32,25
CRUZALTENSE,0,0,0,9,1,0,0,0,1,0,0,0
CRUZEIRO DO SUL,5,5,0,44,4,6,16,4,4,4,0,0
