Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,1,0,61,0,0,0,0,0,0,4,0,0,0,0
AGUA SANTA,0,0,43,4,1,0,0,0,0,1,0,0,0,0
AGUDO,0,0,135,3,8,0,0,5,0,7,0,7,3,5
AJURICABA,1,0,50,0,0,0,0,1,0,4,0,3,2,0
ALECRIM,2,0,66,0,0,0,0,1,0,4,0,4,2,2
ALEGRETE,11,1,878,18,90,0,3,0,0,99,4,59,90,61
ALEGRIA,0,0,41,0,1,0,0,0,0,5,1,6,0,1
ALMIRANTE TAMANDARE DO SUL,0,0,19,1,0,0,0,0,0,0,0,2,0,0
ALPESTRE,1,0,91,1,0,0,0,0,0,4,0,12,0,0
ALTO ALEGRE,0,0,7,3,1,0,2,0,0,0,0,0,0,0
ALTO FELIZ,0,0,5,0,1,0,0,0,0,2,0,3,4,0
ALVORADA,95,0,1960,228,1944,4,266,3,0,260,9,142,714,256
AMARAL FERRADOR,2,0,36,0,3,0,0,0,0,2,0,3,0,0
AMETISTA DO SUL,0,0,48,3,4,0,0,0,0,2,0,0,0,0
ANDRE DA ROCHA,0,0,14,0,2,0,0,0,0,2,0,2,0,0
ANTA GORDA,0,0,36,1,0,0,0,0,0,4,0,3,0,0
ANTONIO PRADO,0,0,186,9,6,0,0,1,0,12,0,5,10,4
ARAMBARE,1,0,86,5,4,0,1,0,0,3,1,1,8,0
ARARICA,1,0,50,2,11,0,3,0,0,5,0,2,5,0
ARATIBA,0,0,35,4,0,0,1,0,0,2,0,2,1,1
ARROIO DO MEIO,2,0,243,14,16,0,1,0,0,25,1,7,26,1
ARROIO DO PADRE,0,0,14,0,0,0,0,0,0,2,0,0,0,0
ARROIO DO SAL,4,0,390,17,35,0,2,3,0,17,1,11,10,14
ARROIO DO TIGRE,1,0,97,11,4,0,2,0,0,15,0,16,0,3
ARROIO DOS RATOS,3,0,84,7,26,0,0,0,0,6,0,9,9,8
ARROIO GRANDE,0,0,191,3,11,0,0,1,0,26,1,17,38,32
ARVOREZINHA,1,0,77,8,7,0,0,1,0,16,0,7,3,3
AUGUSTO PESTANA,0,0,42,4,1,0,0,0,0,6,0,2,2,0
AUREA,1,0,33,0,0,0,1,0,0,0,0,1,0,0
BAGE,8,0,1468,69,242,0,5,2,0,118,1,39,227,59
BALNEARIO PINHAL,4,0,364,25,51,0,5,0,0,24,2,15,16,6
BARAO,1,0,27,0,2,0,0,0,0,4,1,0,3,0
BARAO DE COTEGIPE,0,0,86,2,6,0,0,0,0,4,0,12,2,1
BARAO DO TRIUNFO,0,0,56,4,4,0,0,0,0,2,0,3,0,0
BARRA DO GUARITA,0,0,33,3,1,0,0,0,0,1,0,4,0,2
BARRA DO QUARAI,0,0,49,0,3,0,0,0,0,1,0,1,2,1
BARRA DO RIBEIRO,4,0,207,2,32,0,4,0,0,4,1,7,12,5
BARRA DO RIO AZUL,0,0,14,0,0,0,0,0,0,0,0,1,0,0
BARRA FUNDA,0,0,12,1,2,0,0,0,0,1,0,0,0,0
BARRACAO,0,0,51,1,1,0,0,0,0,5,0,2,1,0
