Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,0,59,2,1,0,0,0,0,1,0,0,0,0
AGUA SANTA,0,0,42,5,7,0,1,0,0,2,0,2,0,0
AGUDO,0,0,163,11,9,0,0,0,0,9,0,7,6,3
AJURICABA,0,0,43,1,1,0,0,0,0,5,0,1,1,0
ALECRIM,0,0,94,1,1,0,1,0,0,2,0,5,2,0
ALEGRETE,7,0,731,25,111,0,0,0,0,65,6,51,114,66
ALEGRIA,0,0,47,1,1,0,0,0,0,2,0,0,0,1
ALMIRANTE TAMANDARE DO SUL,0,0,15,0,2,0,0,0,0,3,0,1,1,1
ALPESTRE,0,0,88,9,2,0,2,0,0,0,0,6,1,2
ALTO ALEGRE,0,0,9,0,1,0,1,0,0,1,0,0,0,0
ALTO FELIZ,0,0,14,1,2,0,0,0,0,0,0,2,2,1
ALVORADA,119,0,2164,426,3093,5,552,5,2,287,4,131,199,248
AMARAL FERRADOR,0,0,47,2,3,0,0,0,0,0,0,2,0,0
AMETISTA DO SUL,1,0,82,12,1,0,0,0,0,3,0,3,0,1
ANDRE DA ROCHA,0,0,23,1,0,0,0,0,0,1,0,1,0,0
ANTA GORDA,0,0,33,2,2,0,0,0,0,2,0,3,0,1
ANTONIO PRADO,0,0,120,9,6,0,1,0,0,23,0,5,13,13
ARAMBARE,1,0,133,3,5,0,0,0,0,6,0,4,3,0
ARARICA,1,0,30,1,18,0,8,1,0,5,1,8,7,1
ARATIBA,0,0,36,0,2,0,0,0,0,2,0,7,1,0
ARROIO DO MEIO,3,0,195,22,26,0,1,1,0,40,1,4,53,3
ARROIO DO PADRE,0,0,3,0,3,0,0,0,0,1,0,1,0,0
ARROIO DO SAL,4,0,481,17,44,0,5,0,0,11,0,9,25,11
ARROIO DO TIGRE,0,0,180,6,10,0,0,0,0,19,0,18,3,6
ARROIO DOS RATOS,1,0,124,6,22,1,3,1,0,6,4,6,6,15
ARROIO GRANDE,1,0,278,7,10,0,0,0,0,10,1,8,12,8
ARVOREZINHA,0,0,121,7,11,0,1,0,0,5,2,11,4,3
