Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
INHACORA,0,0,0,10,1,2,1,0,1,0,0,0,0,0
IPE,0,0,0,64,13,0,6,0,10,2,4,6,0,0
IPIRANGA DO SUL,0,0,0,5,1,0,0,0,3,0,0,0,0,0
IRAI,0,0,0,58,13,6,3,0,11,7,18,9,0,0
ITAARA,0,0,0,60,8,1,2,1,9,5,1,1,0,0
ITACURUBI,0,0,0,42,25,0,0,0,0,2,1,0,0,0
ITAPUCA,0,0,0,16,9,0,1,0,0,4,1,0,0,0
ITAQUI,2,2,0,420,34,16,77,5,36,22,30,22,0,0
ITATI,0,0,0,33,3,1,2,0,0,2,1,0,0,0
ITATIBA DO SUL,0,0,0,8,2,1,0,1,0,1,1,0,0,0
IVORA,0,0,0,5,1,0,1,0,1,4,2,0,0,0
IVOTI,0,0,0,118,1,14,22,4,52,4,30,10,0,0
JABOTICABA,1,1,0,12,2,2,0,0,2,2,1,1,0,0
JACUIZINHO,0,0,0,8,4,0,0,0,1,1,1,0,0,0
JACUTINGA,0,0,0,17,1,0,0,0,2,4,3,2,0,0
JAGUARAO,4,4,0,636,63,42,90,0,29,14,58,25,0,0
JAGUARI,0,0,0,60,10,0,3,0,14,5,14,14,0,0
JAQUIRANA,1,1,0,44,10,3,4,1,7,7,4,2,0,0
JARI,0,0,0,18,11,1,1,0,1,7,0,0,0,0
JOIA,0,0,0,30,6,0,1,0,1,5,2,1,0,0
JULIO DE CASTILHOS,2,2,0,282,39,10,23,1,33,10,37,13,0,0
LAGOA BONITA DO SUL,0,0,0,13,2,1,0,0,0,2,0,0,0,1
LAGOA DOS TRES CANTOS,0,0,0,3,0,0,0,0,1,0,0,1,0,0
LAGOA VERMELHA,6,6,0,397,44,11,34,5,82,41,100,35,0,0
LAGOAO,0,0,0,35,12,3,3,0,6,3,1,3,0,0
LAJEADO,17,18,0,893,4,186,147,37,238,45,115,110,0,0
LAJEADO DO BUGRE,2,2,0,9,0,0,0,0,1,7,6,1,0,0
LAVRAS DO SUL,0,0,0,48,11,2,1,0,6,2,9,4,0,0
LIBERATO SALZANO,0,0,0,14,5,0,0,1,0,2,0,0,0,0
LINDOLFO COLLOR,0,0,0,20,0,1,2,0,4,1,10,6,0,0
LINHA NOVA,0,0,0,8,0,0,0,0,0,0,0,0,0,0
MACAMBARA,0,0,0,46,23,1,0,0,3,4,1,0,0,0
MACHADINHO,0,0,0,41,1,2,3,0,1,4,4,0,0,0
MAMPITUBA,1,1,0,16,3,1,3,0,1,2,1,4,0,0
MANOEL VIANA,1,1,0,40,14,1,3,1,10,7,8,3,0,0
MAQUINE,2,5,0,91,10,5,8,1,7,4,6,1,0,0
MARATA,0,0,0,14,2,2,1,0,1,1,1,0,0,0
MARAU,1,1,0,408,8,28,27,1,109,16,81,17,0,0
MARCELINO RAMOS,0,0,0,14,1,2,0,0,4,6,13,2,0,0
MARIANA PIMENTEL,1,1,0,30,4,2,5,1,5,4,1,5,0,0
MARIANO MORO,0,0,0,9,0,0,0,0,3,1,0,0,0,0
MARQUES DE SOUZA,0,0,0,25,2,2,2,0,6,1,1,0,0,0
MATA,1,1,0,70,44,1,0,0,7,4,2,0,0,0
MATO CASTELHANO,1,1,0,25,3,0,0,1,1,4,1,1,0,0
MATO LEITAO,0,0,1,21,2,0,2,0,5,0,6,1,1,0
MATO QUEIMADO,0,0,0,0,0,0,0,0,3,0,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,0,20,2,2,0,0,2,1,1,0,0,0
MINAS DO LEAO,2,2,0,61,7,3,7,0,7,4,11,13,0,0
MIRAGUAI,1,1,0,41,5,4,2,4,4,4,0,0,0,0
MONTAURI,0,0,0,5,0,0,0,0,0,1,1,0,0,0
MONTE ALEGRE DOS CAMPOS,0,0,0,42,11,0,0,0,1,5,1,0,0,0
MONTE BELO DO SUL,1,1,0,5,1,1,1,1,2,1,0,0,0,0
MONTENEGRO,5,6,0,727,22,62,122,22,99,25,228,103,0,0
MORMACO,0,0,0,26,5,2,1,0,1,1,2,0,0,0
MORRINHOS DO SUL,0,0,0,5,1,0,2,0,3,2,0,1,0,0
MORRO REDONDO,0,0,0,41,7,2,6,1,0,4,2,1,0,0
MORRO REUTER,0,0,0,25,0,2,2,0,9,0,17,0,0,0
MOSTARDAS,5,9,0,175,35,12,10,0,27,15,14,17,0,0
MUCUM,0,0,0,35,1,1,1,0,4,1,5,2,0,0
MUITOS CAPOES,0,0,0,37,7,2,5,1,0,5,0,0,0,0
MULITERNO,0,0,0,12,1,1,0,0,3,0,0,0,0,0
NAO-ME-TOQUE,0,0,0,59,1,6,11,5,41,12,4,31,0,0
NICOLAU VERGUEIRO,0,0,0,16,8,1,1,0,2,3,3,0,0,0
NONOAI,3,3,1,78,4,4,6,1,11,5,44,9,1,0
NOVA ALVORADA,0,0,0,15,3,1,15,0,6,2,4,0,0,0
NOVA ARACA,0,0,0,17,1,4,0,0,3,2,6,2,0,0
NOVA BASSANO,0,0,0,30,1,3,4,4,13,6,12,8,0,0
NOVA BOA VISTA,0,0,0,8,2,0,0,0,0,0,0,0,0,0
NOVA BRESCIA,0,0,0,27,1,0,0,0,0,0,0,0,0,0
NOVA CANDELARIA,0,0,0,9,2,0,0,0,1,0,0,1,0,0
NOVA ESPERANCA DO SUL,0,0,0,8,1,0,0,0,6,2,3,6,0,0
NOVA HARTZ,1,2,0,110,0,8,16,4,69,4,26,18,0,0
NOVA PADUA,0,0,0,7,2,1,1,0,2,0,0,0,0,0
NOVA PALMA,1,1,1,63,23,1,6,0,13,3,1,0,1,0
NOVA PETROPOLIS,1,1,0,87,0,9,4,0,51,2,50,25,0,1
NOVA PRATA,1,1,0,131,9,24,17,2,55,13,52,29,0,0
NOVA RAMADA,0,0,0,15,3,0,0,0,0,4,0,0,0,0
NOVA ROMA DO SUL,0,0,0,18,0,2,1,0,10,4,4,0,0,0
NOVA SANTA RITA,5,5,0,231,17,36,70,8,45,8,77,20,0,0
NOVO BARREIRO,0,0,0,16,3,3,0,0,1,0,1,0,0,0
NOVO CABRAIS,1,1,0,15,1,2,1,0,4,2,4,0,0,0
NOVO HAMBURGO,39,45,0,2972,15,561,1846,630,961,104,366,270,0,0
NOVO MACHADO,0,0,0,15,1,0,0,0,1,3,0,0,0,0
NOVO TIRADENTES,0,0,0,6,0,0,0,0,2,0,2,0,0,0
NOVO XINGU,0,0,0,3,1,0,0,0,0,0,0,0,0,0
OSORIO,8,8,0,738,29,34,94,18,185,24,77,112,0,0
PAIM FILHO,0,0,0,16,3,3,0,0,2,5,3,2,0,0
PALMARES DO SUL,3,4,0,195,17,8,18,3,32,11,28,19,0,0
PALMEIRA DAS MISSOES,4,4,0,348,19,20,24,2,83,22,27,19,0,0
PALMITINHO,1,1,0,44,3,2,0,1,7,1,8,0,0,0
PANAMBI,6,7,0,395,9,21,38,7,107,11,15,26,0,0
PANTANO GRANDE,0,0,0,106,19,4,9,4,6,7,17,9,0,0
PARAI,0,0,0,25,2,5,1,0,12,2,9,7,0,0
PARAISO DO SUL,0,0,0,28,0,1,2,0,1,3,0,0,0,0
PARECI NOVO,0,0,0,32,1,3,1,2,5,1,0,3,0,0
PAROBE,7,7,0,382,4,48,147,56,92,20,42,34,0,1
PASSA SETE,0,0,0,58,12,1,6,0,6,2,1,0,0,0
PASSO DO SOBRADO,0,0,0,85,21,4,2,2,3,2,0,0,0,0
PASSO FUNDO,15,15,1,1750,23,374,739,65,547,149,340,309,2,1
PAULO BENTO,0,0,0,11,1,0,0,0,0,5,0,0,0,0
PAVERAMA,0,0,0,51,6,7,9,4,10,4,9,8,0,0
PEDRAS ALTAS,0,0,0,50,33,1,3,0,2,1,0,0,0,0
PEDRO OSORIO,1,1,0,89,5,7,9,0,13,1,14,4,0,0
PEJUCARA,0,0,0,28,8,4,2,0,7,3,1,0,0,0
PELOTAS,54,57,6,3311,67,424,2576,105,934,192,213,400,6,1
PICADA CAFE,0,0,0,18,0,1,2,1,6,0,16,1,0,0
PINHAL,0,0,0,9,2,1,3,0,1,1,2,1,0,0
PINHAL DA SERRA,0,0,0,15,6,0,1,0,2,3,3,0,0,0
PINHAL GRANDE,0,0,0,17,8,1,4,0,3,4,0,0,0,0
PINHEIRINHO DO VALE,0,0,0,10,1,0,1,0,0,1,3,1,0,0
PINHEIRO MACHADO,1,1,0,93,31,5,5,0,21,7,10,20,0,0
PINTO BANDEIRA,0,0,0,13,1,1,0,0,2,5,3,1,0,0
PIRAPO,0,0,0,19,12,0,0,0,1,6,0,0,0,0
PIRATINI,1,1,0,161,31,21,19,1,20,5,4,13,0,0
PLANALTO,1,1,0,46,5,1,2,1,5,3,7,0,0,0
POCO DAS ANTAS,0,0,0,9,0,3,1,0,4,0,0,0,0,0
PONTAO,0,0,0,16,3,1,2,0,7,6,3,0,0,0
PONTE PRETA,0,0,0,4,0,0,1,0,0,0,1,0,0,0
PORTAO,12,12,0,231,17,37,126,57,106,9,14,32,0,0
PORTO ALEGRE,292,324,13,25567,42,2809,27916,4747,7238,605,1712,2333,13,1
PORTO LUCENA,1,1,0,22,6,0,0,0,1,9,1,2,0,0
PORTO MAUA,0,0,0,32,5,0,0,0,2,3,0,0,0,0
PORTO VERA CRUZ,0,0,0,11,4,1,0,0,0,2,0,1,0,1
PORTO XAVIER,1,1,0,72,18,4,9,0,8,6,22,3,0,1
POUSO NOVO,1,1,0,20,4,1,0,1,6,1,1,0,0,0
PRESIDENTE LUCENA,0,0,0,19,0,2,1,1,2,1,1,0,0,0
PROGRESSO,0,0,0,36,7,2,3,0,10,7,1,1,0,0
PROTASIO ALVES,0,0,0,8,1,0,0,0,1,0,0,0,0,0
PUTINGA,0,0,0,25,3,0,1,0,2,4,1,0,0,0
QUARAI,5,5,0,218,48,22,35,0,21,14,22,7,0,0
QUATRO IRMAOS,0,0,0,4,1,0,0,0,1,2,0,0,0,0
QUEVEDOS,0,0,0,17,8,2,2,0,2,4,0,0,0,0
QUINZE DE NOVEMBRO,0,0,0,34,6,3,1,0,3,2,0,0,0,0
REDENTORA,2,2,1,45,11,4,8,2,6,21,3,1,1,0
RELVADO,0,0,0,19,2,1,0,0,1,3,0,0,0,0
RESTINGA SECA,1,1,1,137,30,5,18,0,16,12,11,4,1,0
RIO DOS INDIOS,0,0,0,21,6,0,3,0,0,1,0,0,0,0
RIO GRANDE,33,35,2,2391,100,172,2142,51,421,144,162,324,2,0
RIO PARDO,7,7,0,364,38,22,27,2,43,19,63,31,0,0
RIOZINHO,0,0,0,23,1,1,1,2,2,4,2,1,0,0
ROCA SALES,1,1,0,79,6,6,17,1,13,5,4,6,0,0
RODEIO BONITO,2,2,0,25,4,0,0,1,9,4,6,1,0,0
ROLADOR,0,0,0,6,1,0,0,0,0,1,0,1,0,0
ROLANTE,4,5,0,101,4,5,20,5,21,7,42,6,0,0
RONDA ALTA,2,2,0,43,3,3,8,2,14,2,2,5,0,0
RONDINHA,0,0,0,9,1,1,3,0,8,0,1,0,0,0
ROQUE GONZALES,2,2,0,22,5,1,1,0,2,10,9,3,0,0
ROSARIO DO SUL,1,1,0,394,73,11,38,0,47,28,64,65,0,0
SAGRADA FAMILIA,0,0,0,5,2,2,1,1,1,4,0,1,0,0
SALDANHA MARINHO,0,0,0,18,0,2,6,1,3,0,1,1,0,0
SALTO DO JACUI,4,5,0,148,5,3,20,2,26,19,23,13,0,0
SALVADOR DAS MISSOES,0,0,0,16,0,1,3,0,2,1,0,0,0,0
SALVADOR DO SUL,0,0,0,48,1,2,6,0,6,2,15,1,0,0
