Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
ACEGUA,0,0,0,25,8,0,1,1,4,1,0,0,0,0
AGUA SANTA,0,0,0,26,5,1,1,0,1,3,1,0,0,0
AGUDO,0,0,0,96,4,5,3,0,23,7,5,7,0,0
AJURICABA,0,0,0,26,4,1,2,0,7,6,12,1,0,0
ALECRIM,1,1,0,27,10,3,1,0,13,8,4,3,0,0
ALEGRETE,5,5,0,817,101,15,124,4,150,38,71,78,0,0
ALEGRIA,1,1,0,20,4,3,0,0,4,2,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,18,3,1,1,1,2,2,0,0,0,0
ALPESTRE,1,1,0,59,24,1,1,0,2,7,1,0,0,0
ALTO ALEGRE,0,0,0,10,5,1,0,0,1,2,0,0,0,0
ALTO FELIZ,0,0,0,6,0,0,2,0,2,1,0,0,0,0
ALVORADA,85,95,1,1465,23,258,3164,612,396,89,124,345,1,1
AMARAL FERRADOR,1,1,0,24,4,3,3,0,6,2,0,2,0,0
AMETISTA DO SUL,1,1,0,36,4,8,3,0,2,5,16,1,0,0
ANDRE DA ROCHA,0,0,0,15,7,0,0,0,3,2,1,0,0,0
ANTA GORDA,0,0,0,46,5,3,2,1,6,2,0,0,0,0
ANTONIO PRADO,0,0,0,105,5,6,10,4,30,4,11,17,0,0
ARAMBARE,0,0,0,65,12,0,7,0,4,3,4,3,0,0
ARARICA,0,0,0,40,1,1,6,5,6,6,11,7,0,0
ARATIBA,0,0,0,24,2,1,1,0,8,7,2,0,0,0
ARROIO DO MEIO,2,3,0,122,3,5,18,8,41,4,39,12,0,0
ARROIO DO PADRE,0,0,0,5,2,1,2,0,1,1,1,0,0,0
ARROIO DO SAL,1,1,0,407,9,13,18,6,43,7,34,20,0,0
ARROIO DO TIGRE,1,1,1,156,14,12,6,3,8,11,2,4,1,0
ARROIO DOS RATOS,0,0,0,116,8,6,18,4,19,5,65,29,0,0
ARROIO GRANDE,1,1,0,213,45,10,16,2,28,9,8,31,0,0
ARVOREZINHA,2,2,0,64,5,4,6,0,6,4,9,1,0,0
AUGUSTO PESTANA,0,0,0,36,3,2,1,0,8,1,1,0,0,0
AUREA,1,1,0,12,1,2,0,0,7,1,2,1,0,0
BAGE,13,13,0,1368,136,69,302,7,209,71,178,182,0,0
BALNEARIO PINHAL,6,6,0,272,7,20,57,6,49,5,17,37,0,0
BARAO,0,0,0,14,1,1,1,0,15,0,2,1,0,0
BARAO DE COTEGIPE,0,0,0,63,3,1,5,0,13,4,2,1,0,0
BARAO DO TRIUNFO,0,0,0,34,7,5,2,0,5,4,2,4,0,0
BARRA DO GUARITA,2,2,0,22,1,1,1,0,2,7,3,2,0,0
BARRA DO QUARAI,0,0,0,96,41,4,6,0,6,6,5,4,0,0
BARRA DO RIBEIRO,1,1,0,144,13,2,25,2,16,13,28,15,0,0
BARRA DO RIO AZUL,0,0,0,4,0,0,0,0,1,0,0,0,0,0
BARRA FUNDA,1,1,0,17,3,1,1,0,5,1,0,0,0,0
BARRACAO,0,0,0,56,9,0,1,0,7,8,2,0,0,0
BARROS CASSAL,1,1,0,144,32,5,5,1,16,8,5,3,0,0
BENJAMIN CONSTANT DO SUL,2,2,0,5,1,0,0,0,0,0,0,0,0,0
BENTO GONCALVES,37,44,1,803,6,151,233,32,417,62,147,110,1,0
BOA VISTA DAS MISSOES,0,0,0,14,5,4,1,1,0,2,1,0,0,0
BOA VISTA DO BURICA,1,1,0,26,2,0,1,0,8,2,1,0,0,0
BOA VISTA DO CADEADO,0,0,0,18,5,0,3,1,4,1,0,0,0,0
BOA VISTA DO INCRA,0,0,0,21,9,2,0,0,0,2,0,0,0,0
BOA VISTA DO SUL,0,0,0,11,2,0,1,0,7,2,0,0,0,0
BOM JESUS,7,8,1,157,23,3,8,1,13,9,32,9,1,0
BOM PRINCIPIO,0,0,0,88,2,9,6,2,30,4,48,16,0,0
BOM PROGRESSO,2,2,0,9,1,0,0,0,2,1,0,1,0,0
BOM RETIRO DO SUL,1,1,0,63,7,6,9,5,17,3,51,12,0,0
BOQUEIRAO DO LEAO,0,0,0,66,3,7,4,0,4,3,2,1,0,0
BOSSOROCA,1,2,0,54,20,0,3,0,4,4,5,1,0,0
BOZANO,0,0,0,9,3,0,1,0,0,0,1,1,0,0
BRAGA,0,0,0,22,10,3,0,0,2,1,0,0,0,0
BROCHIER,1,1,0,24,0,1,11,0,8,3,1,2,0,0
BUTIA,6,7,0,218,27,5,52,0,27,24,80,33,0,0
CACAPAVA DO SUL,4,4,1,392,47,15,21,1,36,30,103,37,1,0
CACEQUI,1,1,0,172,59,0,17,0,12,11,19,5,0,0
CACHOEIRA DO SUL,4,4,0,826,57,88,128,6,94,41,148,98,0,1
CACHOEIRINHA,24,24,0,1376,6,214,1398,226,442,52,224,236,0,0
CACIQUE DOBLE,0,0,0,19,1,1,1,0,1,3,2,1,0,0
CAIBATE,1,1,0,16,1,1,1,0,7,4,0,0,0,0
CAICARA,1,1,0,43,4,3,3,0,4,3,3,0,0,0
CAMAQUA,7,7,0,797,43,63,112,9,124,48,82,70,0,0
CAMARGO,0,0,0,12,0,1,1,0,1,1,2,1,0,0
CAMBARA DO SUL,0,0,0,36,13,5,1,0,9,8,1,2,0,0
CAMPESTRE DA SERRA,1,1,0,39,5,0,1,1,3,4,3,0,0,0
CAMPINA DAS MISSOES,1,1,0,14,0,3,0,0,3,2,2,1,0,0
CAMPINAS DO SUL,0,0,0,85,0,3,0,0,6,3,8,1,0,0
CAMPO BOM,10,10,0,741,1,112,286,96,196,11,71,23,0,0
CAMPO NOVO,0,0,0,49,5,2,1,1,4,7,11,6,0,0
CAMPOS BORGES,0,0,0,16,3,3,0,0,2,0,7,1,0,0
CANDELARIA,9,9,0,268,29,13,36,10,42,32,16,1,0,0
CANDIDO GODOI,0,0,0,11,0,2,0,0,6,1,0,0,0,0
CANDIOTA,1,1,0,111,23,6,11,0,18,6,1,6,0,0
CANELA,10,11,0,503,4,18,60,1,135,30,175,84,0,0
CANGUCU,8,9,0,333,91,16,44,2,35,29,6,24,0,0
CANOAS,60,64,1,3810,20,653,3918,684,969,162,629,628,1,2
CANUDOS DO VALE,0,0,0,6,1,0,0,0,0,1,0,0,0,0
CAPAO BONITO DO SUL,0,0,0,25,7,1,1,1,2,2,1,0,0,0
CAPAO DA CANOA,11,11,0,1060,6,88,233,19,270,36,64,125,0,0
CAPAO DO CIPO,0,0,0,19,13,0,1,0,2,3,0,0,0,0
CAPAO DO LEAO,4,5,0,186,20,12,31,3,28,8,4,7,0,0
CAPELA DE SANTANA,3,4,0,49,11,11,17,7,17,2,15,13,0,0
CAPITAO,0,0,0,9,2,1,1,2,2,4,3,0,0,0
CAPIVARI DO SUL,0,0,0,43,8,1,2,1,13,4,13,7,0,0
CARAA,2,2,0,27,4,1,3,0,3,4,6,4,0,0
CARAZINHO,7,7,0,680,22,56,150,18,161,44,39,51,0,0
CARLOS BARBOSA,0,0,0,138,2,8,12,5,49,4,23,22,0,0
CARLOS GOMES,0,0,0,7,0,0,2,0,1,0,0,0,0,0
CASCA,1,1,0,46,1,6,2,3,22,6,22,4,0,0
CASEIROS,0,0,0,34,7,3,1,0,5,1,1,0,0,0
CATUIPE,1,1,0,100,14,1,1,0,1,4,7,1,0,0
CAXIAS DO SUL,59,62,5,4020,35,1174,1845,459,1869,212,242,248,5,0
CENTENARIO,0,0,0,8,1,1,0,0,3,2,0,0,0,0
CERRITO,0,0,0,55,17,0,5,1,3,4,2,1,0,0
CERRO BRANCO,0,0,0,17,0,1,3,0,1,5,0,0,0,0
CERRO GRANDE,0,0,0,12,3,1,0,0,0,2,0,0,0,0
CERRO GRANDE DO SUL,2,2,0,62,11,11,13,4,9,10,0,1,0,0
CERRO LARGO,4,4,0,119,3,3,10,0,20,3,13,14,0,0
CHAPADA,0,0,0,25,0,0,1,0,14,4,4,0,0,0
CHARQUEADAS,3,3,0,191,9,3,26,1,21,11,172,132,0,0
CHARRUA,0,0,0,5,0,0,1,0,1,2,0,0,0,0
CHIAPETTA,0,0,0,13,2,2,0,0,7,0,1,0,0,0
CHUI,3,3,0,136,19,5,29,0,7,2,8,11,0,0
CHUVISCA,0,0,0,29,4,1,0,0,5,1,0,0,0,0
CIDREIRA,7,7,0,360,8,31,67,6,55,10,39,46,0,0
CIRIACO,1,1,0,47,18,1,1,0,7,5,4,1,0,0
COLINAS,0,0,0,13,2,0,2,0,5,1,1,0,0,0
COLORADO,0,0,0,21,1,2,2,1,6,3,2,0,0,0
CONDOR,0,0,0,48,6,6,1,0,19,2,0,1,0,0
CONSTANTINA,2,2,0,52,1,4,7,0,7,11,10,5,0,0
COQUEIRO BAIXO,0,0,0,6,2,0,0,0,0,0,0,0,0,0
COQUEIROS DO SUL,0,0,0,26,5,1,0,0,2,1,0,0,0,0
CORONEL BARROS,0,0,0,17,3,0,0,0,3,1,0,1,0,0
CORONEL BICACO,0,0,0,64,4,7,6,0,5,6,9,0,0,0
CORONEL PILAR,0,0,0,6,0,0,0,0,6,0,0,0,0,0
COTIPORA,0,0,0,22,1,1,0,1,9,5,0,0,0,0
COXILHA,1,1,0,14,3,1,1,0,1,0,5,0,0,0
CRISSIUMAL,0,0,0,67,3,4,5,0,7,6,17,3,0,0
CRISTAL,0,0,0,51,3,1,7,1,9,0,5,1,0,0
CRISTAL DO SUL,0,0,0,7,2,1,0,0,3,1,2,2,0,0
CRUZ ALTA,11,12,0,782,30,91,248,16,130,57,47,53,0,1
CRUZALTENSE,0,0,0,5,0,0,1,0,1,4,0,0,0,0
CRUZEIRO DO SUL,3,3,0,83,4,16,17,3,17,8,8,4,0,0
DAVID CANABARRO,0,0,0,9,1,3,0,0,7,2,0,0,0,0
DERRUBADAS,0,0,0,14,7,1,0,0,0,1,1,0,0,0
DEZESSEIS DE NOVEMBRO,2,2,0,12,4,0,1,0,1,5,0,0,0,0
DILERMANDO DE AGUIAR,0,0,0,53,29,1,1,0,1,3,3,0,0,0
DOIS IRMAOS,1,1,0,214,2,20,30,5,44,1,33,4,0,0
DOIS IRMAOS DAS MISSOES,0,0,0,7,3,0,0,2,0,0,0,0,0,0
DOIS LAJEADOS,0,0,0,19,0,0,0,2,4,1,2,1,0,0
DOM FELICIANO,0,0,0,88,10,11,11,2,14,7,2,2,0,0
DOM PEDRITO,6,7,0,423,65,24,72,1,73,27,53,48,0,0
DOM PEDRO DE ALCANTARA,0,0,0,12,1,3,2,1,5,0,1,0,0,0
DONA FRANCISCA,1,1,0,21,0,1,2,0,3,3,1,5,0,0
DOUTOR RICARDO,0,0,0,9,0,2,0,0,0,0,0,0,0,0
DR MAURICIO CARDOSO,0,0,0,23,4,1,3,0,3,4,2,2,0,0
ELDORADO DO SUL,7,7,0,306,8,26,177,22,109,20,79,60,0,0
ENCANTADO,5,5,0,136,3,12,16,1,45,9,46,17,0,0
ENCRUZILHADA DO SUL,6,6,1,225,34,15,38,4,51,17,13,8,1,0
ENGENHO VELHO,0,0,0,6,2,0,0,0,1,1,0,0,0,0
ENTRE IJUIS,0,0,0,67,10,2,7,0,3,10,7,1,0,0
ENTRE RIOS DO SUL,1,1,0,8,3,1,3,0,2,0,1,2,0,0
EREBANGO,0,0,0,12,0,1,1,0,2,2,4,0,0,0
ERECHIM,11,11,1,960,3,137,186,12,369,202,257,165,1,0
ERNESTINA,1,1,0,19,4,0,1,0,4,3,10,1,0,0
ERVAL GRANDE,0,0,0,29,5,4,0,2,3,4,4,2,0,0
ERVAL SECO,0,0,0,33,15,2,1,0,10,2,1,0,0,0
ESMERALDA,0,0,0,57,3,0,3,0,5,9,2,2,0,0
ESPERANCA DO SUL,1,1,0,8,2,0,0,0,2,2,0,0,0,0
ESPUMOSO,2,2,0,88,15,15,8,0,20,14,22,13,0,0
ESTACAO,1,1,1,32,0,1,6,0,12,1,8,2,1,0
ESTANCIA VELHA,4,4,1,375,3,62,134,56,152,11,49,22,2,0
ESTEIO,10,11,0,1046,0,123,601,91,258,28,33,136,0,0
ESTRELA,9,10,0,319,2,22,56,10,100,11,108,38,0,0
ESTRELA VELHA,0,0,0,5,1,1,2,0,1,6,0,0,0,0
EUGENIO DE CASTRO,0,0,0,12,1,0,0,0,1,2,0,0,0,0
FAGUNDES VARELA,0,0,0,9,3,0,1,0,1,0,0,0,0,0
FARROUPILHA,21,23,1,603,6,131,163,82,222,27,146,68,1,0
FAXINAL DO SOTURNO,0,0,0,74,5,1,4,0,5,3,4,9,0,0
FAXINALZINHO,0,0,0,12,6,1,1,0,0,1,0,0,0,0
FAZENDA VILA NOVA,2,2,0,44,5,3,12,4,2,3,15,5,0,0
FELIZ,0,0,0,78,0,5,6,1,16,4,39,10,0,0
FLORES DA CUNHA,3,3,0,168,5,46,57,15,80,17,17,10,0,0
FLORIANO PEIXOTO,0,0,0,17,5,1,0,0,1,0,0,0,0,0
FONTOURA XAVIER,3,3,2,157,50,7,8,0,6,16,9,3,2,0
FORMIGUEIRO,0,0,0,81,22,1,3,1,15,8,1,3,0,0
FORQUETINHA,0,0,0,13,0,3,3,0,0,5,2,0,0,0
FORTALEZA DOS VALOS,0,0,0,28,3,1,2,0,2,3,2,0,0,0
FREDERICO WESTPHALEN,4,5,0,263,12,20,24,0,85,26,179,27,0,0
GARIBALDI,5,5,0,182,9,11,17,26,52,11,20,17,0,1
GARRUCHOS,0,0,0,42,26,0,3,0,2,2,0,0,0,0
GAURAMA,0,0,0,44,4,0,2,2,5,3,0,1,0,0
GENERAL CAMARA,0,0,0,93,10,1,9,0,11,2,5,8,0,0
GENTIL,0,0,0,23,8,0,1,0,5,2,0,0,0,0
GETULIO VARGAS,1,1,0,68,1,9,13,4,30,12,66,56,0,0
GIRUA,0,0,0,194,9,8,14,0,16,4,12,22,0,0
GLORINHA,1,1,0,55,9,2,13,6,25,3,7,3,0,2
GRAMADO,1,1,0,454,1,17,25,2,153,14,94,45,0,0
GRAMADO DOS LOUREIROS,1,1,0,2,0,0,0,1,0,1,0,0,0,0
GRAMADO XAVIER,2,2,0,33,1,3,1,0,1,0,0,1,0,0
GRAVATAI,67,74,2,2059,52,475,2334,461,822,135,127,320,2,1
GUABIJU,0,0,0,8,2,0,0,0,4,2,1,0,0,0
GUAIBA,28,28,1,619,6,75,475,33,151,54,674,140,1,1
GUAPORE,4,5,0,149,5,18,25,10,64,8,36,36,0,0
GUARANI DAS MISSOES,0,0,0,115,9,0,8,0,5,6,5,0,0,0
HARMONIA,0,0,0,10,0,0,1,1,3,0,3,0,0,0
HERVAL,1,1,0,100,51,4,3,0,5,7,9,2,0,0
HERVEIRAS,1,1,0,7,1,1,1,1,2,2,2,0,0,0
HORIZONTINA,1,2,0,112,1,1,4,1,12,2,78,13,0,1
HULHA NEGRA,0,0,0,39,14,2,2,0,4,3,4,2,0,0
HUMAITA,0,0,0,15,0,0,4,0,2,0,2,2,0,0
IBARAMA,1,1,0,33,2,2,5,1,2,5,0,1,0,0
IBIACA,0,0,0,49,4,0,1,1,6,2,0,0,0,0
IBIRAIARAS,0,0,0,51,8,1,2,0,15,3,6,0,0,0
IBIRAPUITA,1,1,0,20,3,0,0,0,3,6,5,7,0,0
IBIRUBA,2,2,0,139,7,6,16,2,55,5,12,19,0,0
IGREJINHA,4,4,0,292,2,25,48,4,70,15,73,25,0,0
IJUI,12,13,0,761,10,51,88,6,168,53,110,83,0,1
ILOPOLIS,0,0,0,28,1,2,3,0,4,5,12,1,0,0
IMBE,7,7,0,783,13,55,132,15,80,11,60,30,0,0
IMIGRANTE,0,0,0,10,0,0,1,0,4,0,0,0,0,0
INDEPENDENCIA,0,0,0,54,4,1,3,0,5,4,11,5,0,0
