Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,1,0,61,0,0,0,0,0,0,1,0,2,0,1
AGUA SANTA,0,0,46,3,1,0,1,0,0,1,0,0,0,0
AGUDO,0,0,191,5,6,0,0,1,0,24,0,7,0,1
AJURICABA,0,0,41,3,0,0,0,0,0,13,0,2,2,0
ALECRIM,1,0,77,7,2,0,0,1,0,4,0,5,1,4
ALEGRETE,9,0,1038,25,103,1,1,4,0,61,1,57,64,48
ALEGRIA,0,0,40,3,2,0,0,0,0,2,1,4,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,16,0,2,0,0,0,0,1,0,3,0,0
ALPESTRE,0,0,58,0,4,0,0,0,0,1,0,10,2,1
ALTO ALEGRE,0,0,11,3,1,0,0,0,0,1,0,0,0,0
ALTO FELIZ,0,0,8,0,0,0,0,0,0,1,0,1,0,0
ALVORADA,88,0,2184,352,1783,1,184,4,0,203,4,120,490,207
AMARAL FERRADOR,1,0,54,5,8,1,2,0,0,3,0,6,0,0
AMETISTA DO SUL,2,0,66,1,0,0,0,0,0,3,0,2,0,2
ANDRE DA ROCHA,0,0,37,0,0,0,0,0,0,0,1,5,1,0
ANTA GORDA,0,0,37,1,2,0,1,0,0,8,0,10,2,3
ANTONIO PRADO,1,0,123,1,10,0,0,0,0,18,0,4,19,7
ARAMBARE,0,0,72,1,4,0,1,0,0,3,0,3,1,2
ARARICA,1,0,30,1,3,0,3,1,0,2,0,1,1,3
ARATIBA,1,0,28,4,1,0,0,0,0,2,0,1,0,0
ARROIO DO MEIO,1,0,213,9,9,0,6,0,0,20,0,2,14,5
ARROIO DO PADRE,0,0,8,1,0,0,0,0,0,0,0,0,0,0
ARROIO DO SAL,2,0,396,9,28,0,4,0,0,17,0,5,5,4
ARROIO DO TIGRE,5,0,129,7,11,0,1,0,0,15,0,10,1,2
ARROIO DOS RATOS,0,0,163,2,20,0,6,0,0,1,0,7,2,8
ARROIO GRANDE,3,0,221,3,8,0,0,1,0,15,0,10,20,18
ARVOREZINHA,2,0,88,3,3,0,2,0,0,6,3,18,3,5
AUGUSTO PESTANA,0,0,37,4,1,0,1,0,0,10,0,2,2,0
AUREA,1,0,17,0,1,0,0,0,0,1,0,0,0,0
BAGE,10,0,1960,95,246,0,3,5,0,142,2,48,115,77
BALNEARIO PINHAL,3,0,429,11,53,0,1,1,0,24,0,7,38,18
BARAO,1,0,25,2,0,0,1,0,0,0,0,2,2,0
BARAO DE COTEGIPE,0,0,61,2,3,0,0,0,0,1,0,11,0,2
BARAO DO TRIUNFO,2,0,55,3,6,0,0,1,0,0,0,5,0,0
BARRA DO GUARITA,1,0,43,2,1,0,0,0,0,0,0,14,1,1
BARRA DO QUARAI,0,0,78,1,1,0,0,0,0,1,0,0,4,0
BARRA DO RIBEIRO,1,0,177,3,12,0,3,0,0,13,0,17,10,4
BARRA DO RIO AZUL,0,0,15,0,0,0,0,0,0,1,0,0,0,0
BARRA FUNDA,0,0,18,2,1,0,0,0,0,1,0,0,1,0
BARRACAO,0,0,62,3,2,0,0,0,0,4,0,6,0,1
BARROS CASSAL,0,0,92,3,6,1,0,0,1,10,0,5,0,1
BENJAMIN CONSTANT DO SUL,0,0,11,2,1,0,0,0,0,0,0,2,0,0
BENTO GONCALVES,16,0,1767,178,362,0,62,5,1,167,2,76,140,36
BOA VISTA DAS MISSOES,0,0,10,1,3,0,0,0,0,0,0,1,0,0
BOA VISTA DO BURICA,0,0,53,2,2,0,0,0,0,3,0,2,0,0
BOA VISTA DO CADEADO,0,0,26,0,0,0,0,0,0,2,0,3,0,0
BOA VISTA DO INCRA,0,0,22,1,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO SUL,0,0,36,1,3,0,1,0,0,0,0,0,0,0
BOM JESUS,2,0,129,1,26,0,1,0,0,10,2,20,4,30
BOM PRINCIPIO,0,0,108,16,12,0,5,0,0,8,0,0,45,2
BOM PROGRESSO,0,0,17,0,0,0,0,0,0,0,0,2,0,0
BOM RETIRO DO SUL,0,0,106,2,14,0,1,0,0,7,0,8,6,2
BOQUEIRAO DO LEAO,0,0,62,4,4,0,0,1,0,4,0,2,0,0
BOSSOROCA,1,0,88,3,4,0,1,0,0,8,0,4,0,0
BOZANO,0,0,28,0,0,0,0,0,0,0,0,0,0,0
BRAGA,0,0,52,3,1,0,0,0,0,0,0,7,0,2
BROCHIER,1,0,15,0,1,0,0,0,0,3,0,0,1,0
BUTIA,4,0,303,5,15,0,1,2,0,18,0,9,14,8
CACAPAVA DO SUL,4,0,455,12,26,0,2,0,0,29,0,8,6,3
CACEQUI,3,0,346,1,13,0,0,0,0,14,1,11,6,10
CACHOEIRA DO SUL,9,0,1370,38,113,1,4,4,0,122,0,32,48,36
CACHOEIRINHA,22,0,2016,226,741,0,251,1,0,220,1,48,206,76
CACIQUE DOBLE,0,0,36,1,2,0,0,0,0,0,0,1,0,1
CAIBATE,0,0,24,1,3,0,1,0,0,4,0,5,1,0
CAICARA,1,0,25,1,0,0,0,0,0,1,0,3,1,0
CAMAQUA,9,0,1363,84,194,0,2,4,0,138,2,55,25,55
CAMARGO,0,0,12,1,0,0,0,0,0,1,0,0,0,0
CAMBARA DO SUL,2,0,62,0,3,0,1,0,0,6,0,4,0,3
CAMPESTRE DA SERRA,1,0,23,0,2,0,0,0,0,1,0,2,3,1
CAMPINA DAS MISSOES,0,0,31,2,0,0,0,1,0,2,0,2,1,1
CAMPINAS DO SUL,0,0,19,3,1,0,0,0,0,3,0,3,1,2
CAMPO BOM,3,0,896,194,310,1,131,2,0,113,0,30,166,34
CAMPO NOVO,0,0,66,3,5,0,0,0,0,1,1,9,0,3
