Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ARROIO GRANDE,1,0,166,2,8,0,0,0,0,29,1,14,16,5
ARVOREZINHA,0,0,74,3,9,0,2,0,0,19,0,7,3,3
AUGUSTO PESTANA,0,0,68,2,1,0,0,0,0,7,0,0,0,0
AUREA,0,0,6,0,0,0,0,0,0,1,0,0,0,0
BAGE,3,0,1268,68,196,1,3,7,0,132,0,35,115,85
BALNEARIO PINHAL,2,0,342,26,39,0,4,0,0,25,0,12,25,16
BARAO,0,0,13,2,1,0,0,0,0,3,0,1,1,0
BARAO DE COTEGIPE,0,0,68,4,3,0,1,0,0,2,0,12,2,0
BARAO DO TRIUNFO,1,0,40,0,6,0,3,0,0,2,0,6,0,0
BARRA DO GUARITA,1,0,26,1,3,0,0,0,0,0,0,4,0,0
BARRA DO QUARAI,0,0,51,2,1,0,0,0,0,0,0,1,1,0
BARRA DO RIBEIRO,2,0,197,1,23,0,5,2,0,15,1,6,6,3
BARRA DO RIO AZUL,0,0,10,0,1,0,0,0,0,0,0,0,0,0
BARRA FUNDA,0,0,9,0,1,0,0,0,0,0,0,0,0,1
BARRACAO,0,0,47,1,2,0,1,0,0,8,0,7,3,0
BARROS CASSAL,5,0,59,7,6,0,0,0,0,2,0,4,1,2
BENJAMIN CONSTANT DO SUL,0,0,10,0,0,0,0,0,0,0,0,5,0,0
BENTO GONCALVES,15,0,1455,221,273,0,76,12,0,141,5,48,97,46
BOA VISTA DAS MISSOES,0,0,10,0,1,0,0,0,0,1,0,0,0,0
BOA VISTA DO BURICA,0,0,19,1,3,0,0,0,0,6,0,4,0,2
BOA VISTA DO CADEADO,0,0,33,0,0,0,0,0,0,0,0,2,0,0
BOA VISTA DO INCRA,0,0,23,0,1,0,0,0,0,0,0,2,0,0
BOA VISTA DO SUL,0,0,22,0,1,0,0,0,0,1,0,0,1,0
BOM JESUS,1,0,144,2,10,0,0,1,0,11,0,12,10,13
BOM PRINCIPIO,0,0,96,8,6,0,9,0,0,18,1,1,57,3
BOM PROGRESSO,1,0,26,1,2,0,0,0,0,2,0,10,0,0
BOM RETIRO DO SUL,0,0,112,1,11,0,2,0,0,4,0,2,5,2
BOQUEIRAO DO LEAO,0,0,62,3,0,0,1,0,0,5,0,2,0,0
BOSSOROCA,0,0,48,3,1,0,0,0,0,4,0,1,0,0
BOZANO,0,0,14,0,0,0,0,0,0,2,0,0,0,0
BRAGA,0,0,47,3,5,0,0,0,0,1,0,3,3,3
BROCHIER,1,0,29,1,0,0,0,0,0,2,0,1,0,0
BUTIA,5,0,295,1,23,1,6,1,0,27,0,5,24,10
CACAPAVA DO SUL,6,0,534,11,26,0,2,0,0,24,0,17,7,8
CACEQUI,2,0,237,2,8,1,0,0,0,14,2,4,8,3
CACHOEIRA DO SUL,4,0,1064,39,116,0,2,6,0,109,3,42,72,51
CACHOEIRINHA,25,0,1733,192,680,0,252,4,0,258,4,57,391,83
CACIQUE DOBLE,0,0,36,0,2,0,0,0,0,1,0,5,0,0
CAIBATE,0,0,22,0,2,0,1,0,0,2,0,5,0,0
CAICARA,2,0,35,1,2,0,0,0,0,2,0,1,0,0
CAMAQUA,3,0,1190,101,184,0,4,3,0,152,1,39,44,53
CAMARGO,0,0,10,1,2,0,0,0,0,0,0,3,0,1
CAMBARA DO SUL,0,0,64,1,5,0,1,0,0,5,1,4,0,5
CAMPESTRE DA SERRA,0,0,29,0,2,0,0,0,0,0,0,2,2,0
CAMPINA DAS MISSOES,1,0,29,1,1,0,0,0,0,0,1,19,2,2
CAMPINAS DO SUL,0,0,26,0,0,0,0,0,0,3,0,1,0,0
CAMPO BOM,6,0,807,139,351,0,108,7,0,105,3,17,176,23
CAMPO NOVO,0,0,45,3,8,0,0,0,0,9,1,4,3,1
CAMPOS BORGES,0,0,5,1,0,0,0,0,0,0,0,3,0,0
CANDELARIA,6,0,311,12,40,0,5,1,0,26,1,32,10,10
CANDIDO GODOI,0,0,24,3,0,0,0,0,0,2,0,1,0,0
CANDIOTA,1,0,149,4,2,0,0,0,0,7,0,3,0,1
CANELA,0,0,714,25,44,0,2,2,0,67,0,16,45,35
CANGUCU,3,0,265,22,18,0,2,0,0,28,2,9,8,4
CANOAS,98,0,5233,640,2155,1,912,11,1,536,11,176,1030,318
CANUDOS DO VALE,0,0,2,0,0,0,0,0,0,2,0,1,0,0
CAPAO BONITO DO SUL,1,0,22,0,0,0,0,0,0,0,0,3,0,0
CAPAO DA CANOA,17,0,1379,149,287,0,28,4,0,107,3,21,126,83
CAPAO DO CIPO,0,0,29,0,0,0,0,0,0,1,0,4,0,0
CAPAO DO LEAO,2,0,207,4,28,0,4,1,0,11,3,13,3,1
CAPELA DE SANTANA,1,0,99,3,8,0,6,0,0,8,0,7,15,2
CAPITAO,0,0,13,0,1,0,0,0,0,0,0,0,2,0
CAPIVARI DO SUL,1,0,30,6,1,0,0,0,0,4,0,2,2,4
CARAA,0,0,24,2,2,0,2,0,0,1,0,5,2,0
CARAZINHO,12,0,882,54,167,1,9,0,0,89,3,51,40,33
CARLOS BARBOSA,1,0,252,26,34,0,15,0,0,12,0,11,12,1
CARLOS GOMES,1,0,7,1,0,0,0,0,0,3,0,1,0,0
CASCA,0,0,76,12,18,0,9,0,0,12,0,8,3,1
CASEIROS,0,0,23,2,4,0,2,0,0,4,0,1,0,0
CATUIPE,0,0,93,3,2,0,0,0,0,9,1,16,1,12
CAXIAS DO SUL,99,1,5496,1147,1945,5,571,21,1,581,3,252,248,257
CENTENARIO,0,0,7,0,0,0,0,0,0,3,0,1,0,0
CERRITO,0,0,70,2,10,0,0,0,0,0,0,1,1,0
CERRO BRANCO,0,0,14,0,3,0,0,0,0,0,0,1,0,0
CERRO GRANDE,0,0,11,1,0,0,0,0,0,0,0,4,0,0
CERRO GRANDE DO SUL,0,0,98,7,4,0,1,0,0,5,0,9,2,0
CERRO LARGO,3,0,100,7,11,0,0,0,0,15,1,4,7,5
CHAPADA,1,0,29,5,1,0,0,0,0,8,0,4,2,0
CHARQUEADAS,3,0,306,3,30,0,2,0,0,18,95,11,131,151
CHARRUA,0,0,11,1,1,0,0,0,0,2,0,1,0,0
CHIAPETTA,0,0,38,1,0,0,0,0,0,5,0,2,0,0
CHUI,0,0,210,7,5,0,0,0,0,9,1,5,4,4
CHUVISCA,0,0,49,0,3,0,1,0,0,1,1,5,0,0
CIDREIRA,6,0,504,27,49,0,5,1,0,31,1,11,42,14
CIRIACO,1,0,97,3,6,0,2,0,0,5,1,11,1,0
COLINAS,0,0,25,1,2,0,0,0,0,1,1,0,0,0
COLORADO,0,0,34,3,0,0,0,0,0,7,0,3,0,0
CONDOR,0,0,55,3,5,0,0,0,0,6,0,8,1,0
CONSTANTINA,2,0,73,7,3,0,0,0,0,7,0,8,1,2
COQUEIRO BAIXO,0,0,11,0,0,0,0,0,0,2,0,0,0,0
COQUEIROS DO SUL,0,0,17,1,0,0,0,0,0,0,0,1,0,0
CORONEL BARROS,0,0,17,1,2,0,0,0,0,0,0,0,0,1
CORONEL BICACO,1,0,87,3,6,0,1,0,0,3,2,3,1,5
CORONEL PILAR,0,0,12,1,0,0,0,0,0,0,0,0,0,0
COTIPORA,0,0,25,0,2,2,1,0,0,0,1,8,0,0
COXILHA,1,0,30,0,5,0,0,0,0,0,0,4,0,0
CRISSIUMAL,0,0,103,4,5,0,0,0,0,17,2,17,2,2
CRISTAL,1,0,79,0,4,0,0,0,0,7,0,5,1,1
CRISTAL DO SUL,0,0,10,0,0,0,0,0,0,0,0,9,1,0
CRUZ ALTA,7,0,1230,42,171,1,14,3,0,100,1,58,31,25
CRUZALTENSE,0,0,7,1,1,0,0,0,0,1,0,0,3,0
CRUZEIRO DO SUL,0,0,188,10,11,0,4,1,0,11,1,7,1,0
DAVID CANABARRO,0,0,27,5,2,0,2,0,0,5,0,4,0,0
DERRUBADAS,0,0,27,0,0,0,0,0,0,0,0,1,0,0
DEZESSEIS DE NOVEMBRO,0,0,14,2,2,0,0,0,0,2,0,5,0,0
DILERMANDO DE AGUIAR,0,0,47,1,5,0,0,0,0,2,1,2,0,0
DOIS IRMAOS,0,0,129,49,28,0,13,0,0,20,1,1,13,5
DOIS IRMAOS DAS MISSOES,0,0,21,1,0,0,1,0,0,1,0,1,0,0
DOIS LAJEADOS,0,0,21,4,0,0,0,0,0,6,0,1,0,0
DOM FELICIANO,0,0,89,9,7,0,0,0,0,12,2,7,0,0
DOM PEDRITO,4,0,396,22,23,0,0,2,0,22,2,39,31,34
DOM PEDRO DE ALCANTARA,0,0,15,0,0,0,0,0,0,0,0,0,0,0
DONA FRANCISCA,0,0,53,1,0,0,0,0,0,3,0,6,0,0
DOUTOR RICARDO,0,0,19,2,3,0,0,0,0,1,0,1,1,0
DR MAURICIO CARDOSO,0,0,29,1,1,0,0,0,0,1,0,1,0,0
ELDORADO DO SUL,6,0,539,28,92,0,11,2,0,45,1,22,24,69
ENCANTADO,1,0,324,15,18,0,5,2,0,32,0,15,32,12
ENCRUZILHADA DO SUL,3,0,344,5,43,0,5,1,0,34,3,17,3,10
ENGENHO VELHO,0,0,4,1,1,0,0,0,0,1,0,11,0,0
ENTRE IJUIS,1,0,87,0,5,0,1,0,0,4,0,12,3,0
ENTRE RIOS DO SUL,0,0,44,5,1,0,0,0,0,0,0,2,3,0
EREBANGO,0,0,17,1,0,0,0,0,0,1,0,2,0,1
ERECHIM,13,0,1412,88,172,1,9,4,0,150,0,126,154,98
ERNESTINA,0,0,34,11,5,0,4,0,0,1,0,3,0,0
ERVAL GRANDE,0,0,24,4,6,0,3,0,0,0,0,9,1,0
ERVAL SECO,1,0,48,4,2,0,0,0,0,2,0,3,1,0
ESMERALDA,0,0,79,0,0,0,0,1,0,5,0,8,1,0
ESPERANCA DO SUL,0,0,11,0,1,0,0,0,0,2,0,3,0,0
ESPUMOSO,2,0,95,14,8,0,1,0,0,4,4,3,12,5
ESTACAO,1,0,42,12,0,0,0,0,0,2,0,3,2,0
ESTANCIA VELHA,1,0,400,108,177,0,63,3,0,61,1,10,56,12
ESTEIO,17,0,1785,215,656,0,105,4,1,106,3,31,423,63
ESTRELA,5,0,447,20,84,0,6,2,0,28,0,13,88,17
ESTRELA VELHA,0,0,13,1,0,0,0,1,0,0,0,1,0,0
EUGENIO DE CASTRO,0,0,37,1,1,0,0,0,0,3,0,8,0,0
FAGUNDES VARELA,1,0,11,0,2,0,0,0,0,0,0,14,0,0
FARROUPILHA,10,0,822,82,240,0,75,1,0,75,1,38,70,25
FAXINAL DO SOTURNO,1,0,71,1,2,0,3,0,0,6,0,4,0,4
FAXINALZINHO,0,0,14,0,0,0,0,0,0,0,0,3,0,0
FAZENDA VILA NOVA,1,0,54,6,7,0,1,0,0,2,0,2,3,1
FELIZ,0,0,74,9,6,0,0,0,0,15,0,4,12,1
FLORES DA CUNHA,3,0,275,30,50,0,21,0,0,25,0,13,17,5
FLORIANO PEIXOTO,0,0,8,1,2,0,0,0,0,0,0,2,0,0
FONTOURA XAVIER,3,0,84,19,13,0,2,1,0,8,0,22,5,4
FORMIGUEIRO,0,0,79,2,0,0,0,0,0,9,0,2,1,3
FORQUETINHA,0,0,9,0,3,0,0,0,0,0,3,2,0,0
FORTALEZA DOS VALOS,1,0,43,0,3,0,0,0,0,6,0,1,0,0
FREDERICO WESTPHALEN,2,0,361,19,21,0,5,0,0,40,0,29,72,7
GARIBALDI,4,0,362,39,63,0,24,0,0,11,1,6,17,3
GARRUCHOS,1,0,63,0,1,0,0,0,0,1,0,3,0,1
GAURAMA,0,0,52,4,0,0,0,0,0,2,0,3,3,0
GENERAL CAMARA,1,0,83,5,1,0,0,0,0,12,0,3,1,1
GENTIL,0,0,19,1,4,0,3,0,0,1,0,1,0,0
GETULIO VARGAS,2,0,119,20,23,0,3,1,0,20,0,5,18,15
GIRUA,1,0,133,9,16,0,1,1,0,24,0,7,4,4
GLORINHA,2,0,88,1,5,0,0,0,0,3,0,4,3,2
GRAMADO,1,0,527,13,33,0,5,2,0,73,1,6,32,11
GRAMADO DOS LOUREIROS,0,0,20,0,0,0,0,0,0,1,0,4,0,0
GRAMADO XAVIER,0,0,13,1,0,0,0,0,0,1,0,2,0,0
GRAVATAI,55,0,2712,626,998,2,301,19,0,498,4,141,856,142
GUABIJU,0,0,15,1,1,0,0,0,0,1,0,1,0,0
GUAIBA,26,0,994,55,281,2,19,5,0,97,2,64,114,73
GUAPORE,2,0,232,15,16,0,3,2,0,28,2,13,22,15
GUARANI DAS MISSOES,1,0,129,3,6,0,0,0,0,7,2,7,0,1
HARMONIA,0,0,20,2,3,0,0,0,0,1,0,0,1,0
HERVAL,0,0,87,1,0,0,0,0,0,5,0,2,4,0
HERVEIRAS,0,0,12,0,1,0,0,0,0,1,0,0,0,0
HORIZONTINA,2,0,210,10,14,0,0,3,0,11,1,4,18,13
HULHA NEGRA,0,0,43,1,2,0,0,0,0,0,0,3,1,0
HUMAITA,1,0,20,1,0,0,1,0,0,4,0,3,1,0
IBARAMA,0,0,40,0,2,0,0,0,0,0,0,3,0,0
IBIACA,0,0,42,3,2,0,0,0,0,4,0,6,2,0
IBIRAIARAS,0,0,84,8,2,0,2,1,0,8,0,6,0,0
IBIRAPUITA,1,0,19,2,3,0,1,0,0,4,0,9,0,0
IBIRUBA,2,0,229,23,19,0,2,1,0,33,0,14,5,18
IGREJINHA,6,0,357,30,60,0,9,3,0,47,0,12,24,6
IJUI,5,0,1240,118,163,2,9,2,1,115,2,43,64,63
ILOPOLIS,0,0,37,3,4,0,0,0,0,6,0,4,0,1
IMBE,2,0,927,47,53,0,12,0,0,29,2,7,31,20
IMIGRANTE,1,0,20,0,3,0,0,0,0,0,0,0,1,0
INDEPENDENCIA,3,0,73,8,1,0,0,0,0,9,0,3,0,0
INHACORA,1,0,13,0,1,0,0,0,0,1,0,4,0,0
IPE,0,0,58,2,2,0,0,0,0,3,0,4,5,2
IPIRANGA DO SUL,0,0,5,1,1,0,0,0,0,1,0,6,0,0
IRAI,2,0,64,2,3,0,0,0,0,4,0,9,9,2
ITAARA,1,0,66,1,6,0,1,0,0,6,0,5,1,1
ITACURUBI,1,0,42,0,2,0,0,0,0,1,0,5,3,1
ITAPUCA,0,0,34,0,1,0,0,1,0,0,0,7,0,1
ITAQUI,3,0,369,9,53,0,1,3,0,36,1,28,28,116
ITATI,0,0,15,1,6,0,0,0,0,0,0,2,0,1
ITATIBA DO SUL,1,0,22,0,0,0,0,0,0,3,0,8,0,0
IVORA,0,0,11,1,0,1,0,0,0,3,0,0,0,0
IVOTI,0,0,156,24,26,0,11,0,0,35,0,1,33,2
JABOTICABA,0,0,26,0,0,0,0,0,0,2,0,5,1,0
JACUIZINHO,1,0,5,1,0,0,0,0,0,0,1,1,0,0
JACUTINGA,0,0,19,1,1,0,0,0,0,1,0,0,1,0
JAGUARAO,0,0,353,26,39,0,0,1,0,27,0,8,16,3
JAGUARI,0,0,87,2,4,0,0,0,1,11,0,5,0,1
JAQUIRANA,2,0,46,2,3,0,0,0,0,1,0,1,0,4
JARI,0,0,31,0,0,0,0,0,0,1,0,1,0,0
JOIA,1,0,53,0,1,0,0,0,0,5,0,8,1,0
JULIO DE CASTILHOS,2,0,302,2,24,0,3,0,0,29,1,13,6,9
LAGOA BONITA DO SUL,0,0,17,1,1,0,0,0,0,2,0,3,0,0
LAGOA DOS TRES CANTOS,0,0,15,2,0,0,0,0,0,3,0,0,0,0
LAGOA VERMELHA,0,0,540,15,43,2,8,0,0,41,1,22,40,16
LAGOAO,0,0,27,3,3,0,0,0,0,4,0,5,0,0
LAJEADO,13,0,1442,200,267,1,44,2,0,132,4,59,228,78
LAJEADO DO BUGRE,0,0,15,0,0,0,0,0,0,0,0,5,0,0
LAVRAS DO SUL,0,0,63,2,0,0,0,0,0,0,0,1,0,0
LIBERATO SALZANO,0,0,35,3,3,0,1,0,0,1,0,8,0,0
LINDOLFO COLLOR,0,0,23,4,6,0,2,0,0,3,1,2,9,2
LINHA NOVA,0,0,6,1,1,0,0,0,0,0,0,0,1,0
MACAMBARA,0,0,29,0,1,0,0,0,0,1,0,2,0,1
MACHADINHO,1,0,47,7,0,0,0,0,0,4,0,10,0,0
MAMPITUBA,0,0,10,0,3,0,0,0,0,0,0,2,1,0
MANOEL VIANA,1,0,61,0,3,0,0,0,0,5,0,11,1,1
MAQUINE,0,0,61,4,5,0,1,1,0,2,0,7,0,1
MARATA,0,0,11,0,0,0,0,0,0,0,0,0,0,0
MARAU,5,0,440,59,47,1,35,0,0,65,2,19,23,8
MARCELINO RAMOS,1,0,48,0,1,0,0,0,0,3,1,5,4,1
MARIANA PIMENTEL,0,0,63,0,1,0,2,0,0,6,0,0,0,1
MARIANO MORO,0,0,5,0,1,0,0,0,0,1,0,4,0,0
MARQUES DE SOUZA,0,0,18,0,3,0,1,0,0,6,0,2,1,0
MATA,0,0,60,2,1,0,0,0,0,3,1,3,0,0
MATO CASTELHANO,1,0,42,2,6,0,4,0,0,0,0,6,0,0
MATO LEITAO,0,0,27,1,3,1,1,0,0,2,1,2,0,0
MATO QUEIMADO,0,0,4,0,1,0,0,0,0,0,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,38,1,2,0,0,1,0,5,0,12,0,1
MINAS DO LEAO,0,0,100,0,8,0,1,0,0,3,0,3,3,3
MIRAGUAI,1,0,60,7,3,0,0,0,0,1,0,9,0,1
MONTAURI,0,0,2,0,1,0,0,0,0,0,0,2,0,0
MONTE ALEGRE DOS CAMPOS,0,0,8,0,1,0,0,0,0,0,0,9,0,0
MONTE BELO DO SUL,0,0,9,2,0,0,1,0,0,5,0,0,0,0
MONTENEGRO,1,0,709,51,93,0,19,1,0,78,2,22,289,45
MORMACO,0,0,13,2,1,0,1,0,0,4,1,0,0,1
MORRINHOS DO SUL,0,0,4,1,0,0,0,0,0,0,0,1,0,0
MORRO REDONDO,0,0,51,2,2,0,0,0,0,1,0,4,1,0
MORRO REUTER,0,0,17,2,3,0,3,0,0,0,0,0,1,1
MOSTARDAS,2,0,176,4,15,0,1,0,0,15,0,3,5,5
MUCUM,1,0,45,7,4,0,0,0,0,4,1,1,2,0
MUITOS CAPOES,1,0,51,0,2,0,0,0,0,0,0,4,0,0
MULITERNO,0,0,9,1,1,0,0,0,0,2,0,1,0,0
NAO-ME-TOQUE,1,0,288,35,26,0,8,0,0,20,0,7,15,9
NICOLAU VERGUEIRO,0,0,19,2,1,0,0,0,0,1,0,1,0,0
NONOAI,1,0,170,3,6,0,0,0,0,7,0,19,1,2
NOVA ALVORADA,0,0,14,0,4,0,0,0,0,5,0,2,0,0
NOVA ARACA,0,0,53,7,7,0,3,0,0,2,0,4,0,0
NOVA BASSANO,2,0,83,7,20,0,6,0,0,15,2,4,3,3
NOVA BOA VISTA,0,0,8,0,0,0,0,0,0,1,0,0,0,0
NOVA BRESCIA,0,0,19,0,0,0,0,0,0,1,0,1,1,2
NOVA CANDELARIA,0,0,6,2,1,0,0,0,0,2,0,1,0,0
NOVA ESPERANCA DO SUL,0,0,43,0,1,0,0,0,0,7,0,0,2,0
NOVA HARTZ,0,0,119,10,22,1,5,0,0,30,0,2,8,1
NOVA PADUA,1,0,11,0,2,0,0,0,0,1,0,0,0,0
NOVA PALMA,3,0,60,2,9,0,1,0,0,9,1,3,0,0
NOVA PETROPOLIS,0,0,152,7,19,0,1,1,0,48,0,7,10,1
NOVA PRATA,1,0,245,18,30,0,5,0,0,15,1,9,8,17
NOVA RAMADA,1,0,18,0,2,0,0,0,0,4,1,0,0,0
NOVA ROMA DO SUL,0,0,26,0,1,0,0,0,0,4,0,2,0,0
NOVA SANTA RITA,2,0,222,19,36,0,11,0,0,30,2,11,20,12
NOVO BARREIRO,0,0,11,3,0,0,0,0,0,1,0,3,0,1
NOVO CABRAIS,0,0,22,2,0,0,0,0,0,3,0,4,0,0
NOVO HAMBURGO,83,0,3610,907,1906,3,522,16,1,536,6,182,365,171
NOVO MACHADO,1,0,27,1,0,0,0,0,0,0,0,7,0,0
NOVO TIRADENTES,0,0,5,1,0,0,0,0,0,0,0,0,0,0
NOVO XINGU,1,0,2,1,1,0,0,0,0,0,0,1,0,0
OSORIO,7,0,847,42,124,0,12,2,0,79,1,18,146,93
PAIM FILHO,1,0,32,0,2,0,0,0,0,1,0,6,3,0
PALMARES DO SUL,3,0,239,9,11,0,3,0,0,21,3,8,6,11
PALMEIRA DAS MISSOES,3,0,446,25,33,1,4,1,0,23,0,35,18,13
PALMITINHO,0,0,39,3,3,0,0,0,0,2,0,2,2,0
PANAMBI,1,0,293,26,27,2,2,6,0,36,1,19,17,13
PANTANO GRANDE,0,0,121,2,10,0,0,0,0,11,1,5,8,3
PARAI,0,0,49,1,5,0,1,0,0,3,0,2,4,0
PARAISO DO SUL,1,0,53,1,1,0,0,0,0,2,0,3,2,1
PARECI NOVO,0,0,33,1,6,0,0,0,0,4,0,0,0,0
PAROBE,7,0,447,48,110,0,19,5,0,81,1,23,39,16
PASSA SETE,2,0,37,1,3,0,0,0,0,3,1,11,0,0
PASSO DO SOBRADO,0,0,97,2,12,0,0,0,0,5,0,4,1,0
PASSO FUNDO,37,0,2426,472,990,3,233,11,0,378,10,198,137,104
PAULO BENTO,0,0,13,2,0,0,0,0,0,1,0,2,1,0
PAVERAMA,0,0,36,3,3,0,2,0,0,5,0,2,0,0
PEDRAS ALTAS,0,0,60,0,0,0,0,0,0,0,0,1,0,0
PEDRO OSORIO,1,0,171,5,18,0,0,0,0,11,0,4,3,0
PEJUCARA,0,0,37,4,2,0,0,0,0,5,0,2,1,0
PELOTAS,48,1,4096,339,2178,1,166,17,0,455,10,174,218,167
PICADA CAFE,0,0,28,2,5,0,1,2,0,2,1,1,6,4
PINHAL,0,0,22,1,2,0,1,0,0,4,0,0,0,1
PINHAL DA SERRA,0,0,26,0,0,0,0,0,0,1,0,6,0,2
PINHAL GRANDE,0,0,33,1,2,0,0,0,0,4,0,1,0,0
PINHEIRINHO DO VALE,1,0,22,1,0,0,0,0,0,1,0,2,0,0
PINHEIRO MACHADO,1,0,188,2,14,0,3,0,0,10,1,10,2,4
PINTO BANDEIRA,0,0,3,0,0,0,0,0,0,0,0,0,0,0
PIRAPO,0,0,35,0,5,0,0,0,0,0,0,10,0,0
PIRATINI,2,0,172,10,3,0,1,1,0,16,1,14,4,3
PLANALTO,3,0,122,2,10,0,0,0,0,9,0,4,1,1
POCO DAS ANTAS,0,0,8,2,0,0,0,0,0,1,0,0,0,0
PONTAO,0,0,42,2,3,0,2,0,0,3,0,3,0,0
PONTE PRETA,0,0,11,0,0,0,1,0,0,0,0,1,0,0
PORTAO,7,0,371,44,81,0,34,0,0,34,1,8,38,14
PORTO ALEGRE,435,2,30920,3324,14607,12,5608,80,2,4873,68,812,771,2717
PORTO LUCENA,0,0,33,0,1,0,0,0,0,0,0,5,0,0
PORTO MAUA,0,0,39,0,0,0,0,0,0,0,1,7,1,1
PORTO VERA CRUZ,0,0,27,1,2,0,0,0,0,0,0,2,1,0
PORTO XAVIER,1,0,96,4,4,0,0,0,0,5,0,20,7,1
POUSO NOVO,0,0,24,1,1,0,0,0,0,2,0,3,0,0
PRESIDENTE LUCENA,0,0,12,0,1,0,0,0,0,2,0,1,1,0
PROGRESSO,0,0,40,0,1,0,0,0,0,4,1,5,1,1
PROTASIO ALVES,1,0,10,0,1,0,0,0,0,1,0,1,0,0
PUTINGA,0,0,52,1,6,0,4,1,0,2,1,6,0,0
QUARAI,5,0,341,24,25,0,0,1,0,42,1,15,9,11
QUATRO IRMAOS,0,0,13,1,1,0,0,0,0,0,0,2,0,0
QUEVEDOS,0,0,30,0,2,0,0,0,0,0,0,2,0,0
QUINZE DE NOVEMBRO,0,0,15,2,1,0,0,0,0,3,0,3,0,0
REDENTORA,0,0,45,6,2,0,0,0,0,5,0,4,0,3
RELVADO,0,0,17,0,0,0,0,0,0,0,0,1,0,0
RESTINGA SECA,0,0,204,1,8,1,1,0,0,16,0,7,5,0
RIO DOS INDIOS,0,0,23,0,0,0,0,0,0,0,0,6,0,0
RIO GRANDE,25,0,2962,155,1169,3,23,32,0,236,5,92,207,257
RIO PARDO,2,0,551,20,52,1,2,1,0,41,1,20,35,15
RIOZINHO,1,0,24,3,5,0,0,0,0,6,0,4,22,0
ROCA SALES,0,0,113,11,11,1,0,1,0,9,0,7,13,3
RODEIO BONITO,2,0,26,0,1,0,0,0,0,4,0,6,1,2
ROLADOR,0,0,11,0,2,0,0,0,0,1,0,0,0,0
ROLANTE,6,0,154,3,39,0,8,1,0,8,0,8,20,2
RONDA ALTA,1,0,82,6,7,0,3,0,0,11,0,6,5,1
RONDINHA,1,0,24,1,1,0,0,0,0,0,0,1,0,0
ROQUE GONZALES,0,0,66,3,1,0,1,0,0,5,0,6,2,1
ROSARIO DO SUL,1,0,843,16,65,0,1,2,0,40,1,41,37,33
SAGRADA FAMILIA,0,0,12,0,0,0,0,0,0,0,0,6,0,0
SALDANHA MARINHO,0,0,10,2,2,0,0,0,0,2,0,1,0,0
SALTO DO JACUI,2,0,170,3,9,0,1,0,0,11,1,3,5,2
SALVADOR DAS MISSOES,0,0,16,1,0,0,0,0,0,1,0,0,0,0
SALVADOR DO SUL,0,0,34,1,4,0,2,0,0,6,0,1,2,0
