Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
ACEGUA,0,0,50,0,0,0,0,0,0,1,0,4,0,0
AGUA SANTA,0,0,45,0,0,0,0,0,0,2,0,2,0,0
AGUDO,1,0,135,5,11,1,0,0,0,16,0,9,2,2
AJURICABA,0,0,53,3,3,0,0,0,0,4,0,5,0,0
ALECRIM,0,0,53,0,2,0,0,0,0,2,0,3,3,2
ALEGRETE,7,0,802,13,97,1,0,0,0,97,4,49,75,48
ALEGRIA,0,0,37,0,0,0,0,0,0,2,0,14,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,15,2,0,0,0,0,0,1,0,3,0,0
ALPESTRE,5,0,62,2,2,0,0,0,0,1,0,13,0,1
ALTO ALEGRE,0,0,6,0,0,0,0,0,0,0,0,2,0,0
ALTO FELIZ,0,0,9,0,0,0,0,0,0,1,0,0,0,0
ALVORADA,120,0,1833,314,1446,2,240,1,0,245,7,151,863,200
AMARAL FERRADOR,1,0,27,2,4,0,0,0,0,3,0,5,0,0
AMETISTA DO SUL,0,0,50,2,4,0,0,0,0,3,0,3,1,0
ANDRE DA ROCHA,0,0,31,0,0,0,0,0,0,0,0,3,0,0
ANTA GORDA,0,0,41,0,1,0,0,0,0,2,0,7,0,0
ANTONIO PRADO,0,0,145,5,12,0,1,2,0,20,0,3,14,4
ARAMBARE,0,0,95,4,3,0,1,0,0,1,0,1,3,3
ARARICA,0,0,35,2,14,0,6,0,0,3,2,1,4,1
ARATIBA,2,0,29,2,0,0,0,0,0,0,0,2,1,0
ARROIO DO MEIO,1,0,187,11,29,1,1,0,0,20,2,7,11,2
ARROIO DO PADRE,0,0,8,0,0,0,0,0,0,1,0,0,0,0
ARROIO DO SAL,0,0,314,18,37,0,2,0,1,12,2,3,20,10
ARROIO DO TIGRE,1,0,82,2,4,0,0,0,0,9,1,18,1,1
ARROIO DOS RATOS,0,0,107,3,13,0,3,0,0,5,1,6,3,18
