Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte,Total de Vitimas de CVLI
JACUIZINHO,0,0,0,5,2,0,0,0,3,2,0,0,0,0,0
JACUTINGA,0,0,0,3,0,0,0,0,5,1,3,1,0,0,0
JAGUARAO,1,1,0,113,12,2,13,0,43,2,23,14,0,0,1
JAGUARI,0,0,0,25,7,0,0,0,6,2,11,4,0,0,0
JAQUIRANA,0,0,0,7,1,0,0,0,8,0,0,0,0,0,0
JARI,0,0,0,15,10,0,0,0,1,2,0,0,0,0,0
JOIA,1,1,0,14,2,0,1,0,9,2,0,0,0,0,1
JULIO DE CASTILHOS,1,1,0,41,0,3,1,0,34,2,3,3,0,0,1
LAGOA BONITA DO SUL,0,0,0,8,3,0,1,0,0,1,0,0,0,0,0
LAGOA DOS TRES CANTOS,0,0,0,2,1,1,0,0,4,0,0,0,0,0,0
LAGOA VERMELHA,1,1,0,129,6,0,5,0,72,7,22,18,0,0,1
LAGOAO,1,1,0,9,3,2,0,0,4,4,1,0,0,0,1
LAJEADO,2,2,0,320,0,49,36,4,271,17,67,40,0,0,2
LAJEADO DO BUGRE,0,0,0,2,1,0,0,0,2,1,1,0,0,0,0
LAVRAS DO SUL,1,1,0,14,6,1,0,0,8,1,0,2,0,0,1
LIBERATO SALZANO,0,0,0,7,2,0,0,0,6,4,1,1,0,0,0
LINDOLFO COLLOR,1,1,0,6,0,0,0,0,14,0,6,5,0,0,1
LINHA NOVA,0,0,0,11,1,0,0,0,4,0,4,1,0,0,0
MACAMBARA,0,0,0,17,7,0,0,0,5,1,0,1,0,0,0
MACHADINHO,0,0,0,19,1,1,0,0,9,3,0,2,0,0,0
MAMPITUBA,1,1,0,4,0,0,0,0,4,0,2,2,0,0,1
MANOEL VIANA,0,0,0,9,3,0,0,0,16,1,3,3,0,0,0
MAQUINE,0,0,0,29,5,3,2,0,10,0,1,2,0,0,0
MARATA,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0
MARAU,0,0,0,133,0,9,2,1,132,4,10,6,0,0,0
MARCELINO RAMOS,0,0,0,8,0,0,0,0,9,1,1,4,0,0,0
MARIANA PIMENTEL,0,0,0,11,1,0,1,0,6,2,0,1,0,0,0
MARIANO MORO,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0
MARQUES DE SOUZA,0,0,0,12,0,1,1,0,4,0,2,0,0,0,0
MATA,0,0,0,23,9,1,0,0,5,2,0,0,0,0,0
MATO CASTELHANO,0,0,0,12,2,0,1,0,1,2,3,0,0,0,0
MATO LEITAO,0,0,0,8,0,0,0,1,4,1,0,0,0,0,0
MATO QUEIMADO,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0
MAXIMILIANO DE ALMEIDA,0,0,0,2,0,0,2,0,5,1,0,1,0,0,0
MINAS DO LEAO,0,0,0,17,2,0,3,1,6,2,5,0,0,0,0
MIRAGUAI,0,0,0,18,5,1,1,0,2,1,2,0,0,0,0
MONTAURI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MONTE ALEGRE DOS CAMPOS,0,0,0,13,3,0,0,0,0,2,0,0,0,0,0
MONTE BELO DO SUL,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0
MONTENEGRO,0,0,1,142,2,12,22,5,155,7,113,51,1,0,1
MORMACO,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0
MORRINHOS DO SUL,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0
MORRO REDONDO,0,0,0,11,1,3,3,0,10,0,1,0,0,0,0
MORRO REUTER,0,0,0,17,1,1,0,0,13,1,0,0,0,0,0
MOSTARDAS,1,1,0,30,4,3,1,0,16,6,6,10,0,0,1
MUCUM,0,0,0,13,0,0,1,0,6,1,6,0,0,0,0
MUITOS CAPOES,0,0,0,6,1,0,1,0,2,0,1,0,0,0,0
MULITERNO,0,0,0,4,0,0,0,0,4,0,1,0,0,0,0
NAO-ME-TOQUE,1,2,0,43,0,2,1,1,62,3,8,7,0,0,2
NICOLAU VERGUEIRO,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
NONOAI,1,1,0,26,4,5,2,1,26,2,10,7,0,0,1
NOVA ALVORADA,0,0,0,12,0,0,5,0,11,0,0,0,0,0,0
NOVA ARACA,0,0,0,2,0,1,0,0,8,1,6,1,0,0,0
NOVA BASSANO,0,0,0,18,0,4,0,1,26,3,4,1,0,0,0
NOVA BOA VISTA,0,0,0,3,1,0,1,0,4,0,0,0,0,0,0
NOVA BRESCIA,0,0,0,4,0,0,0,0,4,0,1,0,0,0,0
NOVA CANDELARIA,1,1,0,3,0,0,0,0,3,1,1,0,0,0,1
NOVA ESPERANCA DO SUL,0,0,0,5,4,0,0,0,5,0,3,4,0,0,1
NOVA HARTZ,1,1,0,44,2,1,1,1,40,4,11,3,0,0,1
NOVA PADUA,0,0,0,9,1,1,0,0,4,1,0,0,0,0,0
NOVA PALMA,1,1,0,13,4,0,0,0,8,0,0,1,0,0,1
NOVA PETROPOLIS,0,0,0,36,0,0,1,0,62,1,11,2,0,0,1
NOVA PRATA,3,3,0,58,1,8,3,0,73,5,10,8,0,0,3
NOVA RAMADA,0,0,0,3,1,1,0,0,3,0,0,0,0,0,0
NOVA ROMA DO SUL,0,0,0,2,0,0,0,0,3,1,3,0,0,0,0
NOVA SANTA RITA,0,0,0,83,4,6,11,2,108,5,18,9,0,0,0
NOVO BARREIRO,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0
NOVO CABRAIS,1,1,0,13,1,1,1,0,2,0,0,0,0,0,1
NOVO HAMBURGO,8,8,0,1076,1,132,308,72,592,41,115,104,0,0,8
NOVO MACHADO,0,0,0,7,0,0,0,0,1,4,0,0,0,0,0
NOVO TIRADENTES,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
NOVO XINGU,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
OSORIO,4,4,0,144,20,23,22,2,166,4,20,43,0,0,4
PAIM FILHO,0,0,0,5,1,1,0,0,6,0,1,0,0,0,0
PALMARES DO SUL,0,0,0,42,11,0,8,0,23,1,7,12,0,0,0
PALMEIRA DAS MISSOES,2,2,0,87,4,10,12,0,52,10,28,7,0,0,2
PALMITINHO,0,0,0,10,1,2,1,0,5,2,1,0,0,0,0
PANAMBI,0,0,0,89,1,17,7,1,89,11,26,11,0,1,1
PANTANO GRANDE,1,1,0,48,0,0,1,0,17,0,6,5,0,0,1
PARAI,0,0,0,7,0,1,0,1,16,0,1,2,0,0,0
PARAISO DO SUL,0,0,0,7,0,1,0,0,6,1,0,2,0,0,0
PARECI NOVO,0,0,0,3,0,0,1,0,7,1,0,0,0,0,0
PAROBE,2,3,0,105,2,12,12,6,130,7,30,22,0,0,3
