Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte,Total de Vitimas de CVLI
TIO HUGO,0,0,0,7,2,0,0,0,3,4,2,0,0,0,0
TIRADENTES DO SUL,0,0,0,10,0,0,2,0,5,2,1,3,0,0,0
TOROPI,0,0,0,4,2,0,0,0,5,0,0,0,0,0,0
TORRES,3,4,0,203,2,13,19,3,187,4,27,41,0,0,4
TRAMANDAI,2,2,0,401,3,28,56,4,207,15,32,93,0,1,3
TRAVESSEIRO,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
TRES ARROIOS,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
TRES CACHOEIRAS,0,0,0,25,1,3,6,0,22,1,4,4,0,0,0
TRES COROAS,0,0,0,89,1,2,3,0,21,5,7,2,0,0,0
TRES DE MAIO,0,0,0,28,1,4,2,0,47,2,12,11,0,0,0
TRES FORQUILHAS,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0
TRES PALMEIRAS,0,0,0,6,0,0,2,0,1,0,0,2,0,0,0
TRES PASSOS,0,0,1,43,3,2,6,0,53,3,10,34,1,0,1
TRINDADE DO SUL,0,0,0,26,5,0,1,0,7,0,14,5,0,0,0
TRIUNFO,1,1,0,96,7,4,6,1,55,6,15,17,0,0,1
TUCUNDUVA,0,0,0,20,0,0,0,0,3,0,0,1,0,0,0
TUNAS,0,0,0,3,0,1,0,0,0,1,2,1,0,0,0
TUPANCI DO SUL,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
TUPANCIRETA,1,1,0,59,7,1,3,0,29,3,7,0,0,0,2
TUPANDI,0,0,0,4,0,0,0,0,10,0,2,0,0,0,0
TUPARENDI,0,0,0,7,0,0,0,0,10,3,3,0,0,0,0
TURUCU,0,0,0,7,2,0,1,0,4,1,9,0,0,0,0
UBIRETAMA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNIAO DA SERRA,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0
UNISTALDA,0,0,0,4,1,0,0,0,5,0,0,0,0,0,0
URUGUAIANA,2,2,0,458,22,13,105,2,185,21,90,87,0,0,4
VACARIA,8,9,0,362,4,10,41,0,140,22,99,39,0,0,9
VALE DO SOL,0,0,0,21,2,2,1,1,9,3,0,0,0,0,0
VALE REAL,0,0,0,4,0,2,0,0,15,0,2,1,0,0,0
VALE VERDE,0,0,0,12,3,0,0,0,4,0,0,0,0,0,0
VANINI,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
VENANCIO AIRES,2,2,0,299,7,18,39,5,139,11,29,18,0,0,2
VERA CRUZ,1,1,0,53,3,8,7,1,47,3,1,2,0,0,1
VERANOPOLIS,0,0,0,76,2,7,1,0,57,7,14,18,0,0,0
VESPASIANO CORREA,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
VIADUTOS,0,0,0,8,0,0,0,0,1,3,1,1,0,0,0
VIAMAO,15,15,0,653,22,76,666,106,552,39,30,159,0,1,16
VICENTE DUTRA,1,1,0,9,2,1,0,0,4,2,2,1,0,0,1
VICTOR GRAEFF,0,0,0,2,0,0,0,0,7,2,1,0,0,0,0
VILA FLORES,0,0,0,9,0,1,1,0,2,0,1,0,0,0,0
VILA LANGARO,0,0,0,4,0,0,0,0,6,0,1,0,0,0,0
VILA MARIA,0,0,0,22,1,1,0,0,10,1,4,0,0,0,0
VILA NOVA DO SUL,0,0,0,13,7,0,1,0,6,0,0,0,0,0,0
VISTA ALEGRE,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
VISTA ALEGRE DO PRATA,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0
VISTA GAUCHA,0,0,0,6,2,2,0,0,7,2,0,0,0,0,0
VITORIA DAS MISSOES,0,0,0,5,2,0,0,0,3,2,0,0,0,0,0
WESTFALIA,0,0,0,2,0,0,0,0,7,0,1,2,0,0,0
XANGRI-LA,1,1,0,128,1,4,16,3,78,2,34,9,0,0,1
