Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
EREBANGO,0,0,43,0,3,0,1,0,0,3,0,5,2,3
ERECHIM,19,0,1293,211,225,2,16,8,0,157,5,130,147,88
ERNESTINA,0,0,50,1,3,0,1,0,0,6,0,4,1,0
ERVAL GRANDE,2,0,33,3,17,2,3,1,0,0,0,6,2,0
ERVAL SECO,1,0,71,3,6,0,0,0,0,5,0,7,0,0
ESMERALDA,0,0,49,0,7,0,2,0,0,0,0,4,0,0
ESPERANCA DO SUL,1,0,13,3,2,0,2,0,0,1,0,3,0,0
ESPUMOSO,2,0,130,20,15,0,4,1,0,13,7,6,9,14
ESTACAO,1,0,55,6,3,0,0,0,0,5,0,2,2,1
ESTANCIA VELHA,5,0,476,77,231,0,101,1,0,41,0,10,85,12
ESTEIO,24,0,1353,206,879,2,150,4,0,106,1,52,104,74
ESTRELA,6,0,517,42,104,0,9,2,0,55,2,18,67,25
ESTRELA VELHA,0,0,16,2,1,0,0,0,0,3,0,2,0,0
EUGENIO DE CASTRO,0,0,38,5,1,0,0,0,0,0,0,0,1,0
FAGUNDES VARELA,0,0,19,4,0,0,0,0,0,2,0,1,0,0
FARROUPILHA,13,0,1105,268,319,2,78,3,0,94,1,28,76,35
FAXINAL DO SOTURNO,0,0,74,1,2,0,0,0,0,2,0,3,2,0
FAXINALZINHO,0,0,21,0,1,0,0,1,0,0,0,5,0,0
FAZENDA VILA NOVA,0,1,89,5,19,0,4,0,0,1,0,7,11,1
FELIZ,0,0,112,9,9,0,4,0,0,9,0,5,29,5
FLORES DA CUNHA,3,1,353,43,105,0,28,1,0,40,0,16,13,5
FLORIANO PEIXOTO,0,0,9,0,0,0,0,0,0,0,0,0,0,0
FONTOURA XAVIER,1,0,135,8,14,2,2,1,0,8,0,15,1,4
FORMIGUEIRO,0,0,79,2,0,0,0,0,0,6,0,12,0,4
FORQUETINHA,0,0,18,0,0,0,1,0,0,0,0,3,1,0
FORTALEZA DOS VALOS,0,0,51,0,2,0,0,0,0,4,0,3,0,0
FREDERICO WESTPHALEN,6,0,360,17,13,0,5,1,0,47,0,26,88,18
GARIBALDI,2,0,440,55,74,1,39,0,0,34,0,6,15,3
GARRUCHOS,0,0,73,2,2,0,0,0,0,1,0,6,0,1
GAURAMA,0,0,66,4,2,0,0,0,0,2,0,0,3,2
GENERAL CAMARA,1,0,121,1,12,0,1,0,0,12,0,5,0,3
GENTIL,0,0,16,2,8,0,5,0,0,0,0,3,0,0
GETULIO VARGAS,2,0,156,19,49,1,5,1,0,28,0,14,19,16
GIRUA,1,0,216,14,6,0,1,0,0,15,0,10,2,4
GLORINHA,3,0,122,7,21,0,6,0,0,16,0,5,1,1
GRAMADO,2,1,563,25,38,0,6,1,0,66,2,8,54,15
GRAMADO DOS LOUREIROS,1,0,14,1,1,0,1,0,0,1,0,1,1,0
GRAMADO XAVIER,0,0,28,0,0,0,0,0,0,3,0,0,1,0
GRAVATAI,91,0,2986,534,3098,5,664,10,0,353,10,164,142,184
GUABIJU,0,0,13,0,0,0,0,0,0,0,0,1,0,0
GUAIBA,42,0,939,75,863,0,73,3,0,68,2,107,139,85
GUAPORE,5,0,240,14,34,0,1,1,0,58,17,16,24,8
GUARANI DAS MISSOES,0,0,101,4,10,0,0,0,0,5,1,4,2,0
HARMONIA,0,0,30,2,2,0,1,0,0,2,0,0,0,1
HERVAL,1,0,107,3,0,0,0,1,0,5,0,3,2,1
HERVEIRAS,0,0,20,3,5,0,0,0,0,0,0,1,0,0
HORIZONTINA,1,0,201,21,9,0,0,0,0,20,0,14,29,7
HULHA NEGRA,1,0,41,1,0,0,0,0,0,1,0,2,1,0
HUMAITA,0,0,23,2,3,0,0,0,0,0,0,0,3,1
IBARAMA,0,0,51,4,0,1,0,0,0,0,0,6,0,0
IBIACA,0,0,67,4,7,0,2,0,0,4,0,4,0,1
IBIRAIARAS,0,0,84,5,2,0,3,0,0,4,0,3,0,0
IBIRAPUITA,1,0,46,4,6,0,2,0,0,2,0,6,2,1
IBIRUBA,2,0,199,17,11,0,2,1,0,37,0,7,5,5
IGREJINHA,1,0,335,28,87,2,23,3,0,40,0,18,74,31
IJUI,3,0,1003,75,111,0,12,1,0,141,0,46,254,51
ILOPOLIS,0,0,15,1,6,1,1,0,0,4,0,3,3,0
IMBE,15,0,772,52,210,1,29,3,0,60,1,21,58,29
IMIGRANTE,0,0,21,1,1,0,0,0,0,0,0,0,0,0
INDEPENDENCIA,0,0,91,3,0,0,0,1,0,4,0,6,1,0
INHACORA,0,0,22,0,0,0,0,0,0,1,0,7,0,0
IPE,1,2,97,2,5,0,1,0,0,3,0,8,3,7
IPIRANGA DO SUL,0,0,25,1,0,0,1,0,0,1,0,5,0,0
IRAI,2,0,71,7,7,0,1,1,0,6,0,5,14,8
ITAARA,0,0,123,1,5,0,1,0,0,4,0,3,2,1
