Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
NAO-ME-TOQUE,3,3,0,135,0,3,12,2,165,16,21,53,0,0
NICOLAU VERGUEIRO,0,0,0,18,5,1,0,0,9,5,6,1,0,0
NONOAI,2,2,0,64,3,7,4,0,41,15,23,12,0,0
NOVA ALVORADA,0,0,0,31,2,1,6,0,48,3,2,0,0,0
NOVA ARACA,1,1,0,22,0,0,2,0,25,0,3,0,0,0
NOVA BASSANO,1,1,0,39,2,3,2,0,54,9,9,8,0,0
NOVA BOA VISTA,0,0,0,5,0,2,0,0,7,1,0,0,0,0
NOVA BRESCIA,0,0,0,14,1,0,1,0,18,1,1,1,0,0
NOVA CANDELARIA,0,0,0,6,1,0,1,0,10,0,0,1,0,0
NOVA ESPERANCA DO SUL,1,1,0,12,4,0,0,0,8,3,4,2,0,0
NOVA HARTZ,0,0,0,119,7,10,12,0,152,11,70,18,0,0
NOVA PADUA,0,0,0,13,0,1,0,0,18,2,0,0,0,0
NOVA PALMA,2,2,0,48,27,0,1,1,25,3,2,0,0,0
NOVA PETROPOLIS,2,2,1,92,1,7,3,0,207,6,57,20,1,0
NOVA PRATA,3,3,0,96,1,10,5,1,200,18,41,44,0,0
NOVA RAMADA,0,0,0,9,1,0,0,0,9,2,0,0,0,0
NOVA ROMA DO SUL,0,0,0,18,1,0,1,0,15,4,4,1,0,0
NOVA SANTA RITA,4,4,0,223,13,24,42,15,224,13,43,23,0,0
NOVO BARREIRO,0,0,0,22,5,1,1,0,4,3,1,0,0,0
NOVO CABRAIS,0,0,0,33,2,1,2,0,16,3,1,2,0,0
NOVO HAMBURGO,25,27,0,3143,8,357,986,232,1736,98,339,394,0,1
NOVO MACHADO,0,0,0,7,1,1,2,0,11,3,1,0,0,0
NOVO TIRADENTES,0,0,0,9,2,0,0,0,1,2,0,0,0,0
NOVO XINGU,0,0,0,7,1,0,0,0,1,0,0,0,0,0
OSORIO,5,5,0,718,23,42,62,14,474,14,117,175,0,0
PAIM FILHO,2,2,0,25,7,3,1,0,20,2,6,1,0,0
PALMARES DO SUL,2,3,0,146,26,5,12,0,76,8,19,20,0,0
PALMEIRA DAS MISSOES,6,6,1,278,9,24,28,2,197,22,61,34,2,0
PALMITINHO,1,1,0,40,7,14,0,0,25,7,6,6,0,0
PANAMBI,0,0,0,289,11,17,20,2,351,21,62,30,0,0
PANTANO GRANDE,0,0,0,105,17,2,5,2,31,14,15,8,0,0
PARAI,1,1,0,33,5,0,0,0,44,3,6,4,0,0
PARAISO DO SUL,0,0,0,32,1,3,2,0,16,4,0,3,0,0
PARECI NOVO,0,0,0,18,0,0,0,0,22,0,4,3,0,0
PAROBE,7,7,0,324,20,65,81,29,303,17,47,50,0,0
