Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
ACEGUA,1,1,0,30,17,0,0,0,27,2,1,0,0,0
AGUA SANTA,2,2,0,24,5,1,2,0,13,9,1,0,0,0
AGUDO,2,2,0,99,7,5,6,1,63,2,6,14,0,0
AJURICABA,0,0,0,23,4,0,0,0,22,4,4,1,0,0
ALECRIM,1,1,0,39,14,0,0,0,19,10,1,0,0,0
ALEGRETE,12,13,0,781,78,14,89,3,510,39,52,88,0,0
ALEGRIA,0,0,0,22,4,1,0,0,5,3,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,13,3,1,0,1,11,2,2,0,0,0
ALPESTRE,2,2,0,35,13,1,1,0,13,5,3,1,0,0
ALTO ALEGRE,0,0,0,2,0,0,0,0,6,1,0,0,0,0
ALTO FELIZ,0,0,0,15,0,3,1,0,20,0,2,1,0,0
ALVORADA,68,70,0,1520,24,257,2045,340,1490,94,129,577,0,3
AMARAL FERRADOR,4,5,0,37,8,2,3,0,22,3,1,0,0,0
AMETISTA DO SUL,1,1,0,46,8,3,1,0,27,5,43,12,0,0
ANDRE DA ROCHA,0,0,0,10,1,0,0,0,5,4,4,0,0,0
ANTA GORDA,0,0,0,42,5,2,1,0,23,3,5,2,0,0
ANTONIO PRADO,3,3,0,55,7,7,2,0,98,7,26,21,0,0
ARAMBARE,0,0,0,83,3,1,2,0,16,2,17,4,0,0
ARARICA,1,1,0,69,6,3,7,9,41,4,18,9,0,0
ARATIBA,0,0,0,17,1,1,1,0,21,3,5,0,0,0
ARROIO DO MEIO,1,1,0,152,0,10,14,1,142,8,25,15,0,0
ARROIO DO PADRE,0,0,0,0,0,1,0,1,7,0,0,0,0,0
ARROIO DO SAL,1,1,0,332,11,13,14,0,144,9,36,26,0,0
ARROIO DO TIGRE,0,0,0,121,9,9,9,1,66,6,0,14,0,0
ARROIO DOS RATOS,0,0,0,100,7,2,8,1,59,6,10,37,0,0
ARROIO GRANDE,0,0,0,157,40,2,10,0,82,10,24,45,0,0
ARVOREZINHA,4,4,1,50,4,5,3,0,30,6,4,7,1,0
AUGUSTO PESTANA,0,0,0,21,4,0,3,0,26,2,0,2,0,0
AUREA,0,0,0,10,3,0,0,1,26,1,0,2,0,0
BAGE,13,14,1,1065,104,27,182,3,988,44,177,191,1,0
BALNEARIO PINHAL,6,7,0,270,6,8,38,2,132,6,39,46,0,0
BARAO,0,0,0,17,2,0,1,0,49,3,7,3,0,0
BARAO DE COTEGIPE,1,1,0,30,2,2,1,0,48,6,7,8,0,0
BARAO DO TRIUNFO,0,0,0,19,6,2,3,0,22,5,0,0,0,0
BARRA DO GUARITA,1,1,0,26,10,3,3,0,6,3,2,1,0,0
BARRA DO QUARAI,0,0,0,69,20,0,1,0,5,2,5,2,0,0
BARRA DO RIBEIRO,3,3,0,96,15,4,6,0,68,8,42,33,0,0
BARRA DO RIO AZUL,0,0,0,6,3,0,0,0,5,3,0,0,0,0
BARRA FUNDA,0,0,0,9,2,0,0,1,12,1,0,0,0,0
BARRACAO,0,0,0,49,13,0,2,0,25,8,11,4,0,0
BARROS CASSAL,1,1,1,100,41,4,5,0,19,13,4,2,1,0
BENJAMIN CONSTANT DO SUL,0,0,0,9,1,2,3,0,2,1,0,0,0,0
BENTO GONCALVES,30,34,1,857,7,146,193,11,1259,102,156,130,1,1
BOA VISTA DAS MISSOES,0,0,0,13,1,1,1,0,12,2,1,1,0,0
BOA VISTA DO BURICA,0,0,0,16,2,1,1,0,16,1,8,3,0,0
BOA VISTA DO CADEADO,0,0,0,24,11,0,0,0,17,2,0,0,0,0
BOA VISTA DO INCRA,0,0,0,14,4,1,0,0,14,0,0,0,0,0
BOA VISTA DO SUL,0,0,0,14,1,1,0,0,8,0,0,0,0,0
BOM JESUS,1,1,0,154,37,4,9,1,63,5,28,12,0,1
BOM PRINCIPIO,1,1,0,89,4,13,5,5,120,7,96,38,0,0
BOM PROGRESSO,0,0,0,14,2,1,0,0,9,1,1,0,0,0
BOM RETIRO DO SUL,0,0,1,77,6,2,11,0,84,11,20,15,1,0
BOQUEIRAO DO LEAO,0,0,0,53,5,6,1,1,19,1,0,0,0,0
BOSSOROCA,0,0,0,49,24,0,1,0,9,4,15,5,0,0
BOZANO,0,0,0,14,2,0,0,0,7,1,0,3,0,0
BRAGA,0,0,0,20,6,0,0,0,16,4,5,2,0,0
BROCHIER,0,0,0,13,0,2,3,0,30,2,0,0,0,0
BUTIA,5,4,0,212,19,7,18,2,157,21,33,26,0,0
CACAPAVA DO SUL,2,2,0,261,40,9,23,1,266,18,63,55,0,0
CACEQUI,1,1,0,129,46,4,12,0,46,14,13,4,0,0
CACHOEIRA DO SUL,1,1,0,691,51,39,76,1,378,41,107,247,0,0
CACHOEIRINHA,16,16,0,1277,7,100,811,89,1335,30,298,204,0,0
CACIQUE DOBLE,2,2,0,32,3,0,0,0,13,6,1,0,0,0
CAIBATE,0,0,0,15,1,2,0,0,22,3,1,2,0,0
CAICARA,1,1,0,18,3,4,0,0,15,1,2,0,0,0
CAMAQUA,16,16,0,746,29,30,50,14,386,39,86,90,0,0
CAMARGO,0,0,0,11,2,0,0,0,9,3,5,1,0,0
CAMBARA DO SUL,0,0,0,43,9,1,1,0,43,7,1,2,0,0
CAMPESTRE DA SERRA,0,0,0,41,9,1,1,0,11,6,5,0,0,0
CAMPINA DAS MISSOES,0,0,0,19,3,0,1,0,18,3,5,1,0,0
CAMPINAS DO SUL,0,0,0,50,1,0,0,0,23,2,29,2,0,0
CAMPO BOM,7,8,0,726,2,80,153,31,558,9,40,23,0,0
CAMPO NOVO,1,1,0,46,3,2,5,0,33,4,23,6,0,0
CAMPOS BORGES,0,0,0,16,2,0,1,0,11,8,5,2,0,0
CANDELARIA,9,9,1,294,32,9,29,2,129,28,18,13,1,0
CANDIDO GODOI,0,0,0,8,0,1,0,0,31,4,3,0,0,0
CANDIOTA,1,1,0,96,36,2,7,0,48,3,2,3,0,0
CANELA,10,11,0,477,4,20,38,2,374,40,87,98,0,1
CANGUCU,2,2,0,264,61,18,23,3,204,29,12,25,0,0
CANOAS,52,54,2,3736,9,474,2397,254,3935,124,373,749,2,0
CANUDOS DO VALE,0,0,0,26,7,0,1,0,6,0,0,0,0,0
CAPAO BONITO DO SUL,0,0,0,30,15,1,0,0,4,3,0,1,0,0
CAPAO DA CANOA,5,6,0,1022,11,69,128,20,701,22,77,113,0,1
CAPAO DO CIPO,0,0,0,17,5,0,3,0,9,2,0,0,0,0
CAPAO DO LEAO,1,1,0,128,13,10,29,9,53,15,0,6,0,0
CAPELA DE SANTANA,2,2,0,65,8,3,7,0,56,1,9,14,0,0
CAPITAO,0,0,0,13,3,1,0,0,7,0,3,4,0,0
CAPIVARI DO SUL,0,0,0,47,23,0,4,0,30,11,23,2,0,0
CARAA,0,0,0,34,4,1,1,0,24,3,1,2,0,0
CARAZINHO,7,8,2,745,15,64,90,6,514,41,32,88,2,0
CARLOS BARBOSA,1,1,0,109,8,6,5,3,344,6,50,25,0,1
CARLOS GOMES,0,0,0,4,1,0,0,0,7,0,0,0,0,0
CASCA,1,1,0,46,0,2,2,2,157,4,26,10,0,0
CASEIROS,1,1,0,21,4,0,3,0,16,5,1,0,0,0
CATUIPE,0,0,0,71,18,2,3,0,24,5,14,7,0,0
CAXIAS DO SUL,79,89,2,4360,39,764,1161,267,5560,252,198,536,2,1
CENTENARIO,0,0,0,13,4,0,0,0,10,0,1,0,0,0
CERRITO,0,0,0,32,10,1,7,0,21,3,4,0,0,0
CERRO BRANCO,0,0,0,13,0,1,2,0,9,4,0,0,0,0
CERRO GRANDE,0,0,0,23,14,1,0,0,3,4,1,0,0,0
CERRO GRANDE DO SUL,1,1,0,60,8,3,7,2,17,11,4,5,0,0
CERRO LARGO,1,1,0,64,1,3,5,0,66,5,27,22,0,0
CHAPADA,0,0,0,33,2,1,5,0,46,3,2,0,0,0
CHARQUEADAS,1,1,0,141,1,6,9,1,170,13,173,328,0,0
CHARRUA,0,0,0,5,0,1,0,0,6,0,0,1,0,0
CHIAPETTA,0,0,0,32,0,1,2,0,21,0,1,2,0,0
CHUI,1,1,0,146,17,1,11,0,41,6,24,2,0,0
CHUVISCA,0,0,0,52,9,0,0,0,7,1,0,0,0,0
CIDREIRA,4,4,1,416,11,17,46,3,184,11,83,63,1,1
CIRIACO,0,0,0,47,23,2,2,0,12,5,4,3,0,0
COLINAS,0,0,0,10,0,0,0,0,10,1,1,0,0,0
COLORADO,0,0,0,17,2,1,0,1,11,4,1,0,0,0
CONDOR,1,1,0,56,12,4,0,1,33,7,3,4,0,0
CONSTANTINA,0,0,0,50,4,1,7,0,41,11,11,5,0,0
COQUEIRO BAIXO,0,0,0,6,2,0,0,0,5,0,0,0,0,0
COQUEIROS DO SUL,2,2,0,15,5,2,0,0,11,1,0,0,0,0
CORONEL BARROS,0,0,0,13,2,0,0,0,10,2,1,0,0,0
CORONEL BICACO,0,0,0,67,3,2,6,2,11,2,4,3,0,0
CORONEL PILAR,0,0,0,14,1,0,0,0,0,0,1,0,0,0
COTIPORA,2,2,0,42,3,1,0,3,33,2,1,3,0,0
COXILHA,0,0,0,20,4,0,0,0,16,8,9,2,0,0
CRISSIUMAL,0,0,0,72,3,1,1,0,36,11,9,1,0,0
CRISTAL,2,3,0,65,4,2,2,0,16,9,9,10,0,0
CRISTAL DO SUL,0,0,0,10,4,4,0,0,5,1,8,2,0,0
CRUZ ALTA,28,30,0,810,32,26,93,9,443,64,50,124,0,0
CRUZALTENSE,0,0,0,7,0,0,2,0,1,1,0,2,0,0
CRUZEIRO DO SUL,4,6,0,59,2,5,9,4,42,4,21,3,0,0
DAVID CANABARRO,0,0,0,11,2,0,0,0,20,1,3,0,0,0
DERRUBADAS,1,1,0,12,3,0,0,0,5,5,1,0,0,0
DEZESSEIS DE NOVEMBRO,0,0,0,14,8,0,0,0,1,3,0,0,0,0
DILERMANDO DE AGUIAR,0,0,0,27,14,1,1,0,5,3,1,1,0,0
DOIS IRMAOS,1,1,0,193,1,37,19,2,194,5,28,25,0,0
DOIS IRMAOS DAS MISSOES,0,0,0,7,1,0,0,0,6,1,0,0,0,0
DOIS LAJEADOS,0,0,0,14,2,2,1,2,16,1,0,0,0,0
DOM FELICIANO,1,1,0,105,19,3,4,1,46,10,4,1,0,0
DOM PEDRITO,0,0,0,382,82,5,26,0,191,19,41,41,0,0
DOM PEDRO DE ALCANTARA,0,0,0,15,3,1,0,0,6,3,1,2,0,0
DONA FRANCISCA,0,0,0,18,2,1,0,0,29,5,0,2,0,0
DOUTOR RICARDO,0,0,0,6,0,0,0,0,5,3,0,0,0,0
DR MAURICIO CARDOSO,1,1,0,28,5,0,0,0,11,2,5,0,0,0
ELDORADO DO SUL,9,10,0,401,20,15,108,13,412,40,234,90,0,1
ENCANTADO,5,5,0,261,2,10,11,1,159,2,42,18,0,0
ENCRUZILHADA DO SUL,5,5,0,294,41,19,47,2,159,51,21,14,0,0
ENGENHO VELHO,0,0,0,9,0,1,0,0,5,2,1,0,0,0
ENTRE IJUIS,0,0,0,56,12,3,6,0,23,7,7,3,0,0
ENTRE RIOS DO SUL,1,1,0,24,4,1,0,0,9,4,2,2,0,0
EREBANGO,1,1,0,29,0,2,0,0,10,1,7,3,0,0
ERECHIM,28,31,0,661,2,52,69,3,904,146,216,212,0,0
ERNESTINA,1,1,0,45,17,0,1,1,24,6,12,2,0,0
ERVAL GRANDE,0,0,0,47,9,0,1,0,27,11,6,8,0,0
ERVAL SECO,0,0,0,46,18,7,1,0,21,18,3,2,0,0
ESMERALDA,2,2,0,64,11,0,4,0,26,5,5,5,0,0
ESPERANCA DO SUL,0,0,0,3,0,5,0,0,9,4,0,2,0,0
ESPUMOSO,2,2,0,84,24,5,4,1,75,16,6,35,0,0
ESTACAO,0,0,0,17,4,0,2,0,29,0,9,6,0,0
ESTANCIA VELHA,0,0,0,367,2,63,77,22,29,10,65,23,0,0
ESTEIO,6,6,0,1045,2,66,380,44,796,22,14,94,0,0
ESTRELA,5,5,0,258,6,13,42,4,229,8,144,50,0,0
ESTRELA VELHA,0,0,0,18,0,1,0,0,14,4,0,0,0,0
EUGENIO DE CASTRO,0,0,0,14,2,0,0,0,5,2,4,1,0,0
FAGUNDES VARELA,0,0,0,7,2,1,0,0,11,1,1,0,0,0
FARROUPILHA,8,8,2,612,10,94,120,42,825,54,151,81,2,0
FAXINAL DO SOTURNO,1,1,0,55,5,0,4,0,42,7,1,11,0,0
FAXINALZINHO,0,0,0,20,8,3,0,0,9,3,2,0,0,1
FAZENDA VILA NOVA,1,1,0,40,4,1,2,6,14,3,14,9,0,0
FELIZ,1,1,0,74,1,8,1,1,118,1,28,3,0,0
FLORES DA CUNHA,5,5,0,199,9,21,21,5,284,16,26,22,0,0
FLORIANO PEIXOTO,0,0,0,5,0,0,1,0,4,0,0,0,0,0
FONTOURA XAVIER,5,5,0,70,16,6,0,0,45,7,8,2,0,0
FORMIGUEIRO,0,0,0,75,26,0,1,0,69,11,1,2,0,0
FORQUETINHA,0,0,0,8,0,0,0,0,3,1,4,0,0,0
FORTALEZA DOS VALOS,0,0,0,28,2,1,1,0,27,3,1,1,0,0
FREDERICO WESTPHALEN,4,4,0,154,12,27,18,0,230,14,155,52,0,1
GARIBALDI,7,8,0,222,3,17,10,13,222,14,58,37,0,0
GARRUCHOS,0,0,0,35,20,0,1,0,10,1,0,0,0,0
GAURAMA,1,1,0,32,0,2,1,1,25,2,3,0,0,0
GENERAL CAMARA,1,1,0,100,23,1,5,0,41,3,9,3,0,0
GENTIL,0,0,0,15,5,0,0,1,12,0,4,0,0,0
GETULIO VARGAS,1,1,0,57,1,1,11,0,100,6,42,51,0,0
GIRUA,1,1,0,130,10,3,5,0,46,12,22,16,0,0
GLORINHA,1,1,0,68,14,4,2,1,45,7,8,11,0,0
GRAMADO,2,2,0,359,2,20,26,0,575,15,101,95,0,0
GRAMADO DOS LOUREIROS,0,0,0,8,0,0,0,0,5,2,0,0,0,0
GRAMADO XAVIER,0,0,0,14,0,0,1,0,13,1,1,1,0,0
GRAVATAI,32,33,1,2138,34,213,1365,177,2517,91,186,343,1,0
