Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CERRO LARGO,0,98,6,3,0,0,20,6,13,8
CHAPADA,1,34,4,2,0,0,22,3,1,0
CHARQUEADAS,5,211,6,30,0,0,30,18,157,127
CHARRUA,0,15,0,2,0,0,1,5,0,0
CHIAPETTA,0,27,0,1,0,0,8,3,0,2
CHUI,1,133,2,15,0,0,11,3,7,3
CHUVISCA,0,39,1,0,0,0,1,1,0,0
CIDREIRA,6,385,6,39,0,5,43,7,37,23
CIRIACO,0,67,2,4,0,2,3,3,2,0
COLINAS,0,19,0,2,0,0,1,0,0,0
COLORADO,0,19,1,4,0,0,5,4,1,0
CONDOR,0,60,2,3,0,1,16,4,2,0
CONSTANTINA,0,54,5,3,0,0,14,8,7,2
COQUEIRO BAIXO,0,7,0,0,0,0,2,0,0,0
COQUEIROS DO SUL,0,17,0,0,0,0,1,1,0,0
CORONEL BARROS,0,25,0,0,0,0,2,1,0,1
CORONEL BICACO,2,76,5,7,0,0,3,6,1,7
CORONEL PILAR,0,12,1,0,0,0,0,0,0,0
COTIPORA,1,34,0,2,0,1,5,4,1,0
COXILHA,0,17,0,3,0,1,4,9,5,0
CRISSIUMAL,0,66,5,4,0,0,10,12,5,2
CRISTAL,0,63,1,7,0,1,10,4,1,2
CRISTAL DO SUL,0,7,0,0,0,0,0,1,3,1
CRUZ ALTA,16,936,62,179,1,15,150,56,45,27
CRUZALTENSE,0,4,0,0,0,0,0,2,0,0
CRUZEIRO DO SUL,1,92,9,12,0,3,22,8,2,5
DAVID CANABARRO,0,24,1,1,0,1,9,3,3,0
DERRUBADAS,0,27,0,1,0,0,0,5,0,0
DEZESSEIS DE NOVEMBRO,0,15,0,2,0,0,0,2,0,0
DILERMANDO DE AGUIAR,0,45,0,2,0,0,1,2,1,0
DOIS IRMAOS,1,141,31,31,0,9,47,6,29,6
DOIS IRMAOS DAS MISSOES,0,14,1,1,0,0,1,1,0,0
DOIS LAJEADOS,0,24,2,2,0,1,3,2,1,0
DOM FELICIANO,1,87,3,4,0,1,11,8,0,0
DOM PEDRITO,3,360,11,22,1,1,58,26,32,28
DOM PEDRO DE ALCANTARA,0,13,2,4,0,0,2,0,0,0
DONA FRANCISCA,1,35,0,0,0,0,5,3,0,0
DOUTOR RICARDO,0,14,1,1,0,0,1,0,0,0
DR MAURICIO CARDOSO,0,24,1,0,0,0,5,1,1,1
ELDORADO DO SUL,7,377,19,165,0,23,98,30,85,47
ENCANTADO,3,240,16,20,0,0,51,5,28,12
ENCRUZILHADA DO SUL,2,276,21,24,0,3,47,17,3,2
ENGENHO VELHO,0,7,1,0,0,0,0,5,0,0
ENTRE IJUIS,2,65,1,4,0,0,8,9,8,0
ENTRE RIOS DO SUL,1,29,4,4,0,1,2,3,1,0
EREBANGO,0,26,2,1,0,0,1,3,4,0
ERECHIM,20,979,127,145,1,9,275,139,205,125
ERNESTINA,0,43,3,3,0,2,7,4,4,0
ERVAL GRANDE,0,19,3,2,0,3,3,4,1,1
ERVAL SECO,1,47,3,3,0,0,2,6,1,0
ESMERALDA,0,40,1,1,0,1,3,7,5,0
ESPERANCA DO SUL,0,9,3,0,0,0,3,4,0,1
ESPUMOSO,0,98,3,13,1,3,23,10,18,12
ESTACAO,0,25,5,3,0,0,5,1,7,2
ESTANCIA VELHA,2,318,70,143,0,50,93,6,53,16
ESTEIO,13,1293,129,586,1,90,213,38,132,57
ESTRELA,3,397,31,63,0,6,80,18,57,34
ESTRELA VELHA,0,12,1,0,0,0,2,0,0,0
EUGENIO DE CASTRO,0,18,0,0,0,0,3,2,0,0
FAGUNDES VARELA,0,12,3,1,0,0,0,1,0,0
FARROUPILHA,8,668,117,172,1,77,217,47,90,45
FAXINAL DO SOTURNO,0,57,2,3,0,0,10,3,0,1
FAXINALZINHO,0,17,2,0,0,0,2,1,1,0
FAZENDA VILA NOVA,1,47,3,9,0,2,4,2,13,0
FELIZ,0,79,3,12,0,5,21,0,24,5
FLORES DA CUNHA,2,208,21,46,0,9,80,13,6,7
FLORIANO PEIXOTO,0,7,0,0,0,0,1,0,0,0
FONTOURA XAVIER,0,99,12,6,0,1,10,13,4,2
FORMIGUEIRO,0,55,0,1,0,0,15,7,1,1
FORQUETINHA,0,6,0,0,0,0,2,0,4,0
FORTALEZA DOS VALOS,0,26,1,1,0,0,6,0,0,0
FREDERICO WESTPHALEN,3,256,12,17,0,1,66,17,101,19
GARIBALDI,4,256,34,38,0,25,52,9,16,13
GARRUCHOS,0,49,0,1,0,0,3,3,0,1
GAURAMA,1,59,4,0,0,2,8,1,2,0
GENERAL CAMARA,0,90,2,4,0,0,11,0,5,3
GENTIL,0,17,1,4,0,1,2,2,1,0
GETULIO VARGAS,0,123,4,13,0,2,18,10,18,19
GIRUA,1,182,7,8,0,2,24,9,5,8
GLORINHA,1,76,3,10,0,0,13,1,4,5
GRAMADO,1,577,17,28,0,2,133,6,51,29
GRAMADO DOS LOUREIROS,0,9,0,0,0,2,1,4,0,0
GRAMADO XAVIER,0,19,1,1,0,0,1,1,0,0
GRAVATAI,52,2154,520,1748,4,374,725,112,361,176
GUABIJU,0,9,1,2,0,0,5,0,0,0
GUAIBA,16,734,36,463,1,31,137,67,231,113
GUAPORE,2,172,17,16,0,4,78,13,43,32
GUARANI DAS MISSOES,1,82,3,11,0,0,15,3,1,1
HARMONIA,0,15,1,3,0,0,6,0,3,0
HERVAL,1,87,0,1,0,0,15,3,6,2
HERVEIRAS,0,6,0,1,0,0,1,0,0,0
HORIZONTINA,2,154,7,9,0,0,29,7,44,18
HULHA NEGRA,0,29,0,2,0,0,2,3,0,1
HUMAITA,1,21,0,0,0,0,0,0,2,2
IBARAMA,0,37,0,4,0,0,0,3,1,0
IBIACA,0,26,0,2,0,0,5,3,0,1
IBIRAIARAS,0,59,3,3,0,0,12,4,1,1
IBIRAPUITA,0,16,1,0,0,2,2,4,2,1
IBIRUBA,1,167,17,23,0,1,39,4,9,11
IGREJINHA,1,296,17,62,0,7,77,9,39,19
IJUI,5,931,69,100,0,9,192,57,88,66
ILOPOLIS,0,30,2,1,0,0,3,2,2,2
IMBE,3,518,22,79,1,12,58,9,10,14
IMIGRANTE,1,14,0,1,0,0,2,1,3,0
INDEPENDENCIA,0,52,4,0,0,0,8,2,1,0
INHACORA,0,15,1,0,0,0,1,1,0,1
IPE,1,59,4,9,0,0,15,0,5,2
IPIRANGA DO SUL,0,9,1,1,0,0,1,0,0,0
IRAI,2,89,2,7,0,1,10,9,14,6
ITAARA,0,70,0,2,0,1,8,3,2,2
ITACURUBI,0,28,0,1,0,0,1,1,1,0
ITAPUCA,0,29,0,2,0,0,0,4,0,0
ITAQUI,3,368,8,73,0,0,45,23,32,67
ITATI,0,8,3,0,0,0,2,1,1,0
ITATIBA DO SUL,0,16,2,0,0,0,0,2,0,0
IVORA,0,14,0,1,0,0,1,1,0,0
IVOTI,0,115,9,15,0,5,56,1,35,4
JABOTICABA,0,26,1,2,0,0,3,1,0,0
JACUIZINHO,1,12,0,0,0,0,1,0,0,0
JACUTINGA,0,10,1,1,0,0,4,1,0,0
JAGUARAO,0,374,31,39,0,1,42,8,12,12
JAGUARI,1,77,1,7,0,0,12,12,1,2
JAQUIRANA,1,32,0,2,0,0,5,3,0,5
JARI,0,22,1,0,0,0,3,1,0,0
JOIA,0,37,1,2,0,0,4,1,2,2
JULIO DE CASTILHOS,3,278,9,27,0,2,28,14,19,11
LAGOA BONITA DO SUL,0,17,1,1,0,0,2,1,0,0
