Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CERRO LARGO,0,66,4,0,0,0,17,0,6,6
CHAPADA,0,35,0,0,0,0,15,2,1,1
CHARQUEADAS,2,162,10,20,0,0,38,20,100,104
CHARRUA,0,8,0,0,0,1,1,2,0,0
CHIAPETTA,0,27,1,0,0,0,4,1,0,0
CHUI,2,107,2,18,0,0,13,0,9,1
CHUVISCA,0,25,2,3,0,0,4,0,0,0
CIDREIRA,4,361,11,68,0,9,41,8,26,20
CIRIACO,1,36,2,2,0,1,3,5,1,1
COLINAS,0,9,1,0,0,0,2,0,2,0
COLORADO,0,23,1,0,0,0,5,3,0,0
CONDOR,0,48,3,2,0,0,12,6,0,0
CONSTANTINA,1,36,2,6,0,0,11,5,1,0
COQUEIRO BAIXO,0,3,0,2,0,0,0,0,0,0
COQUEIROS DO SUL,0,8,0,0,0,0,2,1,0,0
CORONEL BARROS,0,17,0,0,0,0,5,0,1,0
CORONEL BICACO,0,63,6,4,0,1,4,4,6,1
CORONEL PILAR,0,7,0,0,0,1,1,0,0,0
COTIPORA,0,25,3,0,0,2,4,4,0,0
COXILHA,0,31,2,3,0,2,0,3,3,0
CRISSIUMAL,0,75,4,3,0,0,10,6,6,3
CRISTAL,1,63,2,7,0,2,3,2,6,4
CRISTAL DO SUL,0,8,0,1,0,0,1,2,0,0
CRUZ ALTA,9,700,45,135,0,7,141,51,34,45
CRUZALTENSE,0,8,1,0,0,0,0,3,0,0
CRUZEIRO DO SUL,1,70,8,16,0,2,14,3,7,2
DAVID CANABARRO,0,25,0,1,0,1,5,2,0,0
DERRUBADAS,1,10,1,1,0,0,2,3,0,1
DEZESSEIS DE NOVEMBRO,0,17,0,0,0,0,0,4,1,1
DILERMANDO DE AGUIAR,0,41,0,2,0,0,1,1,1,0
DOIS IRMAOS,0,133,33,29,0,9,54,2,20,4
DOIS IRMAOS DAS MISSOES,0,10,0,0,0,0,0,1,0,0
DOIS LAJEADOS,0,17,2,0,0,1,1,1,0,0
DOM FELICIANO,1,62,4,6,0,0,9,6,1,1
DOM PEDRITO,2,311,15,24,1,1,68,21,18,24
DOM PEDRO DE ALCANTARA,1,11,1,0,0,0,1,0,0,2
DONA FRANCISCA,0,27,1,1,0,0,6,3,0,1
DOUTOR RICARDO,1,5,1,0,0,0,0,1,0,0
DR MAURICIO CARDOSO,0,18,1,0,0,0,1,1,0,1
ELDORADO DO SUL,8,294,25,124,0,19,110,19,54,49
ENCANTADO,4,186,11,11,0,0,37,11,25,12
ENCRUZILHADA DO SUL,1,238,11,34,1,6,27,14,9,11
ENGENHO VELHO,0,7,0,0,0,0,1,1,0,0
ENTRE IJUIS,0,51,1,5,0,0,8,7,3,0
ENTRE RIOS DO SUL,0,34,1,3,0,0,5,1,2,1
EREBANGO,1,29,2,2,0,1,1,3,2,2
ERECHIM,14,891,121,134,0,7,249,124,123,78
ERNESTINA,0,35,2,1,0,1,2,4,7,1
ERVAL GRANDE,0,25,0,1,0,0,5,5,1,1
ERVAL SECO,0,54,4,2,0,0,5,4,0,1
ESMERALDA,0,52,1,1,0,0,4,2,0,5
ESPERANCA DO SUL,1,8,1,0,0,0,3,2,0,0
ESPUMOSO,1,62,8,7,0,0,23,8,13,17
ESTACAO,0,30,0,5,0,1,10,2,5,1
ESTANCIA VELHA,2,339,51,122,0,48,51,10,50,11
ESTEIO,12,1037,97,468,0,65,205,29,136,71
ESTRELA,4,280,22,38,0,7,64,8,79,15
ESTRELA VELHA,0,12,0,1,0,0,1,4,0,0
EUGENIO DE CASTRO,0,18,1,2,0,0,1,1,1,0
FAGUNDES VARELA,0,11,0,0,0,0,2,0,1,0
FARROUPILHA,7,583,100,115,0,42,164,18,57,36
FAXINAL DO SOTURNO,1,45,1,2,0,0,4,1,2,2
FAXINALZINHO,0,11,2,1,0,0,3,2,0,0
FAZENDA VILA NOVA,0,43,2,8,0,4,2,0,13,4
FELIZ,2,72,4,6,0,2,27,3,26,6
FLORES DA CUNHA,2,192,31,54,0,22,69,7,11,6
FLORIANO PEIXOTO,0,7,0,0,0,0,1,1,0,0
FONTOURA XAVIER,0,105,7,7,3,1,3,9,1,2
FORMIGUEIRO,0,56,2,5,0,1,8,10,2,1
FORQUETINHA,0,13,0,2,0,0,3,3,1,0
FORTALEZA DOS VALOS,0,29,2,6,0,0,2,6,0,0
FREDERICO WESTPHALEN,4,237,9,20,0,2,58,8,78,17
GARIBALDI,0,212,38,39,0,10,49,3,18,7
GARRUCHOS,0,41,0,0,0,0,1,2,0,0
GAURAMA,0,50,0,0,0,0,5,1,2,0
GENERAL CAMARA,0,72,1,4,0,0,7,5,6,3
GENTIL,1,15,0,2,0,0,2,1,0,0
GETULIO VARGAS,2,101,6,15,0,3,31,13,17,13
GIRUA,0,122,5,7,0,0,20,10,6,7
GLORINHA,0,67,2,10,0,4,16,6,4,4
GRAMADO,1,373,17,21,2,2,130,14,46,26
GRAMADO DOS LOUREIROS,0,6,0,0,0,1,2,1,0,0
GRAMADO XAVIER,0,17,1,0,0,0,3,1,1,0
GRAVATAI,52,1900,381,1313,2,291,646,124,178,191
GUABIJU,0,2,1,0,0,0,1,1,0,0
GUAIBA,14,666,59,352,0,31,169,50,239,79
GUAPORE,2,196,22,14,0,3,58,9,41,21
GUARANI DAS MISSOES,0,83,1,4,0,0,3,1,1,0
HARMONIA,0,16,1,0,0,0,2,1,1,1
HERVAL,0,68,2,0,0,1,7,6,2,2
HERVEIRAS,0,16,1,0,0,0,1,0,0,0
HORIZONTINA,0,140,0,4,0,0,23,6,29,5
HULHA NEGRA,1,21,2,0,0,0,6,3,0,1
HUMAITA,0,24,2,0,0,0,5,2,3,1
IBARAMA,0,22,3,3,0,1,2,4,1,0
IBIACA,0,23,1,6,0,0,5,3,0,0
IBIRAIARAS,1,28,3,2,0,1,12,5,0,0
IBIRAPUITA,0,18,1,6,0,0,3,6,2,3
IBIRUBA,0,120,3,10,0,1,71,5,6,7
IGREJINHA,1,270,20,32,0,3,68,14,37,30
IJUI,4,712,47,67,0,5,162,30,84,67
ILOPOLIS,0,18,1,0,0,0,4,8,2,1
IMBE,7,595,21,61,0,7,76,12,26,20
IMIGRANTE,0,11,1,0,0,0,5,1,1,0
INDEPENDENCIA,0,45,0,1,0,0,2,1,0,1
INHACORA,0,14,0,3,0,0,1,0,1,0
IPE,1,53,1,6,0,0,11,2,2,2
IPIRANGA DO SUL,1,2,0,0,0,0,0,0,0,0
IRAI,0,57,1,7,0,0,12,7,11,6
ITAARA,1,43,0,2,0,1,4,5,1,0
ITACURUBI,0,32,0,0,0,0,1,1,1,0
ITAPUCA,1,17,0,0,0,0,1,3,1,0
ITAQUI,4,321,9,47,0,1,44,14,28,41
ITATI,1,19,0,0,0,0,4,5,0,0
ITATIBA DO SUL,0,15,1,0,0,0,0,5,1,0
IVORA,0,15,0,0,0,0,3,1,0,0
IVOTI,1,104,15,8,0,4,49,1,28,6
JABOTICABA,0,13,1,0,0,0,7,4,0,0
JACUIZINHO,0,7,0,0,0,0,1,1,0,0
JACUTINGA,0,19,2,1,0,0,6,5,4,1
JAGUARAO,2,347,14,15,0,1,42,4,21,27
JAGUARI,0,43,1,3,0,0,13,1,11,1
JAQUIRANA,0,41,2,3,0,1,5,3,1,1
JARI,0,20,0,0,0,0,1,1,0,0
JOIA,0,38,0,1,0,0,8,7,1,2
JULIO DE CASTILHOS,0,189,5,6,0,0,37,5,13,4
LAGOA BONITA DO SUL,0,12,1,0,0,0,1,5,0,0
LAGOA DOS TRES CANTOS,0,8,1,1,0,1,2,0,1,4
LAGOA VERMELHA,4,328,17,20,0,1,76,23,36,25
LAGOAO,0,26,1,0,0,0,1,2,1,1
