Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CERRO LARGO,0,95,2,2,0,1,17,0,10,6
CHAPADA,0,39,1,2,0,0,15,3,1,0
CHARQUEADAS,1,228,7,27,0,1,27,8,115,130
CHARRUA,0,13,0,3,0,0,1,1,0,0
CHIAPETTA,0,29,2,1,0,0,3,2,0,0
CHUI,2,144,4,10,0,1,6,2,15,2
CHUVISCA,0,22,0,4,0,0,2,1,0,0
CIDREIRA,2,330,20,65,0,3,38,11,45,23
CIRIACO,1,57,3,9,0,2,9,5,0,1
COLINAS,0,15,0,1,0,0,3,0,0,0
COLORADO,0,29,1,0,0,1,3,4,0,0
CONDOR,0,60,2,1,0,0,13,3,0,0
CONSTANTINA,1,58,6,7,0,0,8,8,3,1
COQUEIRO BAIXO,0,5,1,1,0,0,2,1,0,0
COQUEIROS DO SUL,1,15,0,2,0,0,1,1,0,0
CORONEL BARROS,0,10,0,0,0,0,3,2,0,0
CORONEL BICACO,1,117,4,10,0,0,7,4,5,0
CORONEL PILAR,1,8,2,0,0,0,2,0,0,0
COTIPORA,0,20,1,1,0,1,9,5,1,0
COXILHA,0,17,1,1,0,1,1,3,4,0
CRISSIUMAL,1,75,7,3,0,0,8,6,6,3
CRISTAL,1,66,2,3,0,0,7,7,6,5
CRISTAL DO SUL,0,6,0,1,0,0,3,3,5,1
CRUZ ALTA,8,870,45,182,0,12,137,67,54,61
CRUZALTENSE,0,6,0,0,0,1,1,0,0,1
CRUZEIRO DO SUL,0,102,12,13,0,4,16,4,7,4
DAVID CANABARRO,0,16,1,2,0,1,3,0,0,0
DERRUBADAS,0,18,0,1,0,0,2,5,0,0
DEZESSEIS DE NOVEMBRO,0,5,1,0,0,0,1,0,0,0
DILERMANDO DE AGUIAR,0,49,0,2,0,0,0,4,0,0
DOIS IRMAOS,0,142,28,21,0,7,53,3,21,10
DOIS IRMAOS DAS MISSOES,0,9,0,0,0,0,1,1,0,0
DOIS LAJEADOS,0,14,0,2,0,1,5,3,1,0
DOM FELICIANO,1,78,7,6,1,0,20,5,0,1
DOM PEDRITO,1,346,16,38,0,0,73,21,46,33
DOM PEDRO DE ALCANTARA,0,20,1,3,0,1,3,1,0,2
DONA FRANCISCA,0,37,1,1,0,0,5,2,1,1
DOUTOR RICARDO,0,11,0,0,0,0,0,2,0,0
DR MAURICIO CARDOSO,0,42,2,0,0,0,4,1,1,3
ELDORADO DO SUL,10,361,15,142,0,12,98,22,75,35
ENCANTADO,2,284,20,25,0,0,45,8,28,11
ENCRUZILHADA DO SUL,3,278,10,23,0,2,41,26,9,9
ENGENHO VELHO,0,6,0,0,0,0,0,0,0,0
ENTRE IJUIS,0,80,2,4,0,1,6,5,6,1
ENTRE RIOS DO SUL,0,28,0,1,0,1,1,4,1,2
EREBANGO,0,26,0,0,0,0,2,0,0,0
ERECHIM,14,1014,135,157,0,15,232,121,168,94
ERNESTINA,0,41,1,2,0,2,2,4,4,1
ERVAL GRANDE,0,22,2,1,0,1,3,2,2,3
ERVAL SECO,1,37,4,0,0,0,4,2,0,2
ESMERALDA,1,43,2,3,0,1,6,7,1,0
ESPERANCA DO SUL,0,6,0,0,0,0,0,2,0,0
ESPUMOSO,0,107,8,9,0,1,17,8,7,18
ESTACAO,0,37,6,5,0,0,6,0,4,0
ESTANCIA VELHA,5,378,43,148,0,64,106,10,60,12
ESTEIO,6,1076,126,651,0,104,231,23,90,66
ESTRELA,6,363,14,62,0,6,66,12,75,21
ESTRELA VELHA,0,11,1,0,0,1,5,1,1,0
EUGENIO DE CASTRO,0,29,0,1,0,0,2,0,0,0
FAGUNDES VARELA,0,8,0,1,0,0,1,0,0,0
FARROUPILHA,3,702,104,183,1,56,205,23,128,49
FAXINAL DO SOTURNO,0,64,2,2,0,0,9,2,2,5
FAXINALZINHO,0,18,1,3,0,1,2,1,0,0
FAZENDA VILA NOVA,0,50,3,13,0,3,4,3,7,3
FELIZ,0,44,6,5,0,1,18,5,24,3
FLORES DA CUNHA,4,187,39,42,0,11,71,12,20,12
FLORIANO PEIXOTO,1,13,0,0,0,0,1,1,0,0
FONTOURA XAVIER,1,75,7,2,0,0,11,13,1,2
FORMIGUEIRO,0,61,2,1,0,0,34,5,1,5
FORQUETINHA,0,7,0,0,0,0,0,3,2,0
FORTALEZA DOS VALOS,0,38,1,2,0,2,9,2,1,0
FREDERICO WESTPHALEN,4,249,22,20,0,6,84,22,110,22
GARIBALDI,1,289,32,39,1,21,52,11,23,6
GARRUCHOS,0,47,1,0,0,0,5,3,0,3
GAURAMA,0,34,2,1,0,0,7,2,5,1
GENERAL CAMARA,0,79,2,10,0,1,18,3,2,4
GENTIL,0,21,1,8,0,2,2,1,0,0
GETULIO VARGAS,0,112,10,11,0,0,24,8,25,13
GIRUA,0,172,3,17,0,0,23,1,10,8
GLORINHA,1,68,3,4,0,4,11,1,2,1
GRAMADO,0,421,21,26,0,7,135,8,32,34
GRAMADO DOS LOUREIROS,0,15,1,1,0,0,0,0,0,0
GRAMADO XAVIER,0,12,1,0,0,1,1,0,0,0
GRAVATAI,57,2264,387,1720,4,340,707,141,322,202
GUABIJU,0,9,0,0,0,0,3,0,0,0
GUAIBA,17,829,52,446,1,34,160,67,202,67
GUAPORE,2,166,10,22,0,3,60,14,31,25
GUARANI DAS MISSOES,0,115,3,5,0,0,14,2,0,0
HARMONIA,1,12,2,3,0,1,6,0,1,0
HERVAL,0,82,0,2,0,0,6,6,4,0
HERVEIRAS,0,13,2,3,0,0,3,1,1,0
HORIZONTINA,0,163,13,4,0,0,22,6,40,16
HULHA NEGRA,1,39,3,1,0,0,4,1,1,0
HUMAITA,0,20,2,2,0,0,6,0,0,1
IBARAMA,0,42,0,1,0,0,3,2,0,0
IBIACA,0,31,3,4,0,0,3,3,0,1
IBIRAIARAS,0,51,1,3,0,1,21,4,1,0
IBIRAPUITA,0,26,1,6,0,0,6,6,1,1
IBIRUBA,1,155,8,13,0,1,42,4,7,14
IGREJINHA,4,268,31,47,0,7,54,8,59,36
IJUI,4,907,55,107,2,6,226,43,150,71
ILOPOLIS,0,27,2,3,0,2,5,5,2,1
IMBE,10,557,21,87,0,10,59,7,30,20
