Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CARAA,0,27,2,2,0,0,5,4,2,1
CARAZINHO,15,702,54,103,0,15,143,55,41,41
CARLOS BARBOSA,1,155,11,22,0,11,83,3,13,9
CARLOS GOMES,0,10,1,0,0,0,2,1,0,0
CASCA,0,57,9,12,0,2,45,1,6,4
CASEIROS,0,19,1,5,0,1,4,1,0,0
CATUIPE,0,83,3,2,0,0,10,5,2,0
CAXIAS DO SUL,67,4307,956,1748,6,459,1409,190,213,200
CENTENARIO,0,12,0,0,0,0,1,1,0,0
CERRITO,1,41,1,4,0,1,2,3,2,0
CERRO BRANCO,0,17,4,0,0,0,2,2,1,0
CERRO GRANDE,1,14,0,1,0,0,1,2,0,0
CERRO GRANDE DO SUL,5,55,7,7,0,2,11,5,0,0
CERRO LARGO,2,96,9,4,0,0,23,7,6,14
CHAPADA,0,28,2,1,0,0,9,3,1,0
CHARQUEADAS,4,169,9,18,0,0,48,16,110,154
CHARRUA,0,21,0,0,0,1,3,0,0,0
CHIAPETTA,0,33,4,1,0,0,4,0,1,0
CHUI,2,118,4,7,0,0,13,4,7,2
CHUVISCA,0,40,2,1,0,0,1,2,1,0
CIDREIRA,5,489,36,53,0,4,58,6,48,45
CIRIACO,2,60,2,5,0,0,7,9,2,0
COLINAS,0,24,1,0,0,0,1,0,0,0
COLORADO,0,16,0,0,0,2,7,1,0,0
CONDOR,0,38,0,2,0,1,22,2,1,0
CONSTANTINA,1,62,7,5,0,0,14,8,3,1
COQUEIRO BAIXO,0,12,0,0,0,0,2,1,0,0
COQUEIROS DO SUL,0,13,3,1,0,1,1,4,0,0
CORONEL BARROS,0,14,0,2,0,1,0,0,0,1
CORONEL BICACO,0,89,5,7,0,2,2,7,2,2
CORONEL PILAR,0,9,0,0,0,0,0,1,0,0
COTIPORA,0,27,0,0,2,1,6,2,2,0
COXILHA,0,24,1,3,0,0,3,1,0,0
CRISSIUMAL,0,70,6,9,0,1,9,5,9,0
CRISTAL,1,56,4,2,0,0,10,5,3,1
CRISTAL DO SUL,0,9,1,0,0,0,0,3,0,0
CRUZ ALTA,13,795,58,147,3,10,140,53,29,37
CRUZALTENSE,0,11,0,2,0,0,1,2,1,0
CRUZEIRO DO SUL,1,108,7,16,0,6,16,5,2,0
DAVID CANABARRO,0,23,4,2,0,1,9,0,0,0
DERRUBADAS,0,24,0,0,0,0,0,7,0,0
DEZESSEIS DE NOVEMBRO,0,11,0,0,0,0,2,2,0,0
DILERMANDO DE AGUIAR,0,49,2,2,0,0,1,1,0,1
DOIS IRMAOS,1,164,29,27,0,4,58,2,41,8
DOIS IRMAOS DAS MISSOES,0,11,0,0,0,0,0,0,0,0
DOIS LAJEADOS,0,21,0,0,0,0,4,2,0,0
DOM FELICIANO,2,74,6,7,0,1,15,3,1,1
DOM PEDRITO,4,354,13,36,1,1,58,23,29,30
DOM PEDRO DE ALCANTARA,0,11,0,2,0,0,4,3,2,1
DONA FRANCISCA,0,23,2,1,0,0,6,2,0,1
DOUTOR RICARDO,0,10,0,1,0,1,0,0,0,0
DR MAURICIO CARDOSO,1,33,2,0,0,0,3,1,0,0
ELDORADO DO SUL,13,302,27,114,0,17,109,23,38,42
ENCANTADO,3,224,11,24,0,3,48,11,33,16
ENCRUZILHADA DO SUL,6,292,9,19,0,4,33,20,11,8
ENGENHO VELHO,0,2,1,0,0,1,0,2,0,0
ENTRE IJUIS,1,79,3,3,0,1,12,5,9,2
ENTRE RIOS DO SUL,1,20,1,5,0,1,2,1,1,1
