Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CERRO LARGO,1,84,4,14,0,0,19,7,9,14
CHAPADA,0,34,1,4,0,0,16,5,3,0
CHARQUEADAS,5,221,5,12,0,0,35,5,134,153
CHARRUA,0,16,0,1,0,0,1,4,1,0
CHIAPETTA,0,35,2,1,0,0,6,0,1,1
CHUI,1,131,3,11,0,0,10,1,13,6
CHUVISCA,0,40,0,0,0,0,3,3,0,0
CIDREIRA,3,354,8,44,1,5,40,6,36,17
CIRIACO,0,86,0,13,0,6,3,6,1,1
COLINAS,0,12,0,0,0,0,4,0,0,1
COLORADO,1,14,0,0,0,0,4,0,0,0
CONDOR,0,57,2,5,0,0,13,1,0,2
CONSTANTINA,2,52,1,6,0,0,11,5,4,10
COQUEIRO BAIXO,0,6,0,0,0,1,1,0,0,0
COQUEIROS DO SUL,0,20,2,1,0,0,2,0,0,1
CORONEL BARROS,0,13,0,0,0,0,2,1,0,0
CORONEL BICACO,0,93,2,10,0,1,8,5,1,3
CORONEL PILAR,0,12,0,1,0,0,2,0,0,0
COTIPORA,0,23,2,0,0,1,6,3,1,0
COXILHA,2,20,0,2,0,0,5,2,4,2
CRISSIUMAL,1,85,4,4,0,0,10,3,4,2
CRISTAL,2,50,2,4,0,0,10,6,6,3
CRISTAL DO SUL,1,14,1,0,0,0,3,3,1,1
CRUZ ALTA,6,928,53,234,0,11,134,74,64,54
CRUZALTENSE,0,9,1,2,0,0,1,1,0,0
CRUZEIRO DO SUL,4,102,6,19,0,4,11,7,13,3
DAVID CANABARRO,0,25,5,4,0,0,6,0,0,0
DERRUBADAS,0,26,0,0,0,0,0,2,0,0
DEZESSEIS DE NOVEMBRO,0,8,1,1,0,0,1,4,0,1
DILERMANDO DE AGUIAR,0,54,0,3,0,0,0,5,1,0
DOIS IRMAOS,1,162,22,27,0,11,40,0,27,4
DOIS IRMAOS DAS MISSOES,0,7,0,0,0,0,2,0,0,0
DOIS LAJEADOS,0,17,0,2,0,1,5,2,0,0
DOM FELICIANO,3,77,3,10,0,1,13,8,0,0
DOM PEDRITO,4,371,16,38,0,3,56,30,36,26
DOM PEDRO DE ALCANTARA,1,13,1,1,0,0,1,2,0,1
DONA FRANCISCA,0,34,1,0,0,0,8,1,0,0
DOUTOR RICARDO,0,15,1,0,0,0,2,1,1,0
DR MAURICIO CARDOSO,1,25,1,3,0,0,2,4,0,2
ELDORADO DO SUL,4,388,16,155,1,19,122,28,43,58
ENCANTADO,0,270,7,24,0,1,36,7,31,17
ENCRUZILHADA DO SUL,5,297,18,38,0,6,36,24,8,9
ENGENHO VELHO,0,1,0,2,0,0,1,0,0,0
ENTRE IJUIS,1,67,1,1,0,0,8,7,0,0
ENTRE RIOS DO SUL,0,39,1,0,0,0,2,4,0,1
EREBANGO,0,25,0,0,0,0,3,4,0,3
ERECHIM,13,1086,136,165,0,5,247,116,204,85
ERNESTINA,0,58,3,2,0,2,10,3,3,0
ERVAL GRANDE,1,25,4,3,0,0,8,5,1,2
ERVAL SECO,0,32,5,1,0,0,4,6,2,1
ESMERALDA,0,56,2,2,0,0,3,5,2,3
ESPERANCA DO SUL,1,6,1,0,0,0,6,2,0,0
ESPUMOSO,1,82,14,12,0,0,18,10,7,10
ESTACAO,0,43,4,4,0,2,9,2,2,2
ESTANCIA VELHA,2,355,56,153,0,43,92,8,61,22
ESTEIO,19,1148,125,596,2,69,192,24,164,64
ESTRELA,5,358,28,47,0,5,63,13,84,30
ESTRELA VELHA,0,18,0,2,0,0,1,2,0,0
EUGENIO DE CASTRO,0,18,0,0,0,0,2,2,2,0
FAGUNDES VARELA,0,9,0,1,0,0,2,1,0,0
FARROUPILHA,7,786,119,202,1,56,238,26,115,31
FAXINAL DO SOTURNO,0,61,2,2,0,0,7,3,2,6
FAXINALZINHO,0,21,0,2,0,1,1,4,0,0
FAZENDA VILA NOVA,0,56,2,12,0,5,4,3,8,3
FELIZ,0,75,4,4,0,1,21,2,12,3
FLORES DA CUNHA,2,211,19,63,0,15,79,5,16,11
FLORIANO PEIXOTO,0,2,0,0,0,1,2,1,0,0
FONTOURA XAVIER,6,115,9,8,0,2,11,10,7,1
FORMIGUEIRO,0,60,0,7,0,0,14,2,1,6
FORQUETINHA,0,10,0,1,0,0,0,0,0,0
FORTALEZA DOS VALOS,0,32,1,1,0,2,4,5,1,0
FREDERICO WESTPHALEN,3,270,15,15,0,1,85,16,104,16
GARIBALDI,4,266,39,51,0,18,73,5,16,10
GARRUCHOS,0,54,0,0,0,0,1,4,0,0
GAURAMA,1,57,2,1,0,0,5,1,1,0
GENERAL CAMARA,0,76,2,4,0,1,12,5,2,3
GENTIL,0,16,0,3,0,2,1,1,0,0
GETULIO VARGAS,2,97,12,10,0,6,23,11,11,24
GIRUA,0,177,7,8,0,2,13,5,7,20
GLORINHA,2,90,1,10,0,5,11,3,2,1
GRAMADO,2,459,21,26,0,2,136,8,48,31
GRAMADO DOS LOUREIROS,0,11,0,0,0,2,0,0,0,0
GRAMADO XAVIER,0,11,1,2,0,0,5,1,0,0
GRAVATAI,46,2246,406,1693,5,337,727,117,341,215
GUABIJU,0,12,0,1,0,0,0,1,0,0
GUAIBA,22,747,41,484,0,29,164,62,171,86
GUAPORE,3,206,16,16,0,5,58,13,38,24
GUARANI DAS MISSOES,0,107,7,4,0,1,6,4,2,0
HARMONIA,0,7,2,2,0,0,4,1,1,1
HERVAL,1,83,1,1,0,2,13,2,3,0
HERVEIRAS,0,10,0,1,0,0,0,0,0,0
HORIZONTINA,0,156,4,7,0,0,23,8,44,13
HULHA NEGRA,0,41,1,0,0,0,1,1,5,0
HUMAITA,1,19,4,1,0,0,7,0,1,0
IBARAMA,0,32,0,0,0,0,1,3,0,0
IBIACA,0,40,3,1,0,1,8,2,0,1
IBIRAIARAS,0,68,4,2,0,0,10,4,6,0
IBIRAPUITA,1,25,2,2,0,0,4,5,2,1
IBIRUBA,1,138,20,11,0,0,44,2,10,7
IGREJINHA,2,278,36,44,1,8,71,8,39,19
IJUI,6,853,80,102,1,2,193,45,135,74
ILOPOLIS,0,28,2,4,0,0,7,6,6,0
IMBE,6,553,27,59,0,8,59,10,16,17
IMIGRANTE,1,12,1,1,0,0,2,0,0,0
INDEPENDENCIA,1,49,2,5,1,0,5,5,2,3
INHACORA,0,12,1,2,0,0,0,1,1,1
IPE,2,66,1,3,0,0,16,4,1,2
IPIRANGA DO SUL,0,16,0,0,0,0,1,2,0,0
IRAI,1,63,3,7,0,0,8,3,11,11
ITAARA,0,74,3,5,0,0,10,6,0,3
ITACURUBI,0,33,1,0,0,0,6,1,2,1
ITAPUCA,1,17,1,2,0,0,3,3,1,1
ITAQUI,0,371,12,65,0,5,49,34,38,64
ITATI,0,29,2,6,0,0,0,1,0,0
ITATIBA DO SUL,1,16,0,0,0,0,2,3,0,0
IVORA,0,18,1,0,1,0,0,0,0,0
IVOTI,0,109,21,23,0,4,34,2,26,6
JABOTICABA,0,23,3,0,0,0,5,1,0,1
JACUIZINHO,0,14,1,0,0,0,0,0,0,0
JACUTINGA,0,18,0,0,0,0,1,1,1,0
JAGUARAO,1,420,26,28,0,1,31,9,20,17
JAGUARI,1,61,0,5,0,0,18,4,7,6
JAQUIRANA,2,35,0,3,0,0,3,5,1,1
JARI,0,17,0,0,0,0,0,3,0,0
JOIA,2,51,2,3,0,0,6,10,1,2
JULIO DE CASTILHOS,1,297,4,24,0,1,34,15,19,8
LAGOA BONITA DO SUL,0,8,0,0,0,0,2,1,0,0
LAGOA DOS TRES CANTOS,0,17,2,0,0,0,0,1,0,0
LAGOA VERMELHA,8,465,23,54,0,7,59,31,42,22
LAGOAO,1,27,3,2,0,0,5,4,0,0
LAJEADO,12,1025,137,216,1,34,243,46,121,90
LAJEADO DO BUGRE,1,14,1,2,0,0,0,3,1,0
LAVRAS DO SUL,0,45,5,0,0,0,5,3,3,1
LIBERATO SALZANO,0,26,2,3,0,0,1,2,2,0
LINDOLFO COLLOR,0,17,0,3,0,2,5,1,4,2
LINHA NOVA,0,6,0,0,0,0,0,0,0,0
MACAMBARA,0,43,0,2,0,0,0,4,0,0
MACHADINHO,0,41,2,0,0,0,2,3,2,0
MAMPITUBA,1,8,1,1,0,0,0,2,0,0
MANOEL VIANA,1,48,1,2,0,0,4,4,2,0
MAQUINE,0,80,0,8,0,2,7,3,0,3
MARATA,0,10,1,0,0,0,0,1,0,1
MARAU,2,379,35,31,0,21,142,24,54,5
MARCELINO RAMOS,0,29,0,1,0,0,5,3,4,0
MARIANA PIMENTEL,1,48,1,0,0,1,4,1,1,0
MARIANO MORO,0,6,0,0,0,0,0,2,0,0
MARQUES DE SOUZA,0,23,2,1,0,0,2,3,4,1
MATA,1,62,4,4,0,0,7,5,1,1
MATO CASTELHANO,2,45,0,3,0,2,4,5,0,0
MATO LEITAO,1,17,0,2,0,0,8,1,1,0
MATO QUEIMADO,0,2,0,0,0,0,1,1,0,0
MAXIMILIANO DE ALMEIDA,0,29,0,1,0,0,7,0,2,0
MINAS DO LEAO,0,80,0,9,0,1,7,3,5,3
MIRAGUAI,1,63,9,8,1,2,1,2,0,0
MONTAURI,0,4,0,0,0,0,0,2,0,0
MONTE ALEGRE DOS CAMPOS,1,33,0,2,0,0,2,5,0,0
MONTE BELO DO SUL,0,23,0,2,0,2,2,0,0,0
MONTENEGRO,5,732,46,110,1,12,115,28,324,81
MORMACO,0,12,2,0,0,0,3,1,2,0
MORRINHOS DO SUL,0,11,1,2,0,0,2,1,0,0
MORRO REDONDO,0,52,4,0,0,1,15,4,0,0
MORRO REUTER,0,22,2,3,0,0,11,0,4,1
MOSTARDAS,1,169,5,10,0,1,24,10,7,8
MUCUM,0,44,3,1,0,0,2,1,3,0
MUITOS CAPOES,0,40,2,0,0,0,2,4,1,0
MULITERNO,0,13,1,1,0,0,2,3,0,0
