Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CARAA,1,35,2,4,0,0,2,2,2,1
CARAZINHO,10,865,68,154,0,20,149,36,47,35
CARLOS BARBOSA,1,185,18,24,0,10,61,4,19,10
CARLOS GOMES,0,3,0,0,0,0,4,1,1,0
CASCA,0,73,12,6,1,2,25,3,7,8
CASEIROS,0,29,1,4,0,0,5,2,0,2
CATUIPE,0,84,2,2,0,0,11,2,3,0
CAXIAS DO SUL,62,4669,1354,2160,1,528,1379,203,223,298
CENTENARIO,0,7,1,0,0,0,4,1,0,0
CERRITO,0,68,0,2,0,1,6,0,0,0
CERRO BRANCO,0,21,1,1,0,1,8,3,1,0
CERRO GRANDE,0,16,0,0,0,0,1,1,0,0
CERRO GRANDE DO SUL,0,79,9,10,0,1,1,4,4,4
CERRO LARGO,2,90,4,5,0,0,23,6,7,5
CHAPADA,1,34,1,1,0,0,13,5,4,0
CHARQUEADAS,6,255,8,35,0,3,26,14,162,141
CHARRUA,0,15,0,1,0,0,1,1,0,0
CHIAPETTA,0,27,4,2,0,0,6,2,3,1
CHUI,1,160,3,11,0,0,8,3,11,5
CHUVISCA,0,42,0,0,0,1,5,1,0,0
CIDREIRA,2,401,18,43,0,10,46,9,45,18
CIRIACO,0,83,4,5,0,2,4,6,2,0
COLINAS,0,20,1,1,0,0,2,1,1,0
COLORADO,0,26,1,2,0,0,5,0,0,0
CONDOR,0,50,2,2,0,0,14,5,2,0
CONSTANTINA,1,71,5,6,0,0,8,4,6,4
COQUEIRO BAIXO,0,9,0,0,0,0,1,1,0,0
COQUEIROS DO SUL,0,19,2,1,0,0,1,0,0,0
CORONEL BARROS,0,14,0,1,0,0,1,0,0,0
CORONEL BICACO,3,95,8,3,0,2,2,6,4,0
CORONEL PILAR,0,7,0,2,0,0,1,0,1,0
COTIPORA,0,33,3,1,0,0,9,3,0,0
COXILHA,1,24,0,0,0,2,2,2,6,1
CRISSIUMAL,1,108,4,10,0,1,17,8,6,0
