Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CERRO LARGO,1,99,1,6,0,0,18,5,8,12
CHAPADA,0,43,10,3,0,0,4,6,3,0
CHARQUEADAS,3,257,6,27,0,0,33,9,92,108
CHARRUA,0,10,1,0,0,0,3,0,0,1
CHIAPETTA,0,29,2,2,0,0,4,3,0,1
CHUI,2,142,10,22,0,0,12,3,1,5
CHUVISCA,0,37,3,0,0,0,1,4,0,0
CIDREIRA,9,658,72,124,0,9,70,24,156,89
CIRIACO,0,72,6,5,0,3,4,2,1,1
COLINAS,0,23,0,0,0,0,2,1,0,0
COLORADO,0,18,1,0,0,0,1,6,2,0
CONDOR,0,43,1,4,0,1,7,2,1,1
CONSTANTINA,0,46,3,4,0,0,5,3,4,1
COQUEIRO BAIXO,0,6,1,0,0,0,1,0,0,0
COQUEIROS DO SUL,1,13,3,0,0,0,0,0,0,0
CORONEL BARROS,0,17,1,2,0,1,2,1,0,0
CORONEL BICACO,0,75,6,4,0,1,2,8,1,3
CORONEL PILAR,0,10,0,1,0,0,2,0,0,0
COTIPORA,0,36,3,0,0,0,5,2,0,0
COXILHA,0,29,1,1,0,0,2,1,3,0
CRISSIUMAL,1,81,6,2,0,0,14,11,4,2
CRISTAL,0,56,3,5,0,0,9,8,7,1
CRISTAL DO SUL,0,10,2,0,0,0,0,1,2,0
CRUZ ALTA,7,961,89,167,0,13,107,70,37,28
CRUZALTENSE,0,11,1,0,0,0,0,2,3,0
CRUZEIRO DO SUL,1,101,12,28,0,6,16,2,3,2
DAVID CANABARRO,0,24,3,0,0,1,5,1,2,0
DERRUBADAS,0,18,1,0,0,0,1,4,0,0
DEZESSEIS DE NOVEMBRO,2,15,1,0,0,0,0,1,0,0
DILERMANDO DE AGUIAR,1,34,0,5,0,0,2,1,0,0
DOIS IRMAOS,1,126,35,28,1,12,42,4,56,7
DOIS IRMAOS DAS MISSOES,0,19,0,0,0,0,1,1,0,0
DOIS LAJEADOS,0,19,4,1,0,2,3,2,0,1
DOM FELICIANO,2,77,5,4,0,1,13,13,1,1
DOM PEDRITO,8,377,21,43,0,0,66,29,26,15
DOM PEDRO DE ALCANTARA,0,22,0,2,0,0,0,0,0,0
DONA FRANCISCA,1,38,2,1,0,0,6,7,0,4
DOUTOR RICARDO,0,16,1,1,0,0,3,0,0,0
DR MAURICIO CARDOSO,0,22,3,1,0,0,1,1,0,1
ELDORADO DO SUL,9,414,21,134,0,21,63,22,45,34
ENCANTADO,1,234,15,15,0,1,33,13,21,16
ENCRUZILHADA DO SUL,5,316,11,33,0,2,50,15,5,9
ENGENHO VELHO,0,6,1,0,0,0,2,0,0,0
ENTRE IJUIS,0,82,1,6,0,1,9,11,6,0
ENTRE RIOS DO SUL,0,33,1,5,0,0,1,1,0,1
EREBANGO,0,27,1,1,0,1,6,2,0,1
ERECHIM,16,1112,133,156,1,11,199,135,151,114
ERNESTINA,1,32,3,4,0,3,4,3,2,0
ERVAL GRANDE,0,22,1,2,0,1,3,1,2,0
ERVAL SECO,1,42,0,4,0,0,3,4,0,0
ESMERALDA,1,43,0,6,0,0,10,8,4,0
ESPERANCA DO SUL,0,15,0,5,0,1,1,1,1,1
ESPUMOSO,0,77,13,11,0,0,16,3,6,7
ESTACAO,0,42,6,3,0,0,4,3,1,2
ESTANCIA VELHA,3,331,64,122,0,56,52,10,20,9
ESTEIO,19,1140,123,613,0,90,202,36,143,45
ESTRELA,4,396,26,84,2,11,56,8,73,14
ESTRELA VELHA,0,11,1,3,0,0,2,3,0,0
EUGENIO DE CASTRO,0,26,0,0,0,0,2,3,1,0
FAGUNDES VARELA,0,8,0,0,0,0,1,0,0,0
FARROUPILHA,14,744,140,162,0,49,174,35,94,20
FAXINAL DO SOTURNO,1,35,0,2,0,2,6,6,1,5
FAXINALZINHO,0,13,0,0,0,0,0,0,2,0
FAZENDA VILA NOVA,1,45,1,7,0,1,5,2,11,4
FELIZ,0,55,5,6,0,1,21,0,27,1
FLORES DA CUNHA,4,205,21,52,1,12,43,10,26,4
FLORIANO PEIXOTO,0,11,0,1,0,0,1,1,0,0
FONTOURA XAVIER,1,87,14,9,0,4,11,8,1,5
FORMIGUEIRO,0,76,2,1,0,0,8,4,1,3
FORQUETINHA,0,10,0,0,0,0,0,1,0,0
FORTALEZA DOS VALOS,2,36,1,3,0,0,4,2,1,0
FREDERICO WESTPHALEN,6,286,15,24,0,2,61,15,77,17
GARIBALDI,1,254,34,42,1,24,38,8,19,4
GARRUCHOS,0,39,1,0,0,0,1,2,0,0
GAURAMA,0,57,2,3,0,0,4,1,0,0
GENERAL CAMARA,0,105,2,7,0,2,16,1,1,2
GENTIL,1,14,0,1,0,1,2,1,0,0
GETULIO VARGAS,2,122,10,11,0,1,31,9,29,34
GIRUA,1,148,8,13,0,0,24,3,8,9
GLORINHA,1,69,2,10,1,4,13,3,0,5
GRAMADO,2,397,21,23,1,6,126,12,62,18
GRAMADO DOS LOUREIROS,1,9,1,2,0,0,1,1,0,0
GRAMADO XAVIER,1,12,0,0,0,0,5,0,0,1
GRAVATAI,74,2368,392,1647,5,403,673,114,256,181
GUABIJU,0,4,0,1,0,0,2,2,1,0
GUAIBA,25,802,61,421,2,29,143,60,236,65
GUAPORE,3,182,8,21,0,1,58,12,34,17
GUARANI DAS MISSOES,0,71,2,5,0,0,6,6,4,0
HARMONIA,0,20,1,1,0,0,7,1,1,0
HERVAL,1,90,2,4,0,0,9,6,5,2
HERVEIRAS,0,9,0,1,0,0,3,0,0,0
HORIZONTINA,1,179,18,5,0,1,30,5,29,6
HULHA NEGRA,0,57,1,3,0,0,3,1,1,1
HUMAITA,0,17,1,1,0,0,3,2,2,1
IBARAMA,2,35,1,2,0,0,0,5,0,0
IBIACA,0,32,4,0,0,0,5,1,2,0
IBIRAIARAS,1,63,4,2,0,0,14,1,2,0
IBIRAPUITA,1,20,0,4,0,1,3,5,3,2
IBIRUBA,2,191,12,18,0,2,51,9,16,10
IGREJINHA,4,346,26,49,0,12,60,10,28,20
IJUI,9,925,66,93,0,10,173,41,57,51
ILOPOLIS,0,32,2,4,0,0,8,1,4,0
IMBE,6,1470,91,182,0,15,112,14,133,54
IMIGRANTE,0,13,0,0,0,0,2,1,1,0
INDEPENDENCIA,1,42,5,1,0,0,5,3,2,0
INHACORA,1,6,2,2,0,0,2,0,0,0
IPE,0,57,1,2,0,1,6,10,2,4
IPIRANGA DO SUL,0,8,0,0,0,0,3,0,0,0
IRAI,1,79,3,6,0,0,10,6,16,3
ITAARA,1,68,1,5,1,1,10,6,2,1
ITACURUBI,0,39,0,0,0,0,0,3,0,0
ITAPUCA,0,25,0,2,0,2,0,3,0,1
ITAQUI,4,404,10,63,0,0,51,32,33,72
ITATI,0,21,1,0,0,0,3,3,0,0
ITATIBA DO SUL,0,22,1,0,0,0,1,2,0,0
IVORA,0,17,0,0,0,0,3,1,0,0
IVOTI,0,115,21,24,0,7,50,3,29,2
JABOTICABA,1,6,2,3,0,0,5,3,2,0
JACUIZINHO,0,6,1,0,0,0,1,3,0,0
JACUTINGA,0,25,1,1,0,0,3,3,1,0
JAGUARAO,2,395,33,34,0,0,30,15,31,7
JAGUARI,1,66,0,3,0,0,15,4,3,6
JAQUIRANA,1,60,1,2,0,0,3,3,0,3
JARI,0,33,0,1,0,0,0,3,0,0
JOIA,0,47,1,1,0,0,5,8,0,1
JULIO DE CASTILHOS,1,256,7,17,0,2,29,11,20,7
LAGOA BONITA DO SUL,0,12,0,0,0,0,0,1,0,0
LAGOA DOS TRES CANTOS,0,7,1,0,0,0,1,1,0,0
LAGOA VERMELHA,2,449,14,30,1,2,64,31,44,21
LAGOAO,0,32,0,3,0,0,2,3,0,0
LAJEADO,20,908,164,191,0,45,188,51,93,68
LAJEADO DO BUGRE,0,8,1,0,0,0,1,1,2,0
LAVRAS DO SUL,2,70,3,1,0,0,6,3,6,2
LIBERATO SALZANO,1,26,2,1,0,0,1,1,1,1
LINDOLFO COLLOR,0,19,1,2,0,0,2,1,6,2
LINHA NOVA,0,2,0,1,0,0,1,0,0,0
MACAMBARA,0,29,1,0,0,0,1,4,0,3
MACHADINHO,1,46,0,1,0,0,9,7,4,0
MAMPITUBA,0,7,0,3,0,0,0,0,1,0
MANOEL VIANA,0,54,1,2,0,0,11,5,5,2
MAQUINE,0,60,3,4,0,1,5,5,3,0
MARATA,0,8,0,0,0,0,1,0,0,0
MARAU,1,437,43,59,0,25,110,25,32,6
MARCELINO RAMOS,0,33,1,0,0,0,2,2,2,2
MARIANA PIMENTEL,3,50,1,4,0,0,1,1,1,0
MARIANO MORO,0,11,0,0,0,0,1,3,0,0
