Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CERRO LARGO,1,63,3,3,0,0,13,11,10,11
CHAPADA,0,27,0,1,0,0,17,3,0,0
CHARQUEADAS,1,220,10,31,0,1,44,13,116,125
CHARRUA,0,11,1,1,0,0,0,2,0,0
CHIAPETTA,0,25,0,3,0,0,6,3,0,0
CHUI,1,152,2,9,0,0,16,5,8,2
CHUVISCA,0,48,0,2,0,0,2,5,0,0
CIDREIRA,8,443,15,52,0,11,48,11,31,19
CIRIACO,1,53,0,5,0,0,7,7,2,2
COLINAS,0,16,1,2,0,0,3,1,0,0
COLORADO,0,29,0,1,0,2,4,2,2,0
CONDOR,1,54,2,1,0,1,6,1,1,1
CONSTANTINA,1,42,2,3,0,0,9,4,4,3
COQUEIRO BAIXO,0,9,0,0,0,0,0,0,0,0
COQUEIROS DO SUL,0,17,0,0,0,0,2,1,0,0
CORONEL BARROS,0,10,1,0,0,0,2,2,0,0
CORONEL BICACO,0,74,1,5,0,0,4,12,5,7
CORONEL PILAR,0,15,0,1,0,0,0,0,0,0
COTIPORA,0,23,1,1,0,1,6,3,0,0
COXILHA,0,24,0,1,0,0,6,2,8,0
CRISSIUMAL,0,90,6,0,0,1,14,4,4,3
CRISTAL,0,64,0,7,0,1,9,0,1,1
CRISTAL DO SUL,2,9,2,0,0,0,0,10,2,1
CRUZ ALTA,12,849,83,168,1,20,148,57,49,38
CRUZALTENSE,0,9,0,0,0,0,0,3,0,0
CRUZEIRO DO SUL,2,91,6,25,0,5,16,8,5,0
DAVID CANABARRO,1,26,3,1,0,0,2,4,0,0
DERRUBADAS,1,29,0,0,0,0,1,6,1,0
DEZESSEIS DE NOVEMBRO,1,10,0,0,0,0,1,10,1,0
DILERMANDO DE AGUIAR,0,38,0,3,0,0,1,4,1,0
DOIS IRMAOS,0,179,32,29,0,8,69,4,31,6
DOIS IRMAOS DAS MISSOES,0,11,0,0,0,0,0,2,0,0
DOIS LAJEADOS,0,15,3,1,0,0,3,0,0,0
DOM FELICIANO,2,76,3,10,0,2,14,6,0,0
DOM PEDRITO,3,347,13,29,1,0,75,20,38,31
DOM PEDRO DE ALCANTARA,0,12,1,1,0,0,1,3,0,0
DONA FRANCISCA,0,39,1,1,0,0,7,3,1,1
DOUTOR RICARDO,0,16,0,2,0,0,2,2,0,0
DR MAURICIO CARDOSO,0,27,4,1,0,0,5,2,0,0
ELDORADO DO SUL,7,330,23,165,1,18,87,25,69,52
ENCANTADO,5,200,18,8,0,1,62,11,26,11
ENCRUZILHADA DO SUL,4,294,12,36,2,4,49,13,8,8
ENGENHO VELHO,0,5,0,0,0,0,1,3,1,0
ENTRE IJUIS,0,72,0,5,0,0,8,3,2,2
ENTRE RIOS DO SUL,1,22,0,2,0,0,1,0,2,0
EREBANGO,0,36,1,2,0,1,3,1,1,0
ERECHIM,16,954,128,121,0,11,295,127,155,83
ERNESTINA,0,28,3,3,0,4,8,1,1,1
ERVAL GRANDE,0,25,3,11,0,0,5,4,4,1
ERVAL SECO,0,37,6,2,0,0,4,2,3,0
ESMERALDA,0,47,0,1,0,0,4,6,1,2
ESPERANCA DO SUL,0,13,0,0,0,0,0,1,0,1
ESPUMOSO,0,83,10,5,0,0,28,5,11,9
ESTACAO,0,28,1,1,0,1,8,0,2,3
ESTANCIA VELHA,2,370,70,156,0,59,94,8,74,15
ESTEIO,13,1233,167,590,0,102,205,31,155,76
ESTRELA,4,367,20,66,0,8,84,8,76,21
ESTRELA VELHA,0,9,1,0,0,0,6,2,0,0
EUGENIO DE CASTRO,0,30,0,2,0,0,2,2,0,0
FAGUNDES VARELA,0,18,0,1,0,0,5,0,0,0
FARROUPILHA,17,710,122,186,0,46,190,56,106,39
FAXINAL DO SOTURNO,0,54,0,7,0,0,16,1,1,2
FAXINALZINHO,0,14,1,1,0,0,1,4,0,0
FAZENDA VILA NOVA,1,51,3,8,0,3,2,2,13,2
FELIZ,0,79,6,3,0,3,40,1,15,4
FLORES DA CUNHA,1,207,31,36,0,19,81,14,15,9
FLORIANO PEIXOTO,0,19,0,0,0,0,0,1,0,1
FONTOURA XAVIER,2,89,8,8,0,0,3,15,3,2
FORMIGUEIRO,0,71,0,0,0,1,17,5,1,3
FORQUETINHA,0,18,0,1,0,0,3,2,1,0
FORTALEZA DOS VALOS,0,20,0,2,0,0,8,1,0,0
FREDERICO WESTPHALEN,3,238,22,18,0,2,77,25,102,25
GARIBALDI,4,267,28,33,0,26,55,7,21,4
GARRUCHOS,0,49,0,2,0,0,3,6,0,2
GAURAMA,0,35,3,1,0,0,5,3,5,0
GENERAL CAMARA,0,90,1,7,0,0,16,6,1,3
GENTIL,0,21,2,0,0,1,2,2,2,0
GETULIO VARGAS,0,113,6,23,0,3,34,7,23,40
GIRUA,0,126,11,4,0,0,15,10,9,6
GLORINHA,0,73,2,5,0,3,16,3,2,1
GRAMADO,2,354,10,24,1,4,125,7,39,36
GRAMADO DOS LOUREIROS,0,12,1,1,0,0,2,5,0,0
GRAMADO XAVIER,0,18,1,0,0,0,4,2,0,0
GRAVATAI,54,2152,518,1556,3,384,742,119,346,206
GUABIJU,0,8,0,1,0,0,7,1,0,0
GUAIBA,23,730,50,460,0,34,143,57,270,102
GUAPORE,0,179,17,13,0,1,62,9,35,33
GUARANI DAS MISSOES,0,83,1,5,0,0,12,3,3,0
HARMONIA,0,15,1,2,0,0,4,0,5,0
HERVAL,0,86,1,3,0,0,8,5,4,3
HERVEIRAS,0,8,1,2,0,0,1,0,0,0
HORIZONTINA,2,152,4,8,0,0,24,7,42,14
HULHA NEGRA,1,34,0,0,0,0,3,2,0,0
HUMAITA,1,18,2,2,0,0,4,3,2,1
IBARAMA,0,37,1,1,0,0,1,4,0,0
IBIACA,0,28,4,2,0,0,7,2,0,0
IBIRAIARAS,1,37,0,2,0,3,12,4,3,0
IBIRAPUITA,0,26,1,3,0,0,2,6,1,3
IBIRUBA,2,156,19,8,1,2,68,8,13,16
