Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
CERRO LARGO,2,102,7,5,0,0,19,0,12,11
CHAPADA,0,29,3,4,0,1,13,3,0,1
CHARQUEADAS,1,206,3,21,0,0,39,17,139,141
CHARRUA,0,8,1,0,0,0,2,1,0,0
CHIAPETTA,0,27,1,0,0,0,4,2,2,0
CHUI,2,143,1,14,0,0,9,1,6,1
CHUVISCA,0,32,2,1,0,1,1,5,0,0
CIDREIRA,4,366,11,54,1,6,42,11,16,23
CIRIACO,0,67,2,4,0,0,10,12,1,0
COLINAS,0,13,1,2,0,0,4,0,1,0
COLORADO,0,13,1,1,0,1,1,3,2,1
CONDOR,2,49,2,2,0,0,10,3,1,2
CONSTANTINA,1,66,3,2,0,0,4,2,3,3
COQUEIRO BAIXO,0,12,0,0,0,0,0,1,0,0
COQUEIROS DO SUL,0,22,0,2,0,1,1,0,0,0
CORONEL BARROS,0,19,0,2,1,0,1,2,0,0
CORONEL BICACO,1,70,10,10,0,0,4,6,4,6
CORONEL PILAR,0,16,0,0,0,0,0,0,0,0
COTIPORA,1,29,0,0,0,1,3,3,0,0
COXILHA,0,22,0,3,0,1,7,5,3,0
CRISSIUMAL,0,77,7,1,0,0,13,8,9,4
CRISTAL,2,74,1,4,0,0,6,5,8,4
CRISTAL DO SUL,0,15,0,0,0,0,1,7,0,1
CRUZ ALTA,7,894,65,157,0,14,146,76,54,62
CRUZALTENSE,0,5,1,0,0,0,2,4,0,0
CRUZEIRO DO SUL,1,97,7,20,0,4,15,7,5,3
DAVID CANABARRO,0,28,2,1,0,0,4,2,1,0
DERRUBADAS,1,17,0,0,0,0,4,4,0,0
DEZESSEIS DE NOVEMBRO,1,17,1,0,0,0,1,7,2,0
DILERMANDO DE AGUIAR,1,44,1,3,0,0,3,0,1,0
DOIS IRMAOS,0,179,33,36,0,6,52,3,34,5
DOIS IRMAOS DAS MISSOES,0,6,0,2,0,0,0,2,0,0
DOIS LAJEADOS,0,15,3,1,0,0,6,0,0,0
DOM FELICIANO,0,93,9,10,0,1,6,14,2,0
DOM PEDRITO,5,337,16,23,0,2,50,24,21,37
DOM PEDRO DE ALCANTARA,0,11,2,0,0,0,4,0,0,0
DONA FRANCISCA,0,36,0,6,0,0,5,5,1,1
DOUTOR RICARDO,1,16,0,4,0,1,1,3,1,0
DR MAURICIO CARDOSO,1,28,1,0,0,0,4,2,2,1
ELDORADO DO SUL,13,353,25,178,1,12,86,22,92,54
ENCANTADO,2,251,11,11,1,3,55,19,28,8
ENCRUZILHADA DO SUL,7,299,21,51,0,1,42,24,17,11
ENGENHO VELHO,0,6,0,0,0,0,3,3,0,0
ENTRE IJUIS,2,73,4,2,0,0,8,5,4,0
ENTRE RIOS DO SUL,0,33,0,2,0,0,2,1,2,1
EREBANGO,0,37,2,2,0,0,3,2,2,0
ERECHIM,13,1056,141,130,0,10,289,134,135,89
ERNESTINA,0,39,3,6,0,3,4,1,2,1
ERVAL GRANDE,0,33,5,2,2,0,4,10,2,1
ERVAL SECO,0,47,2,4,0,0,4,3,2,1
ESMERALDA,1,47,1,8,0,0,3,1,1,1
ESPERANCA DO SUL,0,7,3,2,0,1,1,2,0,0
ESPUMOSO,5,91,10,6,0,1,21,9,11,14
ESTACAO,1,30,1,2,1,1,6,4,3,0
ESTANCIA VELHA,0,364,63,150,0,65,100,8,55,16
ESTEIO,10,1142,120,621,0,99,221,33,138,66
ESTRELA,4,405,26,57,0,9,68,14,73,36
ESTRELA VELHA,0,17,2,2,0,0,2,2,0,1
EUGENIO DE CASTRO,1,31,2,1,0,0,1,3,0,0
FAGUNDES VARELA,1,12,0,0,0,0,3,16,0,0
FARROUPILHA,7,777,124,176,0,63,201,32,88,33
FAXINAL DO SOTURNO,0,62,0,7,0,0,8,2,1,1
FAXINALZINHO,0,14,1,0,0,0,0,5,0,0
FAZENDA VILA NOVA,0,42,2,7,0,2,3,4,7,3
FELIZ,0,79,9,5,0,3,27,4,23,2
FLORES DA CUNHA,2,288,37,50,0,13,73,12,20,5
FLORIANO PEIXOTO,0,15,1,2,0,0,2,2,1,0
FONTOURA XAVIER,3,98,7,9,0,0,7,12,5,2
FORMIGUEIRO,0,54,0,1,0,0,13,7,1,3
FORQUETINHA,0,12,0,0,0,1,1,1,1,0
FORTALEZA DOS VALOS,0,33,1,4,0,0,6,1,2,0
FREDERICO WESTPHALEN,1,291,28,26,0,1,66,13,86,19
GARIBALDI,2,290,36,43,0,13,50,6,17,10
GARRUCHOS,0,36,0,0,0,0,4,4,0,2
GAURAMA,1,39,1,1,0,0,4,0,3,0
GENERAL CAMARA,2,108,5,5,0,0,13,2,2,2
GENTIL,0,12,1,1,0,2,2,4,1,0
GETULIO VARGAS,2,120,5,24,0,0,43,11,21,27
GIRUA,0,143,7,9,0,0,16,11,8,13
GLORINHA,0,111,8,9,0,3,11,6,2,2
